"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"1","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","10/89",3.05850353495291e-07,0.000358902968209442,0,0,9.6803428064818,145.206786743701,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"2","cotranslational protein targeting to membrane (GO:0006613)","10/93",4.63741563222594e-07,0.000358902968209442,0,0,9.21194505649056,134.34643939269,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"3","protein targeting to ER (GO:0045047)","10/97",6.88873259519082e-07,0.000358902968209442,0,0,8.78661836396977,124.666373632968,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"4","viral gene expression (GO:0019080)","10/110",2.206714268189e-06,0.000734845071512355,0,0,7.63929961089494,99.4942832441114,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"5","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","10/112",2.60147332562016e-06,0.000734845071512355,0,0,7.48874647135119,96.3010305796941,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"6","viral transcription (GO:0019083)","10/113",2.82090238584397e-06,0.000734845071512355,0,0,7.41566242302897,94.760699144203,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"7","cytoplasmic translation (GO:0002181)","7/54",7.24033595747518e-06,0.00161666358593339,0,0,11.276759410802,133.469953367545,"RPS26;RPL31;RPS3;RPL22L1;RPS20;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"8","peptide biosynthetic process (GO:0043043)","11/174",2.30507437031103e-05,0.00450353905099518,0,0,5.1588861196319,55.0856188194629,"RPS26;RPS27;RPL31;RPS18;AGO2;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"9","ribosome biogenesis (GO:0042254)","12/226",5.51060672574713e-05,0.00898761610605287,0,0,4.29224848818032,42.0908648890238,"RPS26;RPS27;NWD2;RPL31;RPS18;KRR1;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"10","ncRNA processing (GO:0034470)","12/227",5.7502342329193e-05,0.00898761610605287,0,0,4.27206566347469,41.7111029027518,"RPS26;RPS27;RPL31;RPS18;KRR1;AGO2;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"11","translation (GO:0006412)","12/232",7.08834494738796e-05,0.0100718937752431,0,0,4.17390374331551,39.8794530679321,"RPS26;RPS27;RPL31;RPS18;AGO2;RPS3;RPL35;RPS20;RPL22L1;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"12","rRNA metabolic process (GO:0016072)","11/200",8.21085788106535e-05,0.0106946423900876,0,0,4.44328703703704,41.8000808590206,"RPS26;RPS27;RPL31;RPS18;KRR1;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"13","rRNA processing (GO:0006364)","11/202",8.97418238132659e-05,0.0107897285092411,0,0,4.39631053664921,40.9673434550997,"RPS26;RPS27;RPL31;RPS18;KRR1;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"14","nuclear-transcribed mRNA catabolic process (GO:0000956)","10/174",0.000120229870897212,0.0134228063008816,0,0,4.64292493119484,41.9075281996913,"RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"15","viral process (GO:0016032)","11/220",0.000190312766542121,0.019830590273689,0,0,4.0139802631579,34.3871334994364,"USP6NL;RPS26;RPS27;RPL31;RPS18;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"16","positive regulation of execution phase of apoptosis (GO:1900119)","3/10",0.000263382509601499,0.0257291789066965,0,0,32.0227272727273,263.928217526296,"DLC1;RPS3;BAX","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"17","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)","3/11",0.000358581799435462,0.0311368529176459,0,0,28.0184659090909,222.280401661523,"AGO2;TOB1;TNRC6B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"18","regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)","3/11",0.000358581799435462,0.0311368529176459,0,0,28.0184659090909,222.280401661523,"AGO2;TOB1;TNRC6B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"19","positive regulation of potassium ion transmembrane transporter activity (GO:1901018)","3/12",0.000473399973100995,0.0389433767345714,0,0,24.9040404040404,190.654622546488,"AKAP9;ANK2;LRRC55","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"20","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)","3/14",0.000767922640848712,0.0600131543823268,0,0,20.3739669421488,146.118455336695,"AGO2;TOB1;TNRC6B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"21","positive regulation of potassium ion transmembrane transport (GO:1901381)","3/15",0.000950466521904049,0.0707418654160013,0,0,18.6751893939394,129.952381428887,"AKAP9;AKAP6;ANK2","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"22","calcium ion transport (GO:0006816)","7/118",0.00104561938071246,0.0742865041842537,0,0,4.75932085932086,32.6639132536402,"CHRNB2;TRPC5;SLC24A4;ANK2;CACNA1C;PSEN1;CACNA1E","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"23","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)","3/16",0.00115831193812808,0.0754350649705915,0,0,17.2377622377622,116.54091744147,"AGO2;TOB1;TNRC6B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"24","positive regulation of cardiac muscle tissue growth (GO:0055023)","3/16",0.00115831193812808,0.0754350649705915,0,0,17.2377622377622,116.54091744147,"ERBB4;AKAP6;TBX2","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"25","cellular calcium ion homeostasis (GO:0006874)","7/123",0.0013316935294598,0.0832069521970379,0,0,4.55301724137931,30.1469104361394,"TRPC5;SLC24A4;RMDN3;ATP2B3;BAX;ANK2;PSEN1","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"26","cellular macromolecule biosynthetic process (GO:0034645)","13/367",0.00138412076591362,0.0832069521970379,0,0,2.8018039058677,18.4434070209765,"RPL31;HUS1;RPS26;ORC5;RPS27;RPS18;AGO2;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"27","regulation of heart contraction (GO:0008016)","6/95",0.00172505757413795,0.0998616662362079,0,0,5.07400232468036,32.2833136735895,"CHRM2;ACE2;NPR2;ATP2B3;ANK2;TBX2","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"28","chemical synaptic transmission (GO:0007268)","11/289",0.00182189414504385,0.101700733882269,0,0,3.0070396807554,18.9680411916026,"CHRM2;CHRNB2;GABRB2;NAPB;GRM2;GABRB1;AKAP9;KCNQ3;GRIN2B;CACNA1E;GRM1","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"29","calcium ion transport into cytosol (GO:0060402)","3/19",0.00194587123887447,0.10487574987451,0,0,14.0035511363636,87.4108028573695,"CACNA1C;ADRA1A;GRIN2B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"30","hydrogen peroxide metabolic process (GO:0042743)","3/20",0.00226682685894304,0.114645285449459,0,0,13.1791443850267,80.2527429151964,"GPX1;MAOB;PRDX6","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"31","cellular protein metabolic process (GO:0044267)","15/484",0.0022738348361697,0.114645285449459,0,0,2.44491826581379,14.8804755230273,"SLC35A1;JAG1;RPL31;PSEN1;RPS26;RPS27;RPS18;AGO2;RPS3;RPL35;RPS20;RPL28;RPS21;RPL19;FBN1","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"32","membrane depolarization (GO:0051899)","4/43",0.00254597213620765,0.121756881080272,0,0,7.68021838744272,45.8758085942385,"CHRNB2;CACNA1C;SCN2A;CACNA1E","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"33","phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway (GO:0007207)","2/6",0.00257068270994816,0.121756881080272,0,0,37.2245283018868,221.991592806877,"CHRM2;GNA15","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"34","positive regulation of mRNA catabolic process (GO:0061014)","3/23",0.00341915239775923,0.146728901551972,0,0,11.2005681818182,63.6008874123957,"AGO2;TOB1;TNRC6B","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"35","autophagosome maturation (GO:0097352)","3/23",0.00341915239775923,0.146728901551972,0,0,11.2005681818182,63.6008874123957,"VAMP8;STX17;EPG5","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"36","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)","3/23",0.00341915239775923,0.146728901551972,0,0,11.2005681818182,63.6008874123957,"AKAP6;ANK2;CACNA1C","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
"37","central nervous system neuron axonogenesis (GO:0021955)","2/7",0.00356730534803258,0.146728901551972,0,0,29.7781132075472,167.827801472098,"CHRNB2;ARHGAP35","All","GO_Biological_Process_2018","HDAC5c_HDAC5s"
