Gene	Direction
C5orf49	All
ACAP2	All
ACE2	All
ACSM5	All
ADD2	All
ADGRA1	All
ADRA1A	All
AFF2	All
AGO2	All
AKAP6	All
AKAP9	All
ALG13	All
ALMS1	All
ALPK1	All
AMER3	All
AMOTL1	All
ANK2	All
ANKRD12	All
AR	All
ARFGEF3	All
ARHGAP35	All
ARID5A	All
ASXL2	All
ASXL3	All
ATP2B3	All
ATP8A2	All
BAX	All
BLZF1	All
BRWD3	All
CACNA1C	All
CACNA1E	All
CALN1	All
CARD19	All
CASD1	All
CCDC39	All
CCDC88B	All
CDS2	All
CHCHD1	All
CHPT1	All
CHRM2	All
CHRNB2	All
CILP	All
CLSTN2	All
CLVS2	All
CNIH3	All
CPT2	All
CSTF2T	All
CTTNBP2NL	All
CXXC4	All
CYP2S1	All
KIAA1549L	All
KIAA1549	All
DCBLD2	All
DENND2A	All
DLC1	All
DMXL2	All
DNAJC16	All
DNM3	All
DPYSL3	All
DYSF	All
DZIP3	All
ECHDC1	All
ECI2	All
ELOVL4	All
EMILIN1	All
ENKD1	All
EPG5	All
EPM2A	All
ERBB4	All
ESS2	All
EXOG	All
FAHD2A	All
FBN1	All
FBXL20	All
FGFR1	All
FLT3	All
FNIP2	All
FOXO3	All
FRY	All
FZD3	All
GABRB1	All
GABRB2	All
GADD45G	All
GAS2L1	All
GAS7	All
GLG1	All
RPL35	All
GNA15	All
GPX1	All
GRIN2B	All
GRM1	All
GRM2	All
GSTM1	All
GSTZ1	All
H2AJ	All
HERC1	All
HES5	All
HOOK2	All
HS6ST3	All
HUNK	All
HUS1	All
IFFO1	All
IKZF4	All
IL1RAPL2	All
ISOC1	All
JAG1	All
JMJD4	All
KATNBL1	All
KCNH5	All
KCNQ3	All
KCTD7	All
KLHL5	All
KLHL8	All
KMT5C	All
KRCC1	All
KRR1	All
KSR2	All
LAPTM5	All
LHX2	All
LMOD1	All
LRP10	All
LRRC55	All
MAD2L1	All
MAOB	All
MAPK10	All
MARCHF2	All
MDK	All
MPND	All
MRPL14	All
MTAP	All
MTF1	All
MTMR11	All
MYO5A	All
NADK2	All
NAPB	All
NAV1	All
NCEH1	All
NDUFS7	All
NEDD1	All
NELFE	All
NEXMIF	All
NHSL2	All
NMNAT2	All
NOL7	All
NPR2	All
NPR3	All
NRAS	All
NSD1	All
NWD2	All
NYAP2	All
ORC5	All
OSER1	All
OSTF1	All
PARM1	All
PCLO	All
PCSK6	All
PCYOX1	All
PCYT1B	All
PGAP1	All
PHC3	All
PHGDH	All
PIP4K2C	All
PLA2G6	All
PLD2	All
PLXNA2	All
POLR3B	All
PPM1K	All
PPP1R3G	All
PPP1R9A	All
PRDM10	All
PRDX6	All
PSEN1	All
PSME1	All
PTCHD1	All
R3HCC1L	All
RAB34	All
RAD54L	All
RASAL2	All
RASGRF2	All
RBIS	All
RCAN3	All
RFTN2	All
RLBP1	All
RMDN3	All
RND2	All
RNF150	All
RPL19	All
RPL22L1	All
RPL28	All
RPL31	All
RPS18	All
RPS20	All
RPS21	All
RPS26	All
RPS27	All
RPS3	All
RXFP1	All
SARNP	All
SAT1	All
SCARF2	All
SCN2A	All
SEPSECS	All
SERF1A	All
SH3BGRL2	All
SIGIRR	All
SIK2	All
SLC24A4	All
SLC25A1	All
SLC26A4	All
SLC2A13	All
SLC35A1	All
SLC4A2	All
SLC6A7	All
SLC7A14	All
SLC9A7	All
SMCR8	All
SNF8	All
SORCS1	All
SPEN	All
SRCAP	All
SS18L1	All
ST6GAL2	All
ST8SIA3	All
STX17	All
STXBP5L	All
SYN3	All
TBX2	All
TBX3	All
TGFBRAP1	All
TKFC	All
TLN2	All
TMEM131	All
TMEM147	All
TMEM178B	All
TMEM245	All
TNR	All
TNRC6B	All
TOB1	All
TRIM39	All
TP53INP2	All
TP53RK	All
TRPC5	All
TSC22D3	All
TWF1	All
UBXN2B	All
UCP2	All
UNC5C	All
UPP1	All
USP37	All
USP6NL	All
VAMP8	All
VOPP1	All
VPS13C	All
NTAQ1	All
XKR4	All
XPR1	All
XYLT1	All
ZADH2	All
ZBTB37	All
ZDHHC21	All
ZNF526	All
ZNF618	All
ZNF827	All
ZNF831	All
ZNF483	All
ZMAT4	All
ZNRF3	All
ACAP2	Downreg
ADD2	Downreg
ADGRA1	Downreg
ADRA1A	Downreg
AFF2	Downreg
AGO2	Downreg
AKAP6	Downreg
AKAP9	Downreg
ALG13	Downreg
ALMS1	Downreg
ALPK1	Downreg
AMER3	Downreg
AMOTL1	Downreg
ANK2	Downreg
ANKRD12	Downreg
AR	Downreg
ARFGEF3	Downreg
ARHGAP35	Downreg
ARID5A	Downreg
ASXL2	Downreg
ASXL3	Downreg
ATP2B3	Downreg
ATP8A2	Downreg
BLZF1	Downreg
BRWD3	Downreg
CACNA1C	Downreg
CACNA1E	Downreg
CALN1	Downreg
CASD1	Downreg
CDS2	Downreg
CHRM2	Downreg
CHRNB2	Downreg
CLSTN2	Downreg
CLVS2	Downreg
CNIH3	Downreg
CSTF2T	Downreg
CTTNBP2NL	Downreg
CXXC4	Downreg
CYP2S1	Downreg
KIAA1549L	Downreg
KIAA1549	Downreg
DCBLD2	Downreg
DLC1	Downreg
DMXL2	Downreg
DNAJC16	Downreg
DNM3	Downreg
DPYSL3	Downreg
DZIP3	Downreg
ELOVL4	Downreg
EPG5	Downreg
EPM2A	Downreg
ERBB4	Downreg
ESS2	Downreg
FBXL20	Downreg
FNIP2	Downreg
FOXO3	Downreg
FRY	Downreg
FZD3	Downreg
GABRB1	Downreg
GABRB2	Downreg
GAS7	Downreg
GLG1	Downreg
GNA15	Downreg
GRIN2B	Downreg
GRM1	Downreg
GRM2	Downreg
HERC1	Downreg
