Gene	Direction
1700001L19Rik	All
Abcg2	All
Acap2	All
Ace2	All
Acsm5	All
Add2	All
Adgra1	All
Adra1a	All
Aff2	All
Ago2	All
Akap6	All
Akap9	All
Alg13	All
Alms1	All
Alpk1	All
Amer3	All
Amotl1	All
Ank2	All
Ankrd12	All
Ar	All
Arfgef3	All
Arhgap35	All
Arid5a	All
Asxl2	All
Asxl3	All
Atp2b3	All
Atp8a2	All
Bax	All
Blzf1	All
Brwd3	All
Cacna1c	All
Cacna1e	All
Caln1	All
Card19	All
Casd1	All
Ccdc39	All
Ccdc88b	All
Cds2	All
Chchd1	All
Chpt1	All
Chrm2	All
Chrnb2	All
Cilp	All
Clstn2	All
Clvs2	All
Cnih3	All
Cpt2	All
Cstf2t	All
Cttnbp2nl	All
Cxxc4	All
Cyp2s1	All
D430041D05Rik	All
D630045J12Rik	All
Dcbld2	All
Dennd2a	All
Dlc1	All
Dmxl2	All
Dnajc16	All
Dnm3	All
Dpysl3	All
Dysf	All
Dzip3	All
Echdc1	All
Eci2	All
Elovl4	All
Emilin1	All
Enkd1	All
Epg5	All
Epm2a	All
Erbb4	All
Ess2	All
Exog	All
Fahd2a	All
Fam49a	All
Fbn1	All
Fbxl20	All
Fgfr1	All
Flt3	All
Fnip2	All
Foxo3	All
Fry	All
Fzd3	All
Gabrb1	All
Gabrb2	All
Gadd45g	All
Gas2l1	All
Gas7	All
Glg1	All
Gm10226	All
Gm2000	All
Gm45871	All
Gna15	All
Gpx1	All
Grin2b	All
Grm1	All
Grm2	All
Gstm1	All
Gstz1	All
H2aj	All
Herc1	All
Hes5	All
Hook2	All
Hs6st3	All
Hunk	All
Hus1	All
Iffo1	All
Ikzf4	All
Il1rapl2	All
Isoc1	All
Jag1	All
Jmjd4	All
Katnbl1	All
Kcnh5	All
Kcnq3	All
Kctd7	All
Klhl5	All
Klhl8	All
Kmt5c	All
Krcc1	All
Krr1	All
Ksr2	All
Laptm5	All
Lhx2	All
Lmod1	All
Lrp10	All
Lrrc55	All
Mad2l1	All
Maob	All
Mapk10	All
Marchf2	All
Mdk	All
Mpnd	All
Mrpl14	All
Mtap	All
Mtf1	All
Mtmr11	All
Myo5a	All
Nadk2	All
Napb	All
Nav1	All
Nceh1	All
Ndufs7	All
Nedd1	All
Nelfe	All
Nexmif	All
Nhsl2	All
Nmnat2	All
Nol7	All
Npr2	All
Npr3	All
Nras	All
Nsd1	All
Nwd2	All
Nyap2	All
Orc5	All
Oser1	All
Ostf1	All
Parm1	All
Pclo	All
Pcsk6	All
Pcyox1	All
Pcyt1b	All
Pgap1	All
Phc3	All
Phgdh	All
Pip4k2c	All
Pla2g6	All
Pld2	All
Plxna2	All
Polr3b	All
Ppm1k	All
Ppp1r3g	All
Ppp1r9a	All
Prdm10	All
Prdx6	All
Psen1	All
Psme1	All
Ptchd1	All
R3hcc1l	All
Rab34	All
Rad54l	All
Rasal2	All
Rasgrf2	All
Rbis	All
Rcan3	All
Rftn2	All
Rlbp1	All
Rmdn3	All
Rnd2	All
Rnf150	All
Rpl19	All
Rpl22l1	All
Rpl28	All
Rpl31	All
Rpl7a	All
Rplp0	All
Rps18-ps5	All
Rps20	All
Rps21	All
Rps26	All
Rps27	All
Rps3	All
Rxfp1	All
Sarnp	All
Sat1	All
Scarf2	All
Scn2a	All
Sepsecs	All
Serf1	All
Sh3bgrl2	All
Sigirr	All
Sik2	All
Slc24a4	All
Slc25a1	All
Slc26a4	All
Slc2a13	All
Slc35a1	All
Slc4a2	All
Slc6a7	All
Slc7a14	All
Slc9a7	All
Smcr8	All
Snf8	All
Sorcs1	All
Spen	All
Srcap	All
Ss18l1	All
St6gal2	All
St8sia3	All
Stx17	All
Stxbp5l	All
Syn3	All
Tbx2	All
Tbx3	All
Tgfbrap1	All
Tkfc	All
Tln2	All
Tmem131	All
Tmem147	All
Tmem178b	All
Tmem245	All
Tnr	All
Tnrc6b	All
Tob1	All
Trim39	All
Trp53inp2	All
Trp53rka	All
Trpc5	All
Tsc22d3	All
Twf1	All
Ubxn2b	All
Ucp2	All
Unc5c	All
Upp1	All
Usp37	All
Usp6nl	All
Vamp8	All
Vopp1	All
Vps13c	All
Wdyhv1	All
Xkr4	All
Xpr1	All
Xylt1	All
Zadh2	All
Zbtb37	All
Zdhhc21	All
Zfp526	All
Zfp618	All
Zfp827	All
Zfp831	All
Zkscan16	All
Zmat4	All
Znrf3	All
Acap2	Downreg
Add2	Downreg
Adgra1	Downreg
Adra1a	Downreg
Aff2	Downreg
Ago2	Downreg
Akap6	Downreg
Akap9	Downreg
Alg13	Downreg
Alms1	Downreg
Alpk1	Downreg
Amer3	Downreg
Amotl1	Downreg
Ank2	Downreg
Ankrd12	Downreg
Ar	Downreg
Arfgef3	Downreg
Arhgap35	Downreg
Arid5a	Downreg
Asxl2	Downreg
Asxl3	Downreg
Atp2b3	Downreg
Atp8a2	Downreg
Blzf1	Downreg
Brwd3	Downreg
Cacna1c	Downreg
Cacna1e	Downreg
Caln1	Downreg
Casd1	Downreg
Cds2	Downreg
Chrm2	Downreg
Chrnb2	Downreg
Clstn2	Downreg
Clvs2	Downreg
Cnih3	Downreg
Cstf2t	Downreg
Cttnbp2nl	Downreg
Cxxc4	Downreg
Cyp2s1	Downreg
D430041D05Rik	Downreg
D630045J12Rik	Downreg
Dcbld2	Downreg
Dlc1	Downreg
Dmxl2	Downreg
Dnajc16	Downreg
Dnm3	Downreg
Dpysl3	Downreg
Dzip3	Downreg
Elovl4	Downreg
Epg5	Downreg
Epm2a	Downreg
Erbb4	Downreg
Ess2	Downreg
Fam49a	Downreg
Fbxl20	Downreg
Fnip2	Downreg
Foxo3	Downreg
Fry	Downreg
Fzd3	Downreg
Gabrb1	Downreg
Gabrb2	Downreg
Gas7	Downreg
Glg1	Downreg
Gna15	Downreg
Grin2b	Downreg
Grm1	Downreg
Grm2	Downreg
Herc1	Downreg
Hs6st3	Downreg
Hunk	Downreg
Hus1	Downreg
Ikzf4	Downreg
Il1rapl2	Downreg
Jmjd4	Downreg
Kcnh5	Downreg
Kcnq3	Downreg
Kctd7	Downreg
Klhl8	Downreg
Ksr2	Downreg
Laptm5	Downreg
Lrrc55	Downreg
Mapk10	Downreg
Mtf1	Downreg
Myo5a	Downreg
Napb	Downreg
Nav1	Downreg
Nceh1	Downreg
Nexmif	Downreg
Nhsl2	Downreg
Nmnat2	Downreg
Npr3	Downreg
Nsd1	Downreg
Nwd2	Downreg
Nyap2	Downreg
Parm1	Downreg
Pclo	Downreg
Pcyox1	Downreg
Pcyt1b	Downreg
Pgap1	Downreg
Phc3	Downreg
Pip4k2c	Downreg
Plxna2	Downreg
Polr3b	Downreg
Ppm1k	Downreg
