"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"1","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)","6/112",0.000392674052310717,0.113045329519966,0,0,6.80763920846756,53.3891193075971,"RPS28;SMG1;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"2","gamma-aminobutyric acid signaling pathway (GO:0007214)","3/19",0.000528929419323067,0.113045329519966,0,0,22.2462574850299,167.840350175512,"GABRB2;GABRB1;GABRG3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"3","nuclear-transcribed mRNA catabolic process (GO:0000956)","7/174",0.000732060027874218,0.113045329519966,0,0,5.05642702325411,36.5056234583193,"RPS28;SMG1;RPS16;RPS7;LSM1;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"4","positive regulation of supramolecular fiber organization (GO:1902905)","5/84",0.000751367744439231,0.113045329519966,0,0,7.57614115841964,54.4998453539242,"SEMA5A;TENM1;AKAP9;LMOD1;RPS3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"5","chemical synaptic transmission (GO:0007268)","9/289",0.00084288816877235,0.113045329519966,0,0,3.9030612244898,27.6285068599871,"GABRB2;GRM2;NAPB;GABRB1;AKAP9;OPRL1;GABRG3;CACNA1E;SSTR4","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"6","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)","5/89",0.000976420446216515,0.113045329519966,0,0,7.12337662337662,49.3765204892351,"RPS28;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"7","regulation of lysosomal protein catabolic process (GO:1905165)","2/6",0.00105349366352888,0.113045329519966,0,0,59.0059523809524,404.52376442682,"LRP2;LDLR","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"8","anterograde trans-synaptic signaling (GO:0098916)","8/240",0.0010584551847405,0.113045329519966,0,0,4.17156236696467,28.5791435339706,"GABRB2;GRM2;GABRB1;AKAP9;OPRL1;GABRG3;CACNA1E;SSTR4","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"9","cytoplasmic translation (GO:0002181)","4/54",0.00114437008168696,0.113045329519966,0,0,9.53253012048193,64.5628822170278,"RPS28;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"10","cotranslational protein targeting to membrane (GO:0006613)","5/93",0.00118975917411072,0.113045329519966,0,0,6.79820936639118,45.7791715613039,"RPS28;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"11","chloride transmembrane transport (GO:1902476)","4/57",0.00140143154203862,0.113045329519966,0,0,8.99158899749943,59.0770868308568,"GABRB2;GABRB1;SLC26A4;GABRG3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"12","protein targeting to ER (GO:0045047)","5/97",0.0014357783009185,0.113045329519966,0,0,6.50131752305665,42.5579379137851,"RPS28;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"13","cellular response to histamine (GO:0071420)","2/7",0.00146665597181593,0.113045329519966,0,0,47.202380952381,307.984694209891,"GABRB2;GABRB1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"14","positive regulation of protein polymerization (GO:0032273)","4/64",0.00215289343807033,0.143813281663098,0,0,7.93975903614458,48.7576041530247,"TENM1;AKAP9;LMOD1;RPS3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"15","inorganic anion transmembrane transport (GO:0098661)","4/64",0.00215289343807033,0.143813281663098,0,0,7.93975903614458,48.7576041530247,"GABRB2;GABRB1;SLC26A4;GABRG3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"16","vitamin transmembrane transport (GO:0035461)","2/9",0.00248629415929422,0.147149544676569,0,0,33.7125850340136,202.173090243009,"SLC5A6;LRP2","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"17","viral gene expression (GO:0019080)","5/110",0.00249654916117931,0.147149544676569,0,0,5.69264069264069,34.115118071743,"RPS28;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"18","positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)","3/33",0.00272951045425728,0.147463245703905,0,0,11.8562874251497,69.9951697794436,"FIS1;RPS7;RPS3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"19","viral transcription (GO:0019083)","5/113",0.00280556750430584,0.147463245703905,0,0,5.53367003367003,32.5166720786009,"RPS28;RPS16;RPS7;RPS3;RPL15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"20","regulation of pH (GO:0006885)","2/10",0.0030905470656507,0.147463245703905,0,0,29.4970238095238,170.475310598821,"SLC9A7;SLC26A4","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"21","response to histamine (GO:0034776)","2/10",0.0030905470656507,0.147463245703905,0,0,29.4970238095238,170.475310598821,"GABRB2;GABRB1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"22","chloride transport (GO:0006821)","4/73",0.00347671397450677,0.150552394066845,0,0,6.90099528548979,39.0711420469786,"GABRB2;GABRB1;SLC26A4;GABRG3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"23","synaptic transmission, GABAergic (GO:0051932)","2/11",0.0037562972571568,0.150552394066845,0,0,26.218253968254,146.411161393895,"GABRB2;GABRG3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"24","positive regulation of actin filament depolymerization (GO:0030836)","2/11",0.0037562972571568,0.150552394066845,0,0,26.218253968254,146.411161393895,"SEMA5A;WASHC2C","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"25","UDP-N-acetylglucosamine biosynthetic process (GO:0006048)","2/11",0.0037562972571568,0.150552394066845,0,0,26.218253968254,146.411161393895,"AMDHD2;UAP1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"26","regulation of cellular pH (GO:0030641)","3/38",0.00409143190242611,0.157677491008883,0,0,10.1599657827203,55.8682322054974,"SLC9A4;SLC9A7;SLC26A4","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"27","amino sugar biosynthetic process (GO:0046349)","2/12",0.0044824681038176,0.160408322858044,0,0,23.5952380952381,127.59317226212,"AMDHD2;UAP1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"28","UDP-N-acetylglucosamine metabolic process (GO:0006047)","2/12",0.0044824681038176,0.160408322858044,0,0,23.5952380952381,127.59317226212,"AMDHD2;UAP1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"29","cellular response to low-density lipoprotein particle stimulus (GO:0071404)","2/13",0.00526799664358407,0.172263542416762,0,0,21.4491341991342,112.524413004057,"SYK;LDLR","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"30","negative regulation of ubiquitin-protein transferase activity (GO:0051444)","2/13",0.00526799664358407,0.172263542416762,0,0,21.4491341991342,112.524413004057,"RPS7;MAD2L1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"31","Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)","5/133",0.00561188800299988,0.172263542416762,0,0,4.66429924242424,24.1744476294686,"YES1;SYK;ARPC1B;VAV1;PLD2","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"32","Fc-gamma receptor signaling pathway (GO:0038094)","5/134",0.0057902206031514,0.172263542416762,0,0,4.62790697674419,23.8410556417164,"YES1;SYK;ARPC1B;VAV1;PLD2","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"33","Fc receptor mediated stimulatory signaling pathway (GO:0002431)","5/135",0.00597251364116274,0.172263542416762,0,0,4.59207459207459,23.5141192720275,"YES1;SYK;ARPC1B;VAV1;PLD2","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"34","regulation of calcineurin-NFAT signaling cascade (GO:0070884)","2/14",0.00611183342975262,0.172263542416762,0,0,19.6607142857143,100.221051017906,"RCAN1;RCAN3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"35","ribosomal small subunit biogenesis (GO:0042274)","3/44",0.00618910930838666,0.172263542416762,0,0,8.67051263327004,44.0892454224795,"RPS28;RPS16;RPS7","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"36","regulation of intracellular pH (GO:0051453)","3/44",0.00618910930838666,0.172263542416762,0,0,8.67051263327004,44.0892454224795,"SLC9A4;SLC9A7;SLC26A4","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"37","sodium ion import across plasma membrane (GO:0098719)","2/15",0.00701294238229993,0.180178673514475,0,0,18.1474358974359,90.0112444008536,"SLC9A4;SLC9A7","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"38","G-protein coupled glutamate receptor signaling pathway (GO:0007216)","2/15",0.00701294238229993,0.180178673514475,0,0,18.1474358974359,90.0112444008536,"GRM2;GRM8","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"39","sodium ion import (GO:0097369)","2/15",0.00701294238229993,0.180178673514475,0,0,18.1474358974359,90.0112444008536,"SLC9A4;SLC9A7","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"40","rRNA processing (GO:0006364)","6/202",0.00770472398784782,0.193003335895588,0,0,3.66488302638128,17.8330336016721,"RPS28;RPS16;RPS7;RPS3;RPL15;RRP15","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"41","sialylation (GO:0097503)","2/16",0.00797030063941596,0.194786371724263,0,0,16.8503401360544,81.4214007024929,"ST6GAL2;ST8SIA3","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"42","negative regulation of protein ubiquitination (GO:0031397)","3/50",0.00882622950027958,0.210568618078099,0,0,7.56134539431775,35.7653706367984,"RPS7;RPS3;N4BP1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"43","positive regulation of actin filament polymerization (GO:0030838)","3/51",0.00932022570684613,0.217182933913019,0,0,7.40344311377245,34.6153049190439,"TENM1;LMOD1;WASHC2C","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"44","membrane fusion (GO:0061025)","3/54",0.0108977469608785,0.2433082055285,0,0,6.96688974991194,31.4847626675407,"DNM3;NAPB;FIS1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
"45","nucleotide-sugar biosynthetic process (GO:0009226)","2/19",0.0111698377787535,0.2433082055285,0,0,13.874649859944,62.3601436537876,"AMDHD2;UAP1","All","GO_Biological_Process_2018","HDAC5c_eGFPc"
