Gene	Direction
AARS2	All
ABHD14B	All
ACAP2	All
ACSS1	All
AFF2	All
AKAP9	All
AKR7L	All
AMDHD2	All
ANKRD12	All
ARPC1B	All
ASXL2	All
ATP8A2	All
BTBD17	All
CACNA1E	All
CALN1	All
CBLL1	All
CHCHD1	All
CNIH2	All
CNIH3	All
CREB3L2	All
CSMD1	All
CSTF2T	All
KIAA1549L	All
DALRD3	All
DCBLD2	All
DDX10	All
DGKI	All
DMXL2	All
DNAJC16	All
DNM3	All
DYSF	All
DZIP3	All
ECHDC1	All
EIF3F	All
ELOVL4	All
ENKD1	All
ETS2	All
FBXL7	All
FERMT3	All
FIS1	All
FOXP2	All
FPGS	All
GABRB1	All
GABRB2	All
GABRG3	All
GAS7	All
GATM	All
GJA1	All
GPR108	All
GRM2	All
GRM8	All
H2AJ	All
IKBKG	All
IL1RAPL2	All
JMJD4	All
KLF8	All
KLHL5	All
LCP1	All
LDLR	All
LFNG	All
LGALS1	All
LHX2	All
LMOD1	All
LRIG2	All
LRP2	All
LRRC42	All
LRRK1	All
LSM1	All
MAD2L1	All
MANEA	All
MAOB	All
MDK	All
MED28	All
METAP1D	All
MICOS10	All
MICOS10-NBL1	All
MROH7	All
MROH7-TTC4	All
MRPL14	All
MYDGF	All
N4BP1	All
NADK2	All
NAPB	All
NDUFS6	All
NELFE	All
NWD2	All
NYAP2	All
OPRL1	All
PCLO	All
PGAP1	All
PHC3	All
PHGDH	All
PHLPP2	All
PIGB	All
PLA2G4E	All
PLD2	All
PLEKHF2	All
PPIP5K2	All
PRDM10	All
PRDX6	All
PTCHD1	All
R3HCC1L	All
RAI14	All
RBM28	All
RCAN1	All
RCAN3	All
RFTN2	All
RNF114	All
RNF152	All
RPL15	All
RPRM	All
RPS16	All
RPS28	All
RPS3	All
RPS7	All
RRP15	All
S100PBP	All
SAR1B	All
SDK2	All
SELENOW	All
SEMA5A	All
SERF1A	All
SH3BGRL2	All
SLC26A4	All
SLC41A2	All
SLC5A6	All
SLC7A14	All
SLC9A4	All
SLC9A7	All
SMG1	All
SOWAHC	All
SRSF9	All
SSTR4	All
ST6GAL2	All
ST8SIA3	All
STK4	All
STXBP5L	All
SYK	All
SYNJ2	All
TAF10	All
TCEAL7	All
TENM1	All
TKFC	All
TMEM129	All
TMEM131	All
TMEM245	All
TRMT1	All
TRNP1	All
TST	All
UACA	All
UAP1	All
UCP2	All
UNC5C	All
UNC93B1	All
UPP1	All
UQCC3	All
USP37	All
VAV1	All
WASHC2C	All
WASHC2A	All
XYLT1	All
YES1	All
YRDC	All
ZCCHC24	All
ZCCHC7	All
ZDHHC15	All
ZDHHC21	All
ZNF329	All
ZMAT4	All
ZNRF3	All
AARS2	Downreg
ACAP2	Downreg
AFF2	Downreg
AKAP9	Downreg
ANKRD12	Downreg
ASXL2	Downreg
ATP8A2	Downreg
CACNA1E	Downreg
CALN1	Downreg
CBLL1	Downreg
CNIH3	Downreg
CREB3L2	Downreg
CSMD1	Downreg
CSTF2T	Downreg
KIAA1549L	Downreg
DCBLD2	Downreg
DDX10	Downreg
DGKI	Downreg
DMXL2	Downreg
DNAJC16	Downreg
DNM3	Downreg
DZIP3	Downreg
ELOVL4	Downreg
ETS2	Downreg
FBXL7	Downreg
FOXP2	Downreg
FPGS	Downreg
GABRB1	Downreg
GABRB2	Downreg
GABRG3	Downreg
GAS7	Downreg
GRM2	Downreg
GRM8	Downreg
IL1RAPL2	Downreg
JMJD4	Downreg
KLF8	Downreg
LRIG2	Downreg
LRP2	Downreg
LSM1	Downreg
MANEA	Downreg
METAP1D	Downreg
N4BP1	Downreg
NAPB	Downreg
NWD2	Downreg
NYAP2	Downreg
OPRL1	Downreg
PCLO	Downreg
PGAP1	Downreg
PHC3	Downreg
PHLPP2	Downreg
PIGB	Downreg
PLA2G4E	Downreg
PPIP5K2	Downreg
PRDM10	Downreg
PTCHD1	Downreg
R3HCC1L	Downreg
