Gene	Direction
4930452B06Rik	All
5330417C22Rik	All
Aars2	All
Abhd14b	All
Acap2	All
Acss1	All
Aff2	All
Akap9	All
Akr7a5	All
Amdhd2	All
Ankrd12	All
Arpc1b	All
Asxl2	All
Atp8a2	All
Btbd17	All
Cacna1e	All
Caln1	All
Cbll1	All
Chchd1	All
Cnih2	All
Cnih3	All
Creb3l2	All
Csmd1	All
Cstf2t	All
D430041D05Rik	All
Dalrd3	All
Dcbld2	All
Ddx10	All
Dgki	All
Dmxl2	All
Dnajc16	All
Dnm3	All
Dysf	All
Dzip3	All
Echdc1	All
Eif3f	All
Elovl4	All
Enkd1	All
Ets2	All
Fbxl7	All
Fermt3	All
Fis1	All
Foxp2	All
Fpgs	All
Gabrb1	All
Gabrb2	All
Gabrg3	All
Gas7	All
Gatm	All
Gja1	All
Gm10226	All
Gpr108	All
Grm2	All
Grm8	All
H2aj	All
Ikbkg	All
Il1rapl2	All
Jmjd4	All
Klf8	All
Klhl5	All
Lcp1	All
Ldlr	All
Lfng	All
Lgals1	All
Lhx2	All
Lmod1	All
Lrig2	All
Lrp2	All
Lrrc42	All
Lrrk1	All
Lsm1	All
Mad2l1	All
Manea	All
Maob	All
Mdk	All
Med28	All
Metap1d	All
Micos10	All
Mroh7	All
Mrpl14	All
Mydgf	All
N4bp1	All
Nadk2	All
Napb	All
Ndufs6	All
Nelfe	All
Nwd2	All
Nyap2	All
Oprl1	All
Pclo	All
Pcp4	All
Pgap1	All
Phc3	All
Phgdh	All
Phlpp2	All
Pigb	All
Pla2g4e	All
Pld2	All
Plekhf2	All
Ppip5k2	All
Prdm10	All
Prdx6	All
Ptchd1	All
R3hcc1l	All
Rai14	All
Rbm28	All
Rcan1	All
Rcan3	All
Rftn2	All
Rnf114	All
Rnf152	All
Rpl15	All
Rprm	All
Rps16	All
Rps28	All
Rps3	All
Rps7	All
Rrp15	All
S100pbp	All
Sar1b	All
Sdk2	All
Selenow	All
Sema5a	All
Serf1	All
Sh3bgrl2	All
Slc26a4	All
Slc41a2	All
Slc5a6	All
Slc7a14	All
Slc9a4	All
Slc9a7	All
Smg1	All
Sowahc	All
Srsf9	All
Sstr4	All
St6gal2	All
St8sia3	All
Stk4	All
Stxbp5l	All
Syk	All
Synj2	All
Taf10	All
Tceal7	All
Tenm1	All
Tkfc	All
Tmem129	All
Tmem131	All
Tmem245	All
Trmt1	All
Trnp1	All
Tst	All
Uaca	All
Uap1	All
Ucp2	All
Unc5c	All
Unc93b1	All
Upp1	All
Uqcc3	All
Usp37	All
Vav1	All
Washc2	All
Xylt1	All
Yes1	All
Yrdc	All
Zcchc24	All
Zcchc7	All
Zdhhc15	All
Zdhhc21	All
Zfp267	All
Zfp329	All
Zmat4	All
Znrf3	All
Zxdb	All
5330417C22Rik	Downreg
Aars2	Downreg
Acap2	Downreg
Aff2	Downreg
Akap9	Downreg
Ankrd12	Downreg
Asxl2	Downreg
Atp8a2	Downreg
Cacna1e	Downreg
Caln1	Downreg
Cbll1	Downreg
Cnih3	Downreg
Creb3l2	Downreg
Csmd1	Downreg
Cstf2t	Downreg
D430041D05Rik	Downreg
Dcbld2	Downreg
Ddx10	Downreg
Dgki	Downreg
Dmxl2	Downreg
Dnajc16	Downreg
Dnm3	Downreg
Dzip3	Downreg
Elovl4	Downreg
Ets2	Downreg
Fbxl7	Downreg
Foxp2	Downreg
Fpgs	Downreg
Gabrb1	Downreg
Gabrb2	Downreg
Gabrg3	Downreg
Gas7	Downreg
Grm2	Downreg
Grm8	Downreg
Il1rapl2	Downreg
Jmjd4	Downreg
Klf8	Downreg
Lrig2	Downreg
Lrp2	Downreg
Lsm1	Downreg
Manea	Downreg
Metap1d	Downreg
N4bp1	Downreg
Napb	Downreg
Nwd2	Downreg
Nyap2	Downreg
Oprl1	Downreg
Pclo	Downreg
Pcp4	Downreg
Pgap1	Downreg
Phc3	Downreg
Phlpp2	Downreg
Pigb	Downreg
Pla2g4e	Downreg
Ppip5k2	Downreg
Prdm10	Downreg
Ptchd1	Downreg
R3hcc1l	Downreg
Rai14	Downreg
Rbm28	Downreg
Rcan3	Downreg
Rnf152	Downreg
Rprm	Downreg
Rrp15	Downreg
S100pbp	Downreg
Sdk2	Downreg
Sema5a	Downreg
Serf1	Downreg
Sh3bgrl2	Downreg
Slc26a4	Downreg
Slc41a2	Downreg
Slc7a14	Downreg
Slc9a4	Downreg
Slc9a7	Downreg
Smg1	Downreg
Sowahc	Downreg
Sstr4	Downreg
St6gal2	Downreg
St8sia3	Downreg
Stk4	Downreg
Stxbp5l	Downreg
Synj2	Downreg
Tceal7	Downreg
Tenm1	Downreg
Tmem131	Downreg
Tmem245	Downreg
Uap1	Downreg
Unc5c	Downreg
Usp37	Downreg
Xylt1	Downreg
Zcchc7	Downreg
Zdhhc15	Downreg
Zdhhc21	Downreg
Zfp267	Downreg
Zfp329	Downreg
Zmat4	Downreg
Znrf3	Downreg
4930452B06Rik	Upreg
Abhd14b	Upreg
Acss1	Upreg
Akr7a5	Upreg
Amdhd2	Upreg
Arpc1b	Upreg
Btbd17	Upreg
Chchd1	Upreg
Cnih2	Upreg
Dalrd3	Upreg
Dysf	Upreg
Echdc1	Upreg
Eif3f	Upreg
Enkd1	Upreg
Fermt3	Upreg
Fis1	Upreg
Gatm	Upreg
Gja1	Upreg
Gm10226	Upreg
Gpr108	Upreg
H2aj	Upreg
Ikbkg	Upreg
Klhl5	Upreg
Lcp1	Upreg
Ldlr	Upreg
Lfng	Upreg
Lgals1	Upreg
Lhx2	Upreg
Lmod1	Upreg
Lrrc42	Upreg
Lrrk1	Upreg
Mad2l1	Upreg
Maob	Upreg
Mdk	Upreg
Med28	Upreg
Micos10	Upreg
Mroh7	Upreg
Mrpl14	Upreg
Mydgf	Upreg
Nadk2	Upreg
Ndufs6	Upreg
Nelfe	Upreg
Phgdh	Upreg
Pld2	Upreg
Plekhf2	Upreg
Prdx6	Upreg
Rcan1	Upreg
Rftn2	Upreg
Rnf114	Upreg
Rpl15	Upreg
Rps16	Upreg
Rps28	Upreg
Rps3	Upreg
Rps7	Upreg
Sar1b	Upreg
Selenow	Upreg
Slc5a6	Upreg
Srsf9	Upreg
Syk	Upreg
Taf10	Upreg
Tkfc	Upreg
Tmem129	Upreg
Trmt1	Upreg
Trnp1	Upreg
Tst	Upreg
Uaca	Upreg
Ucp2	Upreg
Unc93b1	Upreg
Upp1	Upreg
Uqcc3	Upreg
Vav1	Upreg
Washc2	Upreg
Yes1	Upreg
Yrdc	Upreg
Zcchc24	Upreg
Zxdb	Upreg
