"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"1","L-serine metabolic process (GO:0006563)","2/11",0.00102590882803466,0.244102971891428,0,0,51.4289405684755,353.943040941477,"SHMT2;PHGDH","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"2","glycerol metabolic process (GO:0006071)","2/11",0.00102590882803466,0.244102971891428,0,0,51.4289405684755,353.943040941477,"COQ2;TKFC","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"3","positive regulation of angiogenesis (GO:0045766)","4/103",0.00111035731539412,0.244102971891428,0,0,9.53006253006253,64.8337149910273,"AGO2;VASH2;ITGA5;CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"4","neurotransmitter biosynthetic process (GO:0042136)","2/14",0.00168290740365374,0.244102971891428,0,0,38.5658914728682,246.32931092995,"ACHE;SLC5A7","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"5","positive regulation of multicellular organismal process (GO:0051240)","5/202",0.00198844791995083,0.244102971891428,0,0,6.02868326096263,37.500826687537,"GHR;CCDC88B;AGO2;ABCA7;CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"6","serine family amino acid metabolic process (GO:0009069)","2/17",0.00249364022138531,0.244102971891428,0,0,30.8480620155039,184.903644636923,"SEPSECS;SHMT2","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"7","dolichol-linked oligosaccharide biosynthetic process (GO:0006488)","2/18",0.00279734326962424,0.244102971891428,0,0,28.9186046511628,170.014939004445,"ALG13;DHDDS","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"8","regulation of peptidyl-tyrosine phosphorylation (GO:0050730)","3/85",0.00626909823541246,0.244102971891428,0,0,8.5351506456241,43.2913318222494,"GHR;ITGA5;IL6R","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"9","synaptic transmission, cholinergic (GO:0007271)","2/28",0.00671679672505518,0.244102971891428,0,0,17.7871198568873,88.9915204936052,"ACHE;SLC5A7","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"10","positive regulation of vasculature development (GO:1904018)","3/104",0.0108890387919965,0.244102971891428,0,0,6.92288875946418,31.2914475777899,"AGO2;VASH2;CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"11","inositol lipid-mediated signaling (GO:0048017)","2/39",0.0127618253822232,0.244102971891428,0,0,12.4921433060968,54.4819465780902,"PIK3CD;NGF","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"12","negative regulation of cytokine secretion (GO:0050710)","2/40",0.0133954552955024,0.244102971891428,0,0,12.1627906976744,52.4561676370684,"SSC5D;CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"13","positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)","3/116",0.014597039502055,0.244102971891428,0,0,6.18396668401874,26.1392347676454,"GHR;ITGA5;IL6R","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"14","positive regulation of developmental growth (GO:0048639)","2/51",0.0212251835065573,0.244102971891428,0,0,9.42714760322734,36.3187168274867,"GHR;NGF","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"15","positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)","2/53",0.0228106365369672,0.244102971891428,0,0,9.05654354765162,34.238519517413,"GHR;IL6R","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"16","phosphatidylinositol-mediated signaling (GO:0048015)","2/56",0.0252774006672591,0.244102971891428,0,0,8.55211024978467,31.4533319593968,"PIK3CD;NGF","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"17","adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway (GO:0007196)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"GRM6","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"18","glomerulus vasculature development (GO:0072012)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"19","positive regulation of trophoblast cell migration (GO:1901165)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"AGO2","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"20","B cell chemotaxis (GO:0035754)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"PIK3CD","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"21","citrate metabolic process (GO:0006101)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"GHR","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"22","positive regulation of cardiac muscle contraction (GO:0060452)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"NPPA","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"23","negative regulation of cellular response to hypoxia (GO:1900038)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"CD34","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"24","positive regulation of amyloid-beta clearance (GO:1900223)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"ABCA7","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"25","peptidyl-proline hydroxylation (GO:0019511)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"EGLN3","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"26","neutrophil extravasation (GO:0072672)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"PIK3CD","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"27","plasma membrane fusion (GO:0045026)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"VASH2","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"28","positive regulation of phospholipid transport (GO:2001140)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"ABCA7","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"29","positive regulation of sodium ion transmembrane transport (GO:1902307)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"GLRX","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"30","lipoprotein catabolic process (GO:0042159)","1/6",0.0261143529165796,0.244102971891428,0,0,45.7632183908046,166.819296056048,"NOTUM","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"31","dicarboxylic acid metabolic process (GO:0043648)","2/59",0.027847676669017,0.244102971891428,0,0,8.10077519379845,29.0089224601859,"GHR;SHMT2","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"32","regulation of tyrosine phosphorylation of STAT protein (GO:0042509)","2/61",0.0296171765566543,0.244102971891428,0,0,7.82538431217974,27.5406637841664,"GHR;IL6R","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"33","positive regulation of multicellular organism growth (GO:0040018)","1/7",0.0304007210272824,0.244102971891428,0,0,38.1340996168582,133.213428918396,"GHR","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
"34","regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)","1/7",0.0304007210272824,0.244102971891428,0,0,38.1340996168582,133.213428918396,"NPPA","All","GO_Biological_Process_2018","HDAC5s_eGFPs"
