Gene	Direction
ABCA7	All
ABCC6	All
ACHE	All
AGO2	All
ALG13	All
ALKAL1	All
ALMS1	All
ALPK1	All
AR	All
ARID5A	All
ARL16	All
ASIC4	All
CBR3	All
CCDC137	All
CCDC191	All
CCDC88B	All
CD34	All
CHCHD1	All
CHCHD4	All
CIZ1	All
CLDN19	All
COQ2	All
CPT2	All
CRISPLD1	All
DHDDS	All
DIO3	All
DYM	All
EGLN3	All
EXOG	All
FAHD2A	All
FERMT3	All
FLYWCH2	All
GAA	All
GHR	All
GLRX	All
GRM6	All
GSTZ1	All
HEXB	All
HLX	All
HUNK	All
IFFO1	All
IL6R	All
ITGA5	All
KATNBL1	All
LMO3	All
MAD2L1	All
MIF4GD	All
MPHOSPH9	All
MRPL27	All
MTAP	All
NGF	All
NOTUM	All
NPPA	All
OSGEPL1	All
PCSK6	All
PHGDH	All
PIK3CD	All
PLAG1	All
PLCE1	All
PRDX4	All
PRPF38A	All
PVALB	All
RAB36	All
RAD54L	All
RBM11	All
RFTN2	All
RNF113A	All
RUVBL1	All
SEPSECS	All
SHMT2	All
SLC35A3	All
SLC5A7	All
SSC5D	All
TKFC	All
TMEM38B	All
TMX1	All
TNFRSF11B	All
UVSSA	All
VASH2	All
VSIG10L	All
WNT10A	All
ZBTB1	All
ZBTB37	All
ZNF526	All
ZNF786	All
ZNF34	All
ZKSCAN5	All
ZNRF2	All
ALKAL1	Downreg
ARL16	Downreg
CCDC191	Downreg
CCDC88B	Downreg
CHCHD1	Downreg
CLDN19	Downreg
COQ2	Downreg
CPT2	Downreg
DHDDS	Downreg
DIO3	Downreg
EGLN3	Downreg
EXOG	Downreg
FAHD2A	Downreg
GAA	Downreg
GLRX	Downreg
GRM6	Downreg
GSTZ1	Downreg
HEXB	Downreg
IFFO1	Downreg
KATNBL1	Downreg
LMO3	Downreg
MAD2L1	Downreg
MRPL27	Downreg
MTAP	Downreg
OSGEPL1	Downreg
PCSK6	Downreg
PHGDH	Downreg
PLCE1	Downreg
PRDX4	Downreg
RAB36	Downreg
RFTN2	Downreg
RNF113A	Downreg
RUVBL1	Downreg
SEPSECS	Downreg
SLC5A7	Downreg
TKFC	Downreg
TMX1	Downreg
TNFRSF11B	Downreg
ZNF786	Downreg
ABCA7	Upreg
ABCC6	Upreg
ACHE	Upreg
AGO2	Upreg
ALG13	Upreg
ALMS1	Upreg
ALPK1	Upreg
AR	Upreg
ARID5A	Upreg
ASIC4	Upreg
CBR3	Upreg
CCDC137	Upreg
CD34	Upreg
CHCHD4	Upreg
CIZ1	Upreg
CRISPLD1	Upreg
DYM	Upreg
FERMT3	Upreg
FLYWCH2	Upreg
GHR	Upreg
HLX	Upreg
HUNK	Upreg
IL6R	Upreg
ITGA5	Upreg
MIF4GD	Upreg
MPHOSPH9	Upreg
NGF	Upreg
NOTUM	Upreg
NPPA	Upreg
PIK3CD	Upreg
PLAG1	Upreg
PRPF38A	Upreg
PVALB	Upreg
RAD54L	Upreg
RBM11	Upreg
SHMT2	Upreg
SLC35A3	Upreg
SSC5D	Upreg
TMEM38B	Upreg
UVSSA	Upreg
VASH2	Upreg
VSIG10L	Upreg
WNT10A	Upreg
ZBTB1	Upreg
ZBTB37	Upreg
ZNF526	Upreg
ZNF34	Upreg
ZKSCAN5	Upreg
ZNRF2	Upreg
