Gene	Direction
Abca7	All
Abcc6	All
Abcg2	All
Ache	All
Ago2	All
Alg13	All
Alkal1	All
Alms1	All
Alpk1	All
Ar	All
Arid5a	All
Arl16	All
Asic4	All
Cbr3	All
Ccdc137	All
Ccdc191	All
Ccdc88b	All
Cd34	All
Chchd1	All
Chchd4	All
Ciz1	All
Cldn19	All
Coq2	All
Cpt2	All
Crispld1	All
Dhdds	All
Dio3	All
Dym	All
Egln3	All
Exog	All
Fahd2a	All
Fermt3	All
Flywch2	All
Gaa	All
Ghr	All
Glrx	All
Gm17606	All
Grm6	All
Gstz1	All
Hexb	All
Hlx	All
Hunk	All
Iffo1	All
Il6ra	All
Itga5	All
Katnbl1	All
Lmo3	All
Mad2l1	All
Mif4gd	All
Mphosph9	All
Mrpl27	All
Mtap	All
Ngf	All
Notum	All
Nppa	All
Osgepl1	All
Pcsk6	All
Phgdh	All
Pik3cd	All
Plag1	All
Plce1	All
Prdx4	All
Prpf38a	All
Pvalb	All
Rab36	All
Rad54l	All
Rbm11	All
Rftn2	All
Rnf113a1	All
Ruvbl1	All
Sepsecs	All
Shmt2	All
Slc35a3	All
Slc5a7	All
Ssc5d	All
Tkfc	All
Tmem38b	All
Tmx1	All
Tnfrsf11b	All
Uvssa	All
Vash2	All
Vsig10l	All
Wnt10a	All
Zbtb1	All
Zbtb37	All
Zfp526	All
Zfp786	All
Zfp945	All
Zkscan5	All
Znrf2	All
Abcg2	Downreg
Alkal1	Downreg
Arl16	Downreg
Ccdc191	Downreg
Ccdc88b	Downreg
Chchd1	Downreg
Cldn19	Downreg
Coq2	Downreg
Cpt2	Downreg
Dhdds	Downreg
Dio3	Downreg
Egln3	Downreg
Exog	Downreg
Fahd2a	Downreg
Gaa	Downreg
Glrx	Downreg
Grm6	Downreg
Gstz1	Downreg
Hexb	Downreg
Iffo1	Downreg
Katnbl1	Downreg
Lmo3	Downreg
Mad2l1	Downreg
Mrpl27	Downreg
Mtap	Downreg
Osgepl1	Downreg
Pcsk6	Downreg
Phgdh	Downreg
Plce1	Downreg
Prdx4	Downreg
Rab36	Downreg
Rftn2	Downreg
Rnf113a1	Downreg
Ruvbl1	Downreg
Sepsecs	Downreg
Slc5a7	Downreg
Tkfc	Downreg
Tmx1	Downreg
Tnfrsf11b	Downreg
Zfp786	Downreg
Abca7	Upreg
Abcc6	Upreg
Ache	Upreg
Ago2	Upreg
Alg13	Upreg
Alms1	Upreg
Alpk1	Upreg
Ar	Upreg
Arid5a	Upreg
Asic4	Upreg
Cbr3	Upreg
Ccdc137	Upreg
Cd34	Upreg
Chchd4	Upreg
Ciz1	Upreg
Crispld1	Upreg
Dym	Upreg
Fermt3	Upreg
Flywch2	Upreg
Ghr	Upreg
Gm17606	Upreg
Hlx	Upreg
Hunk	Upreg
Il6ra	Upreg
Itga5	Upreg
Mif4gd	Upreg
Mphosph9	Upreg
Ngf	Upreg
Notum	Upreg
Nppa	Upreg
Pik3cd	Upreg
Plag1	Upreg
Prpf38a	Upreg
Pvalb	Upreg
Rad54l	Upreg
Rbm11	Upreg
Shmt2	Upreg
Slc35a3	Upreg
Ssc5d	Upreg
Tmem38b	Upreg
Uvssa	Upreg
Vash2	Upreg
Vsig10l	Upreg
Wnt10a	Upreg
Zbtb1	Upreg
Zbtb37	Upreg
Zfp526	Upreg
Zfp945	Upreg
Zkscan5	Upreg
Znrf2	Upreg
