egfp_coca_hdac5_coca	egfp_coca_egfp_saline	egfp_coca_hdac5_saline	hdac5_coca_egfp_saline	hdac5_coca_hdac5_saline	egfp_saline_hdac5_saline
0610010F05Rik	0.936240112897228	0.732254979646167	0.980705635058209	0.965067358428737	0.778811365713511	0.524501015992429
0610030E20Rik	0.340893982659237	0.405597427461952	0.40735422145828	0.998791619454542	0.998697094214033	0.999999979461198
0610040J01Rik	0.997397896581536	0.992319285581165	0.856961712896396	0.999768926863007	0.764734324937223	0.7196022049417
1110004F10Rik	0.943517955309092	0.905072662753785	0.522782429682312	0.63085614556439	0.274315852221314	0.875233657280914
1110008P14Rik	0.606704558247182	0.63180976239579	0.999616910054814	0.136860992551636	0.662397142730315	0.57635590958257
1110012L19Rik	0.997456441382531	0.988304899069016	0.830595957719186	0.956038451196561	0.909010785732685	0.664080168167303
1110032F04Rik	0.845676769164589	0.992281692085629	0.89794175560634	0.705510675359766	0.47704203185012	0.974022269684867
1110038F14Rik	0.917454376934958	0.984851663084302	0.936137112069804	0.763834007101215	0.999920906559847	0.794153786787635
1110051M20Rik	0.962174551958212	0.82944551221399	0.9578210738508	0.98094326722037	0.999997259885566	0.983607468239479
1110059E24Rik	0.832121435276901	0.923162593968478	0.883875318432762	0.498969126881348	0.999356582433632	0.562648409494963
1110059G10Rik	0.847600658692405	0.97868753382791	0.999992217794347	0.973015044029642	0.859659175708029	0.982664346673853
1110065P20Rik	0.218401552403559	0.929818822433624	0.992346155915574	0.0956611009876046	0.150744321416567	0.987223335894369
1500009C09Rik	0.552628037918039	0.99895158295551	0.982211515309825	0.629977989529631	0.370273350769758	0.955797098786343
1600012H06Rik	0.978425866226911	0.991556471925384	0.269752109193389	0.999505478762285	0.160054984441434	0.185591729057586
1700001L19Rik	0.0549135757379211	0.32795798927819	0.998022144209778	0.583748834456532	0.0430912418154241	0.263693212577926
1700003E16Rik	0.693021792396395	0.870016889951054	0.673354871938599	0.310889622217209	0.999982751691319	0.297394464225827
1700019D03Rik	0.99174953275022	0.912955928968778	0.993873799570438	0.981605191266397	0.948617974082416	0.804427286513415
1700022I11Rik	0.138684101884278	0.620907316879985	0.835459897215755	0.0244063884376556	0.410812308856033	0.238458358570485
1700025G04Rik	0.443386359854646	0.934003528163101	0.88461555407753	0.760163335620323	0.830614220407876	0.998932759339588
1700029I15Rik	0.559180634009212	0.999539521265292	0.64495278209288	0.502238928246775	0.998585359779287	0.585847714642055
1700037C18Rik	0.694075738534663	0.491671780673744	0.995760315982681	0.118995296132066	0.569581825379443	0.613100022718372
