"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"1","chloride transmembrane transport (GO:1902476)","4/57",7.59641375801965e-05,0.0386495311547254,0,0,19.9929559748428,189.638169725797,"ANO6;SLC26A4;GABRG3;SLC12A9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"2","inorganic anion transmembrane transport (GO:0098661)","4/64",0.0001196579911911,0.0386495311547254,0,0,17.6542222222222,159.433038057349,"ANO6;SLC26A4;GABRG3;SLC12A9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"3","chloride transport (GO:0006821)","4/73",0.00019954132583334,0.0429678988294458,0,0,15.3445410628019,130.727651802918,"ANO6;SLC26A4;GABRG3;SLC12A9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"4","negative regulation of protein autophosphorylation (GO:0031953)","2/10",0.000679146910919025,0.0903203699134944,0,0,64.6525974025974,471.619562481535,"ERRFI1;ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"5","inorganic anion transport (GO:0015698)","3/44",0.000699074070537882,0.0903203699134944,0,0,19.1399229781772,139.065969161367,"ENPP1;ANO6;SLC26A4","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"6","nucleotide-excision repair (GO:0006289)","4/108",0.000885110227098613,0.095296867784284,0,0,10.1625641025641,71.4407765664592,"GTF2H2C;UVSSA;HUS1;GTF2H2","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"7","monovalent inorganic cation homeostasis (GO:0055067)","2/26",0.00470824440130989,0.237245863984792,0,0,21.5335497835498,115.386238356961,"SLC26A4;SLC12A9","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"8","regulation of blood coagulation (GO:0030193)","2/30",0.00623782587776143,0.237245863984792,0,0,18.4536178107607,93.6912980188278,"FAP;CD34","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"9","regulation of protein autophosphorylation (GO:0031952)","2/31",0.00665104405618372,0.237245863984792,0,0,17.8163905060457,89.3132348581285,"ERRFI1;ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"10","positive regulation of DNA binding (GO:0043388)","2/34",0.00796306553563679,0.237245863984792,0,0,16.1436688311688,78.02140279,"CEBPG;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"11","purine ribonucleoside monophosphate metabolic process (GO:0009167)","2/39",0.0103850752583196,0.237245863984792,0,0,13.958581958582,63.7542258830065,"GMPR2;ENPP1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"12","enzyme linked receptor protein signaling pathway (GO:0007167)","3/120",0.0119651200926466,0.237245863984792,0,0,6.68151147098516,29.5707630052255,"FLT3;NPPA;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"13","apoptotic process (GO:0006915)","4/231",0.0132663325860576,0.237245863984792,0,0,4.6270778267254,20.0006634587564,"EGLN3;IRF3;FAP;PLAG1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"14","regulation of bone mineralization (GO:0030500)","2/50",0.0166954776383479,0.237245863984792,0,0,10.7537878787879,44.0111393491842,"ENPP1;ANO6","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"15","regulation of primary metabolic process (GO:0080090)","3/139",0.0176947621360877,0.237245863984792,0,0,5.74255030959752,23.1682423181806,"HELZ2;LACTB;PSME1","All","GO_Biological_Process_2018","eGFPc_eGFPs"
"16","regulation of DNA binding (GO:0051101)","2/52",0.0179806467398737,0.237245863984792,0,0,10.3225974025974,41.480937332633,"CEBPG;NGF","All","GO_Biological_Process_2018","eGFPc_eGFPs"
