Gene	Direction
AKAP12	All
AKR7L	All
ANO6	All
ARL4D	All
BCL11B	All
CCDC137	All
CCDC141	All
CCDC191	All
CCDC28B	All
CD34	All
CDC25B	All
CEBPG	All
CEP250	All
CINP	All
CMYA5	All
COQ2	All
DIO3	All
DNAJC21	All
EARS2	All
EFNA2	All
EGLN3	All
ENPP1	All
ERRFI1	All
FAP	All
FLT3	All
FLYWCH2	All
FOXRED2	All
GAA	All
GABRG3	All
GJA1	All
GMPR2	All
GTF2H2C	All
GTF2H2	All
HELZ2	All
HLX	All
HUS1	All
IQGAP3	All
IRF3	All
ITPR2	All
KCNH4	All
KCTD8	All
KLHDC7A	All
LACTB	All
LCP1	All
MCM9	All
MSANTD3	All
MTUS1	All
NFKBIZ	All
NGF	All
NOTUM	All
NPPA	All
NTM	All
PARP2	All
PIGB	All
PLAG1	All
POLE3	All
PRMT9	All
PSME1	All
PVALB	All
RASA2	All
RBM28	All
RFTN2	All
RNF114	All
RNFT1	All
RRP15	All
SLC12A9	All
SLC26A4	All
SNRPA	All
TLCD4	All
TLCD4-RWDD3	All
UNC93B1	All
UVSSA	All
VASH2	All
VAV1	All
WDR27	All
WNT10A	All
ZBTB41	All
ZFP1	All
ZNF786	All
AKR7L	Downreg
BCL11B	Downreg
CCDC191	Downreg
CINP	Downreg
COQ2	Downreg
DIO3	Downreg
EARS2	Downreg
EFNA2	Downreg
EGLN3	Downreg
ENPP1	Downreg
ERRFI1	Downreg
FOXRED2	Downreg
GAA	Downreg
GJA1	Downreg
GTF2H2C	Downreg
GTF2H2	Downreg
HUS1	Downreg
IQGAP3	Downreg
LCP1	Downreg
MCM9	Downreg
MSANTD3	Downreg
MTUS1	Downreg
NFKBIZ	Downreg
POLE3	Downreg
PRMT9	Downreg
RFTN2	Downreg
RNF114	Downreg
SNRPA	Downreg
TLCD4	Downreg
TLCD4-RWDD3	Downreg
UNC93B1	Downreg
VAV1	Downreg
ZNF786	Downreg
AKAP12	Upreg
ANO6	Upreg
ARL4D	Upreg
CCDC137	Upreg
CCDC141	Upreg
CCDC28B	Upreg
CD34	Upreg
CDC25B	Upreg
CEBPG	Upreg
CEP250	Upreg
CMYA5	Upreg
DNAJC21	Upreg
FAP	Upreg
FLT3	Upreg
FLYWCH2	Upreg
GABRG3	Upreg
GMPR2	Upreg
HELZ2	Upreg
HLX	Upreg
IRF3	Upreg
ITPR2	Upreg
KCNH4	Upreg
KCTD8	Upreg
KLHDC7A	Upreg
LACTB	Upreg
NGF	Upreg
NOTUM	Upreg
NPPA	Upreg
NTM	Upreg
PARP2	Upreg
PIGB	Upreg
PLAG1	Upreg
PSME1	Upreg
PVALB	Upreg
RASA2	Upreg
RBM28	Upreg
RNFT1	Upreg
RRP15	Upreg
SLC12A9	Upreg
SLC26A4	Upreg
UVSSA	Upreg
VASH2	Upreg
WDR27	Upreg
WNT10A	Upreg
ZBTB41	Upreg
ZFP1	Upreg
