Gene	Direction
Akap12	All
Akr7a5	All
Ano6	All
Arl4d	All
Bcl11b	All
Ccdc137	All
Ccdc141	All
Ccdc191	All
Ccdc28b	All
Cd34	All
Cdc25b	All
Cebpg	All
Cep250	All
Cinp	All
Cmya5	All
Coq2	All
Dio3	All
Dnajc21	All
Ears2	All
Efna2	All
Egln3	All
Enpp1	All
Errfi1	All
Fap	All
Flt3	All
Flywch2	All
Foxred2	All
Gaa	All
Gabrg3	All
Gja1	All
Gm17606	All
Gmpr2	All
Gtf2h2	All
Helz2	All
Hlx	All
Hus1	All
Iqgap3	All
Irf3	All
Itpr2	All
Kcnh4	All
Kctd8	All
Klhdc7a	All
Lactb	All
Lcp1	All
Mcm9	All
Msantd3	All
Mtus1	All
Nfkbiz	All
Ngf	All
Notum	All
Nppa	All
Ntm	All
Parp2	All
Pcp4	All
Pigb	All
Plag1	All
Pole3	All
Prmt9	All
Psme1	All
Pvalb	All
Rasa2	All
Rbm28	All
Rftn2	All
Rnf114	All
Rnft1	All
Rrp15	All
Slc12a9	All
Slc26a4	All
Snrpa	All
Tlcd4	All
Tmem167b	All
Unc93b1	All
Uvssa	All
Vash2	All
Vav1	All
Wdr27	All
Wnt10a	All
Zbtb41	All
Zfp1	All
Zfp786	All
Znrd1	All
Akr7a5	Downreg
Bcl11b	Downreg
Ccdc191	Downreg
Cinp	Downreg
Coq2	Downreg
Dio3	Downreg
Ears2	Downreg
Efna2	Downreg
Egln3	Downreg
Enpp1	Downreg
Errfi1	Downreg
Foxred2	Downreg
Gaa	Downreg
Gja1	Downreg
Gtf2h2	Downreg
Hus1	Downreg
Iqgap3	Downreg
Lcp1	Downreg
Mcm9	Downreg
Msantd3	Downreg
Mtus1	Downreg
Nfkbiz	Downreg
Pole3	Downreg
Prmt9	Downreg
Rftn2	Downreg
Rnf114	Downreg
Snrpa	Downreg
Tlcd4	Downreg
Tmem167b	Downreg
Unc93b1	Downreg
Vav1	Downreg
Zfp786	Downreg
Znrd1	Downreg
Akap12	Upreg
Ano6	Upreg
Arl4d	Upreg
Ccdc137	Upreg
Ccdc141	Upreg
Ccdc28b	Upreg
Cd34	Upreg
Cdc25b	Upreg
Cebpg	Upreg
Cep250	Upreg
Cmya5	Upreg
Dnajc21	Upreg
Fap	Upreg
Flt3	Upreg
Flywch2	Upreg
Gabrg3	Upreg
Gm17606	Upreg
Gmpr2	Upreg
Helz2	Upreg
Hlx	Upreg
Irf3	Upreg
Itpr2	Upreg
Kcnh4	Upreg
Kctd8	Upreg
Klhdc7a	Upreg
Lactb	Upreg
Ngf	Upreg
Notum	Upreg
Nppa	Upreg
Ntm	Upreg
Parp2	Upreg
Pcp4	Upreg
Pigb	Upreg
Plag1	Upreg
Psme1	Upreg
Pvalb	Upreg
Rasa2	Upreg
Rbm28	Upreg
Rnft1	Upreg
Rrp15	Upreg
Slc12a9	Upreg
Slc26a4	Upreg
Uvssa	Upreg
Vash2	Upreg
Wdr27	Upreg
Wnt10a	Upreg
Zbtb41	Upreg
Zfp1	Upreg
