CowO10	CowO11	CowO12	CowO13	CowO14	CowO15	CowO21	CowO2	CowO3	CowO6	CowO7	CowO8
0610010F05Rik	4.82534735342954	4.91981236390976	4.69638765799238	4.7387814533673	4.87050144058733	5.2068315099089	4.84458719185588	5.00432426861113	4.79969415433189	4.82610679860545	4.90277908281925	4.90950001798837
0610030E20Rik	1.85467489603302	1.51033982276283	1.73946801500271	1.81326228518694	1.66705606576033	1.93593060522774	1.75847577854057	1.26863592074724	1.68043435821622	1.77377566484895	1.88733304323608	1.48382013709513
0610040J01Rik	0.779213300196835	1.18835845679764	1.63297936551991	0.659633061506396	0.993046196923384	0.632888091384484	0.944218050865989	0.77292712463489	0.998208218762254	1.49584138421394	1.38981876580517	0.899060170528921
1110004F10Rik	7.2350498987327	6.97862051781084	7.09257527951365	7.19796482308698	7.05542430855034	7.06171887568412	7.23942169293567	7.19741442325545	7.23693814307112	7.17259578634647	7.14343662020241	7.14298905318898
1110008P14Rik	6.57635037990533	6.96207113833501	6.86483551470489	6.67989719938927	6.34776228154545	6.76697351357788	6.87074774010291	6.65198102650599	7.11712181199352	6.6825278519571	6.96875625820957	7.02774871683607
1110012L19Rik	1.75073869541481	1.56737262726109	1.63701874963035	0.968836208666183	1.33417606023047	1.44703057047651	1.53206023260667	1.45027692924953	1.13123632517201	1.3801674395871	1.73914299079089	1.69116202261456
1110032F04Rik	2.69216427805365	2.32824846835523	2.69131238400361	2.56387387906095	2.23156429604612	2.52124498798278	2.78119409081748	2.38392982300512	2.48875205379996	2.68833868394278	2.8720078948223	2.6751379716767
1110038F14Rik	2.11415096519618	1.9179186676019	1.32847300576812	2.21330906669132	2.05408545037002	1.95861653667501	2.20956822256445	1.89533891277077	2.15132046439805	1.88355992650644	1.76670313361693	1.93970417553026
1110051M20Rik	7.64279519971465	7.23633770389844	7.12886479270705	7.46685054480163	7.3315969964608	7.259964944915	7.47441539030254	7.26289860578966	7.18895735093437	7.25379684333086	7.29222503312677	7.2506362816565
1110059E24Rik	2.66450544237012	2.17658798922109	1.97543846518997	2.47157036224756	1.80552538432753	2.79721928408839	2.61501876999525	2.29342405031158	2.32394790190455	2.50227992042962	2.5943156631035	2.10976016767937
1110059G10Rik	0.942224329997253	1.42114084541329	1.17799578094639	0.946992637697234	1.42372487043046	1.3831360778504	1.0198876964785	1.44652431811073	1.02162522469383	1.37285212414931	1.26024504314983	0.947421908018212
1110065P20Rik	4.79540705871109	4.60508126514102	4.67443172153844	4.91034186582319	4.56961177235728	4.64479569808469	5.02636731625634	4.53415099776313	5.13687156624563	4.88874645197495	4.89437469533843	4.83859005802548
1500009C09Rik	4.26805578825817	4.34434943472326	4.40789153398862	4.21625718548934	4.37238538612648	4.35282059260831	4.36122550477859	4.33086563319688	4.60745069242455	4.20075772222992	4.40723001822496	4.47943740384831
1600012H06Rik	4.54050427898498	4.70039722632881	4.53732971646563	4.61344424804371	4.64453263118811	4.8000801153884	4.52181790757206	4.55418077987346	4.66044133174934	4.60053808875614	4.52138998231382	4.61640500476949
1700001L19Rik	2.93084402301331	2.42613991178642	2.85140590653349	2.59442870894552	2.58804150289356	2.64605476316301	2.91423058420779	2.39981533751044	2.85748597896875	2.71930580129117	3.05824312910602	2.60814042494302
1700003E16Rik	2.50680436996944	2.63067719831245	2.77872024909748	3.11419810505941	2.62924332379383	2.97454243945782	2.81891855113329	2.6698069437852	3.07754827931604	2.6794131531703	2.80804705974643	2.8862538802981
1700019D03Rik	1.32029378990793	1.11171728764507	1.60113159676304	1.65889652619341	1.31433528814998	0.738020469261028	1.39065007929529	0.868721531390984	1.38282582404855	1.15081635944963	1.1646274067658	1.69292426340216
1700022I11Rik	1.04620897146898	2.16556943354335	1.89605283872654	2.33928215935594	1.66071919121876	1.75759091410802	2.39914574436338	2.12287754580052	2.52741575858587	1.45578075058773	2.64538063533089	2.01493129952328
1700025G04Rik	5.48178190910167	5.59021249995964	5.5604707257327	5.47311172237626	5.46235924987777	5.48022690990192	5.48008018842641	5.46452429361671	5.74858552819615	5.59650253558784	5.55048459031548	5.28118955370949
1700029I15Rik	1.59353061662805	1.90964290160445	1.45900187962237	2.31495044110868	1.41543672700034	1.53968023003602	1.97132683664582	2.31593553764689	2.07546527262519	0.987027524908924	1.8706979730282	1.2701765734622
1700037C18Rik	2.38218903054099	2.68556345195413	2.64954978023745	2.98986261736935	2.86646135623267	2.80134489249459	2.9576522783425	2.70943270200646	3.26287244139121	2.93260684401711	2.87092385666052	2.93762380503938
1700037H04Rik	4.69255309780061	4.30407565056649	4.73399614520432	4.71033934441139	4.69035725794906	4.34471782698716	4.52299029141445	4.26857603317459	4.6987764494465	4.51585072446383	4.47489606058285	4.40127611787319
1700066M21Rik	4.64233691105367	4.6404783861806	4.49236588685678	4.62440623567083	4.64829002176251	4.80450038296991	4.50758685227129	4.62033778607534	4.74930045471607	4.34596259603052	4.47386385438161	4.52591915159505
1700123O20Rik	4.29336569471744	4.10275786314088	3.95686617557421	3.81040732317526	3.94129445574892	3.88061777876194	4.33136822559604	3.84414258313565	3.77618235385978	4.11006682051829	4.28672457241399	4.38000760399936
1810010H24Rik	3.09818208648262	2.10640777558721	2.30770066049124	2.07316766673179	2.36431410120487	2.63286479689775	2.3358587329779	2.39699952186053	2.84949436583458	2.52668331553462	2.05222547434731	2.48873556748105
1810013L24Rik	7.05279503305829	6.99063436574043	6.90311192507895	7.05639223611163	7.09717159670287	7.08258499599139	7.15723806298493	7.03631105659597	6.88141067840215	7.00905913721124	7.13463717199988	7.10656619210944
1810030O07Rik	2.06724919773383	1.57609885606412	2.0168760755645	1.9338375281513	2.06442926741263	1.50618901458613	1.67766391798369	1.91145703441856	1.76826986355029	2.15209939338838	1.41161136441565	1.87882742563318
1810049J17Rik	1.06634559114507	1.0969340779839	1.64179236409981	1.6350514975008	1.08739095963862	0.991541294622589	1.52733225801006	1.51664709639399	1.6446248559515	1.35504551082599	1.5327946825732	1.54121729757496
1810058I24Rik	2.33464350114071	2.32117467227363	1.96254967090802	1.88838893998292	2.0153652623919	1.86418799093878	2.07840884191135	1.66628872705499	2.03781251439801	2.06282410416294	2.26737045737877	1.2315683516171
2010300C02Rik	6.48145614153829	6.48818173450914	6.5886259431096	6.35630591672426	6.63002245358601	6.64998067778223	6.28061273989361	6.49032097993765	6.75130448263073	6.4534857513612	6.34631323795358	6.37010946056442
2210408I21Rik	2.04053725843416	2.54528637167673	2.51923888132304	2.40530756404793	2.80156846189862	2.80694672624942	2.29729239283694	2.88172523384055	2.53628567582768	2.3165583778541	2.51896341776721	2.45869467855912
2300009A05Rik	2.84611267892487	2.63869081774498	2.87620626208201	2.62139471770722	2.28434390870965	2.76585078401882	2.65998938246941	2.78192236712554	3.10527404213261	2.25702197919172	2.5885824557091	3.11223105647615
2310022A10Rik	4.55889564304508	4.56268556999884	4.62605901369082	4.25647787132231	4.31589390908868	4.5130775694172	4.43842163170002	4.27424675764611	4.56636350173793	4.61406530496295	4.52310545865605	4.59641383983133
2310022B05Rik	4.66954772581006	4.82180544055956	5.29120954023616	5.12653146939993	5.12844318450637	4.75687902134894	4.84214315593331	4.89064190070232	5.44133740829715	5.06190529846865	4.94183776107441	4.73681452156523
2310033P09Rik	3.28911726919581	3.09072848784116	2.81924354009024	3.48399124608674	3.11072650202726	3.29574123045696	3.32840000903356	3.43546080313883	3.47086116452096	3.45339227785163	3.01788892126572	3.02557212326209
2310061I04Rik	2.76098205501369	2.62940617917999	2.35750634502883	2.25383186185551	2.24895394689499	2.58373235368571	2.41686904716557	2.70085800463468	2.3767967454181	2.4807820403222	2.27683482160516	2.673856524192
2410002F23Rik	4.00113016653796	3.83442561988293	3.7455903855642	3.86841159973121	3.59530294720326	3.58412505225948	3.89622613714551	3.71056792805671	3.76000735359407	3.92738595127892	3.82956077444996	3.56079372895649
2410004B18Rik	5.02038109689475	4.86513893198776	4.83086267327012	4.99328430846638	4.66040717539358	4.8481895221653	5.0575172475923	4.88401180278401	5.04574168836194	5.11336759594085	4.86821243285305	5.12447757523586
2410131K14Rik	2.24623698788738	2.06926181615954	2.27434964787261	2.26207529459781	2.05946189887465	2.79754925247182	2.06464896726059	2.18617491102786	2.17509758841614	1.7821514769286	2.12951069536112	2.5835227828329
2510009E07Rik	4.92576849262304	4.91152518361408	5.13455257574109	4.9991522891642	5.01271102899821	5.03226725486949	4.79710427012398	4.9899719137612	4.96081071274545	4.87853332782793	4.84780752297131	4.98029608523855
