fromNode	toNode	weight	direction	fromAltName	toAltName
1110059E24Rik	2410002F23Rik	0.00554576916524855	undirected	NA	NA
1110059E24Rik	Aatk	0.00176350611819847	undirected	NA	NA
1110059E24Rik	Adgrg2	0.0115176982497528	undirected	NA	NA
1110059E24Rik	AI837181	0.00259192911223521	undirected	NA	NA
1110059E24Rik	Aif1l	0.00397881428205873	undirected	NA	NA
1110059E24Rik	Alkbh4	0.00150130985310853	undirected	NA	NA
1110059E24Rik	Ap2a1	0.00823745775793806	undirected	NA	NA
1110059E24Rik	Arfgap2	0.0100710670933951	undirected	NA	NA
1110059E24Rik	Atp1b3	0.00158706090592831	undirected	NA	NA
1110059E24Rik	Atp6ap1	0.00570918531739632	undirected	NA	NA
1110059E24Rik	BC005624	0.00252041657018349	undirected	NA	NA
1110059E24Rik	C030006K11Rik	0.00990397027202596	undirected	NA	NA
1110059E24Rik	Ccdc102a	0.00847347467564941	undirected	NA	NA
1110059E24Rik	Ccnq	0.0109038135343492	undirected	NA	NA
1110059E24Rik	Cdc123	0.00623178492282735	undirected	NA	NA
1110059E24Rik	Cdc42bpg	0.00536960520170173	undirected	NA	NA
1110059E24Rik	Cdk5	0.00317527871085119	undirected	NA	NA
1110059E24Rik	Chd1l	0.000296127354305062	undirected	NA	NA
1110059E24Rik	Chmp2b	0.00395206326198106	undirected	NA	NA
1110059E24Rik	Cks1b	0.0167648707284735	undirected	NA	NA
1110059E24Rik	Col9a2	0.0164592693299031	undirected	NA	NA
1110059E24Rik	Coq10b	0.0162612885563496	undirected	NA	NA
1110059E24Rik	Cpsf1	0.0125959905019373	undirected	NA	NA
1110059E24Rik	Crtac1	0.00353997413359859	undirected	NA	NA
1110059E24Rik	Ctla4	0.0127662110376911	undirected	NA	NA
1110059E24Rik	Ctsa	0.0204556261261755	undirected	NA	NA
1110059E24Rik	Dcxr	0.00142559150975239	undirected	NA	NA
1110059E24Rik	Ddx28	0.00886866567861165	undirected	NA	NA
1110059E24Rik	Ddx52	0.0185621784461663	undirected	NA	NA
1110059E24Rik	Decr1	0.0104520174609412	undirected	NA	NA
1110059E24Rik	Dnajb12	0.0178728782023609	undirected	NA	NA
1110059E24Rik	Dnttip1	0.00576567846923828	undirected	NA	NA
1110059E24Rik	Dolk	0.0134998829379543	undirected	NA	NA
1110059E24Rik	Ecsit	0.000420499945139652	undirected	NA	NA
1110059E24Rik	Eif3k	0.000707672339658437	undirected	NA	NA
