fromNode	toNode	weight	direction	fromAltName	toAltName
1700001L19Rik	2510039O18Rik	0.000549454041852437	undirected	NA	NA
1700001L19Rik	2810459M11Rik	0.00240364694853773	undirected	NA	NA
1700001L19Rik	Abcd1	0.00317375672496475	undirected	NA	NA
1700001L19Rik	Abhd14b	0.0240772415889412	undirected	NA	NA
1700001L19Rik	Ahsa1	0.00236096580502917	undirected	NA	NA
1700001L19Rik	Aimp2	0.0221605669967168	undirected	NA	NA
1700001L19Rik	Aip	0.0074748338411504	undirected	NA	NA
1700001L19Rik	Ak2	0.00184391913342058	undirected	NA	NA
1700001L19Rik	Ankmy2	0.00223622659533653	undirected	NA	NA
1700001L19Rik	Ankrd40	0.00208130337086278	undirected	NA	NA
1700001L19Rik	Arhgap23	0.0131041571435746	undirected	NA	NA
1700001L19Rik	Atp5h	0.00236918582427352	undirected	NA	NA
1700001L19Rik	B630019K06Rik	0.0144424569248079	undirected	NA	NA
1700001L19Rik	Batf2	0.00383720469841017	undirected	NA	NA
1700001L19Rik	Bcl2l1	0.01550112985169	undirected	NA	NA
1700001L19Rik	Blcap	0.00329967839341624	undirected	NA	NA
1700001L19Rik	Bpnt1	0.00308833737299333	undirected	NA	NA
1700001L19Rik	Cd151	0.00976742828527872	undirected	NA	NA
1700001L19Rik	Cd164	0.000693561215957487	undirected	NA	NA
1700001L19Rik	Cdkal1	0.00245870996857772	undirected	NA	NA
1700001L19Rik	Coro1b	0.00260218361165165	undirected	NA	NA
1700001L19Rik	Cpa2	0.00436027500116974	undirected	NA	NA
1700001L19Rik	Ctps2	0.000697596639120542	undirected	NA	NA
1700001L19Rik	Cyth1	0.00465529813737488	undirected	NA	NA
1700001L19Rik	Dapk2	0.0160046286390491	undirected	NA	NA
1700001L19Rik	Dcaf15	0.0331941319139907	undirected	NA	NA
1700001L19Rik	Desi1	0.0103418980385042	undirected	NA	NA
1700001L19Rik	Dhrs13	0.00691015437469972	undirected	NA	NA
1700001L19Rik	Dnajb2	0.0037203365573159	undirected	NA	NA
1700001L19Rik	Emilin1	0.0252489810544487	undirected	NA	NA
1700001L19Rik	Ext2	0.00247521849152105	undirected	NA	NA
1700001L19Rik	Fam189a2	0.00413817770466433	undirected	NA	NA
1700001L19Rik	Fam219b	0.0211117187139327	undirected	NA	NA
1700001L19Rik	Fam222a	0.00642183622608695	undirected	NA	NA
1700001L19Rik	Farsa	0.000491942772800133	undirected	NA	NA
1700001L19Rik	Fbxo31	0.00354249308498488	undirected	NA	NA
1700001L19Rik	Fbxo33	0.00359534007771927	undirected	NA	NA
1700001L19Rik	Fbxo7	0.00150374630290542	undirected	NA	NA
1700001L19Rik	Fibp	0.0294333949260208	undirected	NA	NA
1700001L19Rik	Flg	0.0166637153988465	undirected	NA	NA
1700001L19Rik	Flii	0.00356813774852458	undirected	NA	NA
1700001L19Rik	Gabpb1	0.000447308349795495	undirected	NA	NA
1700001L19Rik	Gal3st1	0.00174872031075207	undirected	NA	NA
1700001L19Rik	Gm8797	0.000631113261485635	undirected	NA	NA
1700001L19Rik	Gorasp2	0.0105702013642075	undirected	NA	NA
1700001L19Rik	Gpr153	0.0136997166566376	undirected	NA	NA
1700001L19Rik	Gstt2	0.0128349608741595	undirected	NA	NA
1700001L19Rik	Hsd17b4	0.00577827537148141	undirected	NA	NA
1700001L19Rik	Hspb8	0.000602804610461293	undirected	NA	NA
1700001L19Rik	Ipo13	0.0487252311545114	undirected	NA	NA
1700001L19Rik	Iscu	0.0179743321276082	undirected	NA	NA
1700001L19Rik	Kctd18	0.00227840392715736	undirected	NA	NA
1700001L19Rik	Kctd5	0.00858287185737319	undirected	NA	NA
1700001L19Rik	Kif7	0.0409113333460729	undirected	NA	NA
1700001L19Rik	Klhl22	0.00254583712118668	undirected	NA	NA
1700001L19Rik	Llgl1	0.00280201205617124	undirected	NA	NA
1700001L19Rik	Lyrm1	0.00195975460249607	undirected	NA	NA
1700001L19Rik	Macrod1	0.00877694117346795	undirected	NA	NA
1700001L19Rik	Map2k2	0.0172869855985074	undirected	NA	NA
1700001L19Rik	Marcksl1	0.00688834005036865	undirected	NA	NA
1700001L19Rik	Masp1	0.00381213614762861	undirected	NA	NA
