fromNode	toNode	weight	direction	fromAltName	toAltName
Abcb9	Abcd2	0.0241852920094311	undirected	NA	NA
Abcb9	Acot11	0.0180671743560416	undirected	NA	NA
Abcb9	Acvr1b	0.00933724443971422	undirected	NA	NA
Abcb9	Arhgef15	0.00569143607221411	undirected	NA	NA
Abcb9	Atp13a5	0.00917333505241061	undirected	NA	NA
Abcb9	Atp2b2	0.0281654162897307	undirected	NA	NA
Abcb9	Atrnl1	0.0111129153708425	undirected	NA	NA
Abcb9	Cacng3	0.0336294137807269	undirected	NA	NA
Abcb9	Camk2g	0.0286636719775119	undirected	NA	NA
Abcb9	Cbln2	0.0367020855557735	undirected	NA	NA
Abcb9	Ccdc157	0.00505701070539827	undirected	NA	NA
Abcb9	Cd34	0.0367844009712418	undirected	NA	NA
Abcb9	Cdc25b	0.0393591784205943	undirected	NA	NA
Abcb9	Cds1	0.00632255636115259	undirected	NA	NA
Abcb9	Clec11a	0.0665904080956345	undirected	NA	NA
Abcb9	Col11a2	0.0332039026587444	undirected	NA	NA
Abcb9	Coro2b	0.0742633583300557	undirected	NA	NA
Abcb9	Cplx1	0.0821878125046415	undirected	NA	NA
Abcb9	Cpne9	0.031017336167864	undirected	NA	NA
Abcb9	Dnajc21	0.0440897540538047	undirected	NA	NA
Abcb9	Efna5	0.0441410752741163	undirected	NA	NA
Abcb9	Elac2	0.0467696529689829	undirected	NA	NA
Abcb9	Emid1	0.0102589638028299	undirected	NA	NA
Abcb9	Fam78a	0.00262382145833566	undirected	NA	NA
Abcb9	Gucy1a1	0.00479867686614654	undirected	NA	NA
Abcb9	Hhex	0.00562556654818593	undirected	NA	NA
Abcb9	Hivep2	0.00398277851811863	undirected	NA	NA
Abcb9	Jdp2	0.0484351904437864	undirected	NA	NA
Abcb9	Kcnab3	0.0347719287620985	undirected	NA	NA
Abcb9	Kcnc1	0.0521359137723819	undirected	NA	NA
Abcb9	Kcnc3	0.0881518514288571	undirected	NA	NA
Abcb9	Kcnh4	0.00648360189128341	undirected	NA	NA
Abcb9	Kcnk4	0.06026927929996	undirected	NA	NA
Abcb9	Kcns3	0.00762961518252516	undirected	NA	NA
Abcb9	Klc2	0.0419539233622655	undirected	NA	NA
