fromNode	toNode	weight	direction	fromAltName	toAltName
Abcc10	Adck1	0.00864851619177796	undirected	NA	NA
Abcc10	Arhgef18	0.036655230910064	undirected	NA	NA
Abcc10	Arid3b	0.0061106619154137	undirected	NA	NA
Abcc10	Arl3	0.0268292480153535	undirected	NA	NA
Abcc10	Atg101	0.00956527046924751	undirected	NA	NA
Abcc10	Atp5c1	0.0181663372977418	undirected	NA	NA
Abcc10	Bscl2	0.0079005754335431	undirected	NA	NA
Abcc10	Cbx6	0.0031863527974302	undirected	NA	NA
Abcc10	Ccdc50	0.0119566527872835	undirected	NA	NA
Abcc10	Cfap46	0.00206442489433433	undirected	NA	NA
Abcc10	Cir1	0.00191965223348285	undirected	NA	NA
Abcc10	Cisd1	0.0240726949118473	undirected	NA	NA
Abcc10	Ckmt1	0.00539934417382382	undirected	NA	NA
Abcc10	Clcn1	0.00696654000439713	undirected	NA	NA
Abcc10	Coq6	0.00479455050894022	undirected	NA	NA
Abcc10	Csnk1e	0.00420288660461066	undirected	NA	NA
Abcc10	Dhps	0.0341344677797004	undirected	NA	NA
Abcc10	Ebna1bp2	0.00433549686563258	undirected	NA	NA
Abcc10	Exosc4	0.0238611063493015	undirected	NA	NA
Abcc10	Fads3	0.0394553326194728	undirected	NA	NA
Abcc10	Fam136a	0.00920664043742665	undirected	NA	NA
Abcc10	Fam171a1	0.00896428522436005	undirected	NA	NA
Abcc10	Fam78b	0.00214150042527817	undirected	NA	NA
Abcc10	Fkbp7	0.049195865276017	undirected	NA	NA
Abcc10	Fn3k	0.00304716199320688	undirected	NA	NA
Abcc10	Frmd5	0.00527544921803744	undirected	NA	NA
Abcc10	Fst	0.002692537095101	undirected	NA	NA
Abcc10	Ftsj3	0.00200017453572665	undirected	NA	NA
Abcc10	Galk2	0.0339324724197215	undirected	NA	NA
Abcc10	Gpr107	0.0114621655541421	undirected	NA	NA
Abcc10	Hdac11	0.00838120481813106	undirected	NA	NA
Abcc10	Imp4	0.00733187702354528	undirected	NA	NA
Abcc10	Ina	0.00245874791403912	undirected	NA	NA
Abcc10	Jagn1	0.00618852753739516	undirected	NA	NA
Abcc10	Jup	0.00218663395259339	undirected	NA	NA
Abcc10	Kcnh6	0.0153789530490152	undirected	NA	NA
Abcc10	Kcnj2	0.020299830140808	undirected	NA	NA
Abcc10	Kndc1	0.0119495193671199	undirected	NA	NA
Abcc10	Mapk8ip3	0.00243812212242184	undirected	NA	NA
Abcc10	Mecr	0.00309934217245587	undirected	NA	NA
Abcc10	Mllt11	0.00380017670283435	undirected	NA	NA
Abcc10	Ndufa9	0.0442857894779228	undirected	NA	NA
Abcc10	Ndufb3	0.00371072389443797	undirected	NA	NA
Abcc10	Nrip1	0.0544713130846011	undirected	NA	NA
Abcc10	Ogfod2	0.0127317681164448	undirected	NA	NA
Abcc10	Olfr275	0.000534341365791075	undirected	NA	NA
Abcc10	Pcgf2	0.0319530791712395	undirected	NA	NA
Abcc10	Pde12	0.00206570386982111	undirected	NA	NA
Abcc10	Pld3	0.00396077445488492	undirected	NA	NA
Abcc10	Plekhb2	0.0281050037531901	undirected	NA	NA
Abcc10	Prrt3	0.0129095227869376	undirected	NA	NA
Abcc10	Psmd3	0.0127034015900569	undirected	NA	NA
Abcc10	Qsox2	0.0165344709512609	undirected	NA	NA
Abcc10	Rab33b	0.0105245529623173	undirected	NA	NA
Abcc10	Rnf227	0.0083528481636897	undirected	NA	NA
Abcc10	Sec22a	0.0153642735540176	undirected	NA	NA
Abcc10	Sec22c	0.0069619650368269	undirected	NA	NA
Abcc10	Slc17a5	0.00855083596327498	undirected	NA	NA
Abcc10	Snrpc	0.030512209417832	undirected	NA	NA
Abcc10	Sppl2b	0.0126843341597307	undirected	NA	NA
Abcc10	Strn4	0.0137896546175699	undirected	NA	NA
Abcc10	Syvn1	0.0360753742452304	undirected	NA	NA
Abcc10	Tagln3	0.00623724801685414	undirected	NA	NA
Abcc10	Tbc1d22a	0.0276197271034937	undirected	NA	NA
