fromNode	toNode	weight	direction	fromAltName	toAltName
Arid5a	Atf4	0.00333730443061098	undirected	NA	NA
Arid5a	Atxn3	0.0141586119284936	undirected	NA	NA
Arid5a	C9orf72	0.00749429278446626	undirected	NA	NA
Arid5a	Camk1g	0.0195475706404088	undirected	NA	NA
Arid5a	Ccnh	0.0209912928830974	undirected	NA	NA
Arid5a	Ccr5	0.00301272860132799	undirected	NA	NA
Arid5a	Cd2ap	0.0119886956479403	undirected	NA	NA
Arid5a	Cdh11	0.000165118650313273	undirected	NA	NA
Arid5a	Cebpg	0.0119968392716715	undirected	NA	NA
Arid5a	Cmya5	0.0112550019647786	undirected	NA	NA
Arid5a	Cops7b	0.000459308616322832	undirected	NA	NA
Arid5a	Cstf2	0.0072462441461369	undirected	NA	NA
Arid5a	Cyp2b13	0.00104753284301602	undirected	NA	NA
Arid5a	Dop1a	0.000717185378648798	undirected	NA	NA
Arid5a	Dot1l	0.00105312166357457	undirected	NA	NA
Arid5a	Dram2	0.00274046810961425	undirected	NA	NA
Arid5a	Eaf1	0.00725556983730975	undirected	NA	NA
Arid5a	Eea1	0.00348073702930262	undirected	NA	NA
Arid5a	Epo	0.0206095583811406	undirected	NA	NA
Arid5a	Etnk2	0.0061824241272446	undirected	NA	NA
Arid5a	Fndc4	0.000444433597155431	undirected	NA	NA
Arid5a	Fut9	0.012028670548052	undirected	NA	NA
Arid5a	Gm17606	0.00537724208257685	undirected	NA	NA
Arid5a	Got1	0.00838789259809623	undirected	NA	NA
Arid5a	Hba-a1	0.000336289362166612	undirected	NA	NA
Arid5a	Hdac3	0.00265467003854069	undirected	NA	NA
Arid5a	Hdgfl2	0.000812002551497149	undirected	NA	NA
Arid5a	Hip1r	0.000884350123835009	undirected	NA	NA
Arid5a	Hyal3	0.00426333634827372	undirected	NA	NA
Arid5a	Ibtk	0.0076071818923831	undirected	NA	NA
Arid5a	Ifitm10	0.00520995621857113	undirected	NA	NA
Arid5a	Il1rapl1	0.0597753866867249	undirected	NA	NA
Arid5a	Ints6l	0.00339616023536676	undirected	NA	NA
Arid5a	Itgav	0.00120844176450789	undirected	NA	NA
Arid5a	Las1l	0.000131629304865509	undirected	NA	NA
Arid5a	Lemd3	0.00495910801039484	undirected	NA	NA
Arid5a	Mars2	0.014080484912415	undirected	NA	NA
Arid5a	Noa1	0.0225040052648283	undirected	NA	NA
Arid5a	Nrtn	0.00276527524132325	undirected	NA	NA
Arid5a	Nudt21	0.000977208993209267	undirected	NA	NA
Arid5a	Olfr78	0.0383498986556523	undirected	NA	NA
Arid5a	Palb2	0.00585921983816499	undirected	NA	NA
Arid5a	Pcdh15	0.000535246365763358	undirected	NA	NA
Arid5a	Pdcd2	0.00111630122179376	undirected	NA	NA
Arid5a	Pde7b	0.0038891942260501	undirected	NA	NA
Arid5a	Phf23	0.00539959551752205	undirected	NA	NA
Arid5a	Pih1d1	0.0128926020932353	undirected	NA	NA
Arid5a	Plekhn1	0.00542214938551855	undirected	NA	NA
Arid5a	Pnma3	0.00112855463669238	undirected	NA	NA
Arid5a	Pomt2	0.0107893417184854	undirected	NA	NA
Arid5a	Pop4	0.0056187541128757	undirected	NA	NA
Arid5a	Ppme1	0.000266806993160215	undirected	NA	NA
Arid5a	Prpf38a	0.0542452307269384	undirected	NA	NA
Arid5a	Rabgef1	0.00830224794133698	undirected	NA	NA
Arid5a	Rbm15	0.00506601457776112	undirected	NA	NA
Arid5a	Rpl17	0.00978920410598864	undirected	NA	NA
Arid5a	Scaf4	0.0226460167000308	undirected	NA	NA
Arid5a	Sgcz	0.002303218003756	undirected	NA	NA
Arid5a	Slc28a2	0.00104545383950854	undirected	NA	NA
Arid5a	Slc28a2b	0.00408299493793531	undirected	NA	NA
Arid5a	Slf2	0.00810573899427455	undirected	NA	NA
Arid5a	Spef2	0.0122992218647069	undirected	NA	NA
Arid5a	Srrm2	0.00256413471397311	undirected	NA	NA
Arid5a	Tcf4	0.00804688726531583	undirected	NA	NA
