fromNode	toNode	weight	direction	fromAltName	toAltName
Acadvl	Acsbg1	0.0185823530493611	undirected	NA	NA
Acadvl	Acsm5	0.011411052129462	undirected	NA	NA
Acadvl	Adipor1	0.0399540951485703	undirected	NA	NA
Acadvl	Adrm1	0.00535047974076444	undirected	NA	NA
Acadvl	Afg1l	0.00328320466447988	undirected	NA	NA
Acadvl	Aldh9a1	0.00483269909537023	undirected	NA	NA
Acadvl	Aldoc	0.0330589098674528	undirected	NA	NA
Acadvl	Ammecr1	0.0192745512699344	undirected	NA	NA
Acadvl	Anapc13	0.00459975356541708	undirected	NA	NA
Acadvl	Anapc5	0.0212531657240013	undirected	NA	NA
Acadvl	Ap1s1	0.0184535964690411	undirected	NA	NA
Acadvl	Aph1b	0.015635314806233	undirected	NA	NA
Acadvl	Arhgdia	0.00758516723592042	undirected	NA	NA
Acadvl	Arhgef10l	0.0129389141518366	undirected	NA	NA
Acadvl	Arl2	0.0165098498735184	undirected	NA	NA
Acadvl	Arl2bp	0.0285020987372788	undirected	NA	NA
Acadvl	Arl6ip5	0.026673633767883	undirected	NA	NA
Acadvl	Arpc4	0.0136793654634555	undirected	NA	NA
Acadvl	Arsa	0.00409018925520759	undirected	NA	NA
Acadvl	Asrgl1	0.022443069445254	undirected	NA	NA
Acadvl	Atg2a	0.00134880785124448	undirected	NA	NA
Acadvl	Atg4d	0.00481578541913412	undirected	NA	NA
Acadvl	Atp1b2	0.0160031239765255	undirected	NA	NA
Acadvl	Atp5g1	0.0306823160725322	undirected	NA	NA
Acadvl	Atp5g3	0.0154684635180698	undirected	NA	NA
Acadvl	Atp6v0b	0.00993301991149631	undirected	NA	NA
Acadvl	Atp6v1f	0.045069991490242	undirected	NA	NA
Acadvl	Aup1	0.0418552712396968	undirected	NA	NA
Acadvl	Bax	0.0124432946070035	undirected	NA	NA
Acadvl	Bcan	0.0109798378070426	undirected	NA	NA
Acadvl	Bckdha	0.0157065373065085	undirected	NA	NA
Acadvl	Bnip2	0.0115483485754889	undirected	NA	NA
Acadvl	Bola2	0.0137676305229556	undirected	NA	NA
Acadvl	Brd2	0.0185096607777287	undirected	NA	NA
Acadvl	Brd9	0.0189806368322323	undirected	NA	NA
Acadvl	Bri3	0.00517707402488111	undirected	NA	NA
Acadvl	Brk1	0.00439769543081502	undirected	NA	NA
Acadvl	Btbd17	0.0300146275450267	undirected	NA	NA
Acadvl	Camk2n2	0.0391238636209575	undirected	NA	NA
Acadvl	Car11	0.0200369673812437	undirected	NA	NA
Acadvl	Cbx4	0.0281607248060955	undirected	NA	NA
Acadvl	Ccl27a	0.00296219814886559	undirected	NA	NA
Acadvl	Ccnd3	0.00586530967440654	undirected	NA	NA
Acadvl	Cd63	0.0424359547792254	undirected	NA	NA
Acadvl	Cd81	0.0739122263030588	undirected	NA	NA
Acadvl	Cep19	0.00075930701965955	undirected	NA	NA
Acadvl	Chmp4b	0.0265574889277518	undirected	NA	NA
Acadvl	Chpt1	0.0261849963240479	undirected	NA	NA
Acadvl	Cib1	0.0134531133517539	undirected	NA	NA
Acadvl	Cilp	0.00563997862931941	undirected	NA	NA
Acadvl	Ckb	0.0453966090095385	undirected	NA	NA
Acadvl	Clk3	0.0409769492611992	undirected	NA	NA
Acadvl	Cltb	0.0162323180114924	undirected	NA	NA
Acadvl	Cmbl	0.003615437523378	undirected	NA	NA
Acadvl	Col13a1	0.0350254932414319	undirected	NA	NA
Acadvl	Coq8b	0.0138789313845423	undirected	NA	NA
Acadvl	Cox6b1	0.0107026154001908	undirected	NA	NA
Acadvl	Crip1	0.015204241494523	undirected	NA	NA
Acadvl	Crppa	0.0194490368965088	undirected	NA	NA
Acadvl	Csk	0.0116054546078623	undirected	NA	NA
Acadvl	Ctdnep1	0.00898271609117402	undirected	NA	NA
Acadvl	Ctdsp1	0.0409339365116246	undirected	NA	NA
Acadvl	Ctxn3	0.0174113450636355	undirected	NA	NA
Acadvl	Cuta	0.0256660868411811	undirected	NA	NA
Acadvl	Cyc1	0.0271046005137642	undirected	NA	NA
Acadvl	Cyhr1	0.039695607515624	undirected	NA	NA
Acadvl	Dazap1	0.0274705188102885	undirected	NA	NA
Acadvl	Dazap2	0.00801235853598153	undirected	NA	NA
Acadvl	Dda1	0.0338052592679345	undirected	NA	NA
Acadvl	Ddrgk1	0.0102270248905732	undirected	NA	NA
Acadvl	Dhx30	0.013841416316709	undirected	NA	NA
Acadvl	Dnajc17	0.0227862953407753	undirected	NA	NA
Acadvl	Dnal4	0.0274656768371427	undirected	NA	NA
Acadvl	Dnpep	0.00868381799409027	undirected	NA	NA
Acadvl	Drap1	0.00506931564260025	undirected	NA	NA
Acadvl	Dysf	0.026437630875453	undirected	NA	NA
Acadvl	Eef1g	0.032224938810749	undirected	NA	NA
Acadvl	Efemp2	0.00618217895133575	undirected	NA	NA
Acadvl	Egln1	0.0577461373380907	undirected	NA	NA
Acadvl	Ehmt2	0.0182827684112852	undirected	NA	NA
Acadvl	Eif5a	0.0480517438118053	undirected	NA	NA
Acadvl	Emc6	0.0281612678107991	undirected	NA	NA
Acadvl	Endog	0.0294578044285413	undirected	NA	NA
Acadvl	Eng	0.00994853923827826	undirected	NA	NA
Acadvl	Exosc8	0.00404534379169273	undirected	NA	NA
Acadvl	Fam110a	0.00597151435646427	undirected	NA	NA
Acadvl	Fam129b	0.0120312934252429	undirected	NA	NA
Acadvl	Fam214b	0.0281085117875796	undirected	NA	NA
Acadvl	Fau	0.013380692805805	undirected	NA	NA
Acadvl	Fbxo2	0.053122801297796	undirected	NA	NA
Acadvl	Fbxo44	0.0426679128532878	undirected	NA	NA
Acadvl	Fbxo8	0.0187302324907635	undirected	NA	NA
Acadvl	Fbxw5	0.0262727752673493	undirected	NA	NA
