fromNode	toNode	weight	direction	fromAltName	toAltName
4930563E22Rik	Actl6b	0.0253921915873531	undirected	NA	NA
4930563E22Rik	Adam19	0.0134392378659467	undirected	NA	NA
4930563E22Rik	Adamts8	0.00985163555437371	undirected	NA	NA
4930563E22Rik	Atg7	0.00621599961281007	undirected	NA	NA
4930563E22Rik	B9d1	0.01161754442275	undirected	NA	NA
4930563E22Rik	Bsg	0.0189044339071983	undirected	NA	NA
4930563E22Rik	Cbr1	0.00845442151102883	undirected	NA	NA
4930563E22Rik	Ccdc34	0.0157417987004417	undirected	NA	NA
4930563E22Rik	Cebpz	0.011316276259437	undirected	NA	NA
4930563E22Rik	Cnot4	0.0162059200195419	undirected	NA	NA
4930563E22Rik	Ctnnbl1	0.0178631798953757	undirected	NA	NA
4930563E22Rik	Dgcr8	0.0161435931352007	undirected	NA	NA
4930563E22Rik	Dhx8	0.0105050346571743	undirected	NA	NA
4930563E22Rik	Dst	0.00275301373851438	undirected	NA	NA
4930563E22Rik	Dyrk3	0.00886875457034932	undirected	NA	NA
4930563E22Rik	E2f6	0.00381371771874382	undirected	NA	NA
4930563E22Rik	Eef1e1	0.00129013169966354	undirected	NA	NA
4930563E22Rik	Efl1	0.0708414785819817	undirected	NA	NA
4930563E22Rik	Faf2	0.00699424902133779	undirected	NA	NA
4930563E22Rik	Fancd2	0.00170813379018867	undirected	NA	NA
4930563E22Rik	Fancm	0.00383867132078705	undirected	NA	NA
4930563E22Rik	Fen1	0.00595526235086916	undirected	NA	NA
4930563E22Rik	Fiz1	0.00579464154096856	undirected	NA	NA
4930563E22Rik	Galnt14	0.00516121851815349	undirected	NA	NA
4930563E22Rik	Gne	0.0021609653218324	undirected	NA	NA
4930563E22Rik	Gnptab	0.00704339194938548	undirected	NA	NA
4930563E22Rik	Hars	0.00358646889457318	undirected	NA	NA
4930563E22Rik	Hook1	0.0431425276317335	undirected	NA	NA
4930563E22Rik	Ipo8	0.062200019775462	undirected	NA	NA
4930563E22Rik	Jakmip3	0.0288937547047957	undirected	NA	NA
4930563E22Rik	Kdm5d	0.00208657998383149	undirected	NA	NA
4930563E22Rik	Lrp2	0.00239517148746445	undirected	NA	NA
4930563E22Rik	Mat2b	0.0036383573621603	undirected	NA	NA
4930563E22Rik	Nbeal1	0.00709359938340818	undirected	NA	NA
4930563E22Rik	Neu2	0.00183567829805509	undirected	NA	NA
4930563E22Rik	Nfatc2ip	0.000593260426026482	undirected	NA	NA
4930563E22Rik	Nkiras2	0.0050166474747225	undirected	NA	NA
4930563E22Rik	Nrbp1	0.000596765351817595	undirected	NA	NA
4930563E22Rik	Nup133	0.00078302332672909	undirected	NA	NA
4930563E22Rik	Odf2	0.0109348389982258	undirected	NA	NA
4930563E22Rik	P3h2	0.00546486438032517	undirected	NA	NA
4930563E22Rik	Pak1	0.00191571371076587	undirected	NA	NA
4930563E22Rik	Pcsk4	0.00476172888412808	undirected	NA	NA
4930563E22Rik	Pfas	0.00564800117395955	undirected	NA	NA
4930563E22Rik	Pfkm	0.0154980145355929	undirected	NA	NA
4930563E22Rik	Pigo	0.0311686447188866	undirected	NA	NA
4930563E22Rik	Prune1	0.0430195068215471	undirected	NA	NA
4930563E22Rik	Rab39	0.0414246197099299	undirected	NA	NA
4930563E22Rik	Rai14	0.0164059175545757	undirected	NA	NA
4930563E22Rik	Rassf1	0.0105621509302368	undirected	NA	NA
4930563E22Rik	Rnf20	0.00541128962658224	undirected	NA	NA
4930563E22Rik	Rrp1b	0.00610919594780012	undirected	NA	NA
4930563E22Rik	Scg5	0.00408357633365665	undirected	NA	NA
4930563E22Rik	Sdhd	0.00145071684040707	undirected	NA	NA
4930563E22Rik	Sec13	0.000843864800301215	undirected	NA	NA
4930563E22Rik	Septin1	0.0131696496193584	undirected	NA	NA
4930563E22Rik	Sfmbt1	0.02547386610165	undirected	NA	NA
4930563E22Rik	Ska2	0.00229823357535091	undirected	NA	NA
4930563E22Rik	Slc11a2	0.0180242226774801	undirected	NA	NA
4930563E22Rik	Slc25a16	0.0148427002089598	undirected	NA	NA
4930563E22Rik	Slc35f6	0.00827213899599222	undirected	NA	NA
4930563E22Rik	Slc41a2	0.00624529970845252	undirected	NA	NA
4930563E22Rik	Sstr4	0.00595380053593269	undirected	NA	NA
4930563E22Rik	Stat5a	0.00275745826080231	undirected	NA	NA
4930563E22Rik	Stk39	0.000927032577486697	undirected	NA	NA
4930563E22Rik	Tbc1d22b	0.0232220167791509	undirected	NA	NA
4930563E22Rik	Tceal7	0.00298754714824774	undirected	NA	NA
4930563E22Rik	Top1mt	0.0486547873686776	undirected	NA	NA
4930563E22Rik	Trmt11	0.0073553682378281	undirected	NA	NA
4930563E22Rik	Tspan1	0.00592115033786373	undirected	NA	NA
4930563E22Rik	Tuba4a	0.0131908488944812	undirected	NA	NA
4930563E22Rik	Zfp131	0.00359791253236011	undirected	NA	NA
4930563E22Rik	Zfp217	0.0184867086871176	undirected	NA	NA
4930563E22Rik	Zfp277	0.00621227312614813	undirected	NA	NA
4930563E22Rik	Zfp93	0.000978801692735784	undirected	NA	NA
4930563E22Rik	Zxdc	0.00353360649739464	undirected	NA	NA
Actl6b	Adam19	0.0126295544736003	undirected	NA	NA
Actl6b	Adamts8	0.012198273198156	undirected	NA	NA
Actl6b	Atg7	0.0044007506746569	undirected	NA	NA
Actl6b	B9d1	0.00800079438591713	undirected	NA	NA
Actl6b	Bsg	0.00601092744512475	undirected	NA	NA
Actl6b	Cbr1	0.00838534752423649	undirected	NA	NA
Actl6b	Ccdc34	0.0260459515141722	undirected	NA	NA
Actl6b	Cebpz	0.00385472621657937	undirected	NA	NA
Actl6b	Cnot4	0.00741942052470338	undirected	NA	NA
Actl6b	Ctnnbl1	0.0194562642308629	undirected	NA	NA
Actl6b	Dgcr8	0.00238959994308451	undirected	NA	NA
Actl6b	Dhx8	0.0393704507353715	undirected	NA	NA
Actl6b	Dst	0.00167566276918589	undirected	NA	NA
Actl6b	Dyrk3	0.00930477161158567	undirected	NA	NA
Actl6b	E2f6	0.00221351897585138	undirected	NA	NA
Actl6b	Eef1e1	0.00126584361038507	undirected	NA	NA
Actl6b	Efl1	0.042067470314746	undirected	NA	NA
Actl6b	Faf2	0.0377578869467325	undirected	NA	NA
Actl6b	Fancd2	0.00370389772653975	undirected	NA	NA
Actl6b	Fancm	0.00659347009761055	undirected	NA	NA
Actl6b	Fen1	0.00596996927494711	undirected	NA	NA
Actl6b	Fiz1	0.00100696988356299	undirected	NA	NA
Actl6b	Galnt14	0.00268749311406393	undirected	NA	NA
Actl6b	Gne	0.00921142518627728	undirected	NA	NA
Actl6b	Gnptab	0.00101604953417097	undirected	NA	NA
Actl6b	Hars	0.0136186684698214	undirected	NA	NA
Actl6b	Hook1	0.0139751457615405	undirected	NA	NA
Actl6b	Ipo8	0.0118037816562118	undirected	NA	NA
Actl6b	Jakmip3	0.0173911410915722	undirected	NA	NA
Actl6b	Kdm5d	0.00206394192896457	undirected	NA	NA
Actl6b	Lrp2	0.000876015673517158	undirected	NA	NA
Actl6b	Mat2b	0.00479214715061331	undirected	NA	NA
Actl6b	Nbeal1	0.00434260804745218	undirected	NA	NA
Actl6b	Neu2	0.000564472702801955	undirected	NA	NA
Actl6b	Nfatc2ip	0.00164278577843819	undirected	NA	NA
Actl6b	Nkiras2	0.000982891910932847	undirected	NA	NA
Actl6b	Nrbp1	0.000529591505381441	undirected	NA	NA
Actl6b	Nup133	0.000997311063873052	undirected	NA	NA
Actl6b	Odf2	0.00450876539534357	undirected	NA	NA
