fromNode	toNode	weight	direction	fromAltName	toAltName
Actr1b	Adarb2	0.00896837724043304	undirected	NA	NA
Actr1b	Ak4	0.00844437718023513	undirected	NA	NA
Actr1b	Arhgef7	0.000970962740025259	undirected	NA	NA
Actr1b	Arid1b	0.00999786168380236	undirected	NA	NA
Actr1b	Arl5b	0.000454386742165528	undirected	NA	NA
Actr1b	Arpp21	0.00140825490490437	undirected	NA	NA
Actr1b	Bcas3	0.00166974884760162	undirected	NA	NA
Actr1b	Cadm3	0.0170846012149056	undirected	NA	NA
Actr1b	Camk4	0.0249724656767908	undirected	NA	NA
Actr1b	Cherp	0.00424266216047937	undirected	NA	NA
Actr1b	Chrm1	0.00722174966781472	undirected	NA	NA
Actr1b	Creg2	0.00507056373850961	undirected	NA	NA
Actr1b	Dcaf7	0.00668280159720849	undirected	NA	NA
Actr1b	Dnajb5	0.00497304461893361	undirected	NA	NA
Actr1b	Doc2a	0.007784628012966	undirected	NA	NA
Actr1b	Dusp9	0.00190994588996338	undirected	NA	NA
Actr1b	Egr1	0.00149002267802712	undirected	NA	NA
Actr1b	Egr2	0.000219614482291374	undirected	NA	NA
Actr1b	Egr4	0.00278191894215808	undirected	NA	NA
Actr1b	Ephb6	0.0070148997137037	undirected	NA	NA
Actr1b	Ercc6	0.00545166028277057	undirected	NA	NA
Actr1b	Fam160a2	0.00185701991878825	undirected	NA	NA
Actr1b	Fdxr	0.00492248048975998	undirected	NA	NA
Actr1b	Fem1a	0.0160716472531662	undirected	NA	NA
Actr1b	Fhod3	0.011757613608004	undirected	NA	NA
Actr1b	Fos	0.000674325554524787	undirected	NA	NA
Actr1b	Foxj2	0.00311636628059509	undirected	NA	NA
Actr1b	Frmpd1	0.000290953109119115	undirected	NA	NA
Actr1b	Gcn1	0.0497616409910051	undirected	NA	NA
Actr1b	Gm42372	0.00731840151919319	undirected	NA	NA
Actr1b	Gmeb2	0.0127644670945622	undirected	NA	NA
Actr1b	Gtpbp2	0.0193784867522917	undirected	NA	NA
Actr1b	Hmg20a	0.00617290802104778	undirected	NA	NA
Actr1b	Iffo2	0.0186249213649998	undirected	NA	NA
Actr1b	Ino80d	0.00301537047020601	undirected	NA	NA
Actr1b	Insyn2a	0.00222454131820142	undirected	NA	NA
Actr1b	Lingo1	0.018567297198445	undirected	NA	NA
Actr1b	Lsg1	0.00549194537724803	undirected	NA	NA
Actr1b	Man2b1	0.0124822808472505	undirected	NA	NA
Actr1b	Maneal	0.00751187258282122	undirected	NA	NA
Actr1b	Map11	0.0033757573302243	undirected	NA	NA
Actr1b	Mapt	0.00645464815280181	undirected	NA	NA
Actr1b	Mark1	0.000339165382232876	undirected	NA	NA
Actr1b	Mbtd1	0.000598929562925708	undirected	NA	NA
Actr1b	Megf8	0.0076570611506121	undirected	NA	NA
Actr1b	Mmp17	0.00332426089306344	undirected	NA	NA
Actr1b	Mms19	0.00152914692409408	undirected	NA	NA
Actr1b	Nfrkb	0.000137616987055439	undirected	NA	NA
Actr1b	Orc2	0.00447154253316897	undirected	NA	NA
Actr1b	Pacs1	0.0192326642191183	undirected	NA	NA
Actr1b	Per2	0.0015768964238257	undirected	NA	NA
Actr1b	Plek	0.00843432900240134	undirected	NA	NA
Actr1b	Pms2	0.00195917752259933	undirected	NA	NA
Actr1b	Proser1	0.021927834233417	undirected	NA	NA
Actr1b	Prr12	0.0319831670259441	undirected	NA	NA
Actr1b	Ptar1	0.000512882416382702	undirected	NA	NA
Actr1b	Ptgs1	0.00244100543934152	undirected	NA	NA
Actr1b	Ptgs2	0.000874532036274108	undirected	NA	NA
Actr1b	Ptprf	0.012556641370325	undirected	NA	NA
Actr1b	Ramac	0.00444034585173064	undirected	NA	NA
Actr1b	Rasa3	0.0128288728765634	undirected	NA	NA
Actr1b	Rasgrf1	0.0045578285584718	undirected	NA	NA
Actr1b	Rasgrp4	0.000635341436215033	undirected	NA	NA
Actr1b	Rnaseh2b	0.00912995031247046	undirected	NA	NA
Actr1b	Rpusd2	0.000257901093941864	undirected	NA	NA
Actr1b	Scube1	0.0090023182203868	undirected	NA	NA
Actr1b	Setd1a	0.0137071910448738	undirected	NA	NA
Actr1b	Sh2b2	0.00278515285382316	undirected	NA	NA
Actr1b	Skp2	0.000620448483718836	undirected	NA	NA
Actr1b	Slc16a14	0.0125718475096156	undirected	NA	NA
Actr1b	Slc17a7	0.034621457312885	undirected	NA	NA
Actr1b	Slc29a4	0.00641496122295177	undirected	NA	NA
Actr1b	Slc2a8	0.0052399642754868	undirected	NA	NA
Actr1b	Slc7a6	0.00915906577767884	undirected	NA	NA
Actr1b	Slco4c1	0.0398474600383823	undirected	NA	NA
Actr1b	Smad3	0.00893977421854609	undirected	NA	NA
Actr1b	St3gal5	0.00408209894885045	undirected	NA	NA
Actr1b	Stx2	0.00140850727817978	undirected	NA	NA
Actr1b	Tacr3	0.00073319376867171	undirected	NA	NA
Actr1b	Tbc1d24	0.00374844814186481	undirected	NA	NA
Actr1b	Tle3	0.00854717048198116	undirected	NA	NA
Actr1b	Tmem201	0.00296251206966814	undirected	NA	NA
Actr1b	Trim9	0.0120880433209423	undirected	NA	NA
Actr1b	Trrap	0.00136011992125953	undirected	NA	NA
Actr1b	Tspan5	0.000119192942340121	undirected	NA	NA
Actr1b	Ttc22	0.0299735437493895	undirected	NA	NA
Actr1b	Twnk	0.000184664044971941	undirected	NA	NA
Actr1b	Uck2	0.0379828623274125	undirected	NA	NA
Actr1b	Uhrf1bp1l	0.00321116848909846	undirected	NA	NA
Actr1b	Unkl	0.00174720350405913	undirected	NA	NA
Actr1b	Zswim4	0.000953935069534539	undirected	NA	NA
