fromNode	toNode	weight	direction	fromAltName	toAltName
Aacs	Abcc6	0.0114824426966988	undirected	NA	NA
Aacs	Acot10	0.00340474580416072	undirected	NA	NA
Aacs	AI593442	0.00504446291244831	undirected	NA	NA
Aacs	Alg13	0.012074116825461	undirected	NA	NA
Aacs	Alpk1	0.00627606796150682	undirected	NA	NA
Aacs	Amd2	0.00712892490137448	undirected	NA	NA
Aacs	Ankrd45	0.0121172663473215	undirected	NA	NA
Aacs	Ano3	0.0175592291047599	undirected	NA	NA
Aacs	Atad2	0.00336098078785118	undirected	NA	NA
Aacs	Atp1a1	0.00391521789368098	undirected	NA	NA
Aacs	Atp5d	0.0406597286217385	undirected	NA	NA
Aacs	Atpaf1	0.00280458552504088	undirected	NA	NA
Aacs	Bach1	0.00745921860659077	undirected	NA	NA
Aacs	Brinp1	0.00963467346423794	undirected	NA	NA
Aacs	Cadm2	0.0128312629079123	undirected	NA	NA
Aacs	Cbr3	0.0510786297452259	undirected	NA	NA
Aacs	Cdh6	0.00922360578335569	undirected	NA	NA
Aacs	Ciz1	0.0258749090309943	undirected	NA	NA
Aacs	Cpsf4	0.0098760312243789	undirected	NA	NA
Aacs	Csgalnact1	0.0167297727777301	undirected	NA	NA
Aacs	Cyth3	0.00261526673227073	undirected	NA	NA
Aacs	Dym	0.0380885025788733	undirected	NA	NA
Aacs	Ehmt1	0.00216800880819871	undirected	NA	NA
Aacs	Exoc7	0.0148058527314068	undirected	NA	NA
Aacs	Fam98c	0.00971660918507309	undirected	NA	NA
Aacs	Golga3	0.00681378105814465	undirected	NA	NA
Aacs	Gon4l	0.00801357426509375	undirected	NA	NA
Aacs	Got2	0.0209457882099254	undirected	NA	NA
Aacs	Gpr61	0.0101878474345731	undirected	NA	NA
Aacs	Gramd1b	0.00502631080425454	undirected	NA	NA
Aacs	Herc3	0.0148912213113828	undirected	NA	NA
Aacs	Ica1	0.00932084731133164	undirected	NA	NA
Aacs	Impa2	0.00363457054993747	undirected	NA	NA
Aacs	Jkamp	0.00555827435510059	undirected	NA	NA
Aacs	Kansl1	0.00480864376066031	undirected	NA	NA
Aacs	Kcnip1	0.00518057114744663	undirected	NA	NA
Aacs	Kif9	0.0108329564968015	undirected	NA	NA
Aacs	Klhdc4	0.0102306289750675	undirected	NA	NA
Aacs	Krt2	0.00730679413972134	undirected	NA	NA
Aacs	Lgr5	0.0111161401488526	undirected	NA	NA
Aacs	Lnx1	0.0114715477846546	undirected	NA	NA
Aacs	Lrmp	0.0300477836144149	undirected	NA	NA
Aacs	Mb21d2	0.0312220452627791	undirected	NA	NA
Aacs	Med27	0.0120340440806155	undirected	NA	NA
Aacs	Mettl2	0.0197980238458095	undirected	NA	NA
Aacs	Mri1	0.00573655065834213	undirected	NA	NA
Aacs	Mrps15	0.026569640866481	undirected	NA	NA
Aacs	Mtrf1	0.00251334949184843	undirected	NA	NA
Aacs	Ngf	0.00756757684262355	undirected	NA	NA
Aacs	Nkd2	0.00341705643894313	undirected	NA	NA
Aacs	Nmt2	0.0175372891318037	undirected	NA	NA
Aacs	Nova1	0.00633164738029224	undirected	NA	NA
Aacs	Ntng1	0.0107718098190778	undirected	NA	NA
Aacs	Oxnad1	0.00993880051294259	undirected	NA	NA
Aacs	Patj	0.00327706009654255	undirected	NA	NA
Aacs	Pten	0.0154072794941278	undirected	NA	NA
Aacs	Rad54l	0.0158907245638176	undirected	NA	NA
Aacs	Rassf3	0.00559731327816939	undirected	NA	NA
Aacs	Rfx7	0.0189034515953719	undirected	NA	NA
Aacs	Rgs7	0.00486083712562234	undirected	NA	NA
Aacs	Shd	0.00567750235412507	undirected	NA	NA
Aacs	Smc6	0.0180677904324463	undirected	NA	NA
Aacs	Spry4	0.00955141251081469	undirected	NA	NA
Aacs	Srl	0.0106447330515252	undirected	NA	NA
Aacs	Tapt1	0.0214095189256001	undirected	NA	NA
Aacs	Tbc1d5	0.00227710824801114	undirected	NA	NA
Aacs	Trpc3	0.0113394622151226	undirected	NA	NA
Aacs	Tstd2	0.016584532771771	undirected	NA	NA
Aacs	Ubl7	0.02215022969495	undirected	NA	NA
Aacs	Usp25	0.0125461377611726	undirected	NA	NA
Aacs	Vezt	0.0127120280849926	undirected	NA	NA
Aacs	Vps54	0.00943498065858882	undirected	NA	NA
Aacs	Zbtb37	0.0168392317612586	undirected	NA	NA
Aacs	Zfp395	0.00516187287357789	undirected	NA	NA
Aacs	Zfp526	0.0145234119195793	undirected	NA	NA
Aacs	Zfp672	0.0100289709028637	undirected	NA	NA
Abcc6	Acot10	8.23978087194368e-05	undirected	NA	NA
Abcc6	AI593442	0.00610425050698809	undirected	NA	NA
Abcc6	Alg13	0.054374996809301	undirected	NA	NA
Abcc6	Alpk1	0.0455584675016468	undirected	NA	NA
Abcc6	Amd2	0.00155585528399403	undirected	NA	NA
Abcc6	Ankrd45	0.0153008348004331	undirected	NA	NA
Abcc6	Ano3	0.0109314325198754	undirected	NA	NA
Abcc6	Atad2	0.00160873442499516	undirected	NA	NA
Abcc6	Atp1a1	0.00358542396591016	undirected	NA	NA
Abcc6	Atp5d	0.0615852856896454	undirected	NA	NA
Abcc6	Atpaf1	0.00647649379712054	undirected	NA	NA
Abcc6	Bach1	0.0243088010960907	undirected	NA	NA
Abcc6	Brinp1	0.00679971673463251	undirected	NA	NA
Abcc6	Cadm2	0.0124757584724182	undirected	NA	NA
Abcc6	Cbr3	0.00248086873789992	undirected	NA	NA
Abcc6	Cdh6	0.0120668325183095	undirected	NA	NA
Abcc6	Ciz1	0.00685259312913527	undirected	NA	NA
Abcc6	Cpsf4	0.00320724582777797	undirected	NA	NA
Abcc6	Csgalnact1	0.000915147595324649	undirected	NA	NA
Abcc6	Cyth3	0.000620636463602096	undirected	NA	NA
Abcc6	Dym	0.0468281832010409	undirected	NA	NA
Abcc6	Ehmt1	0.000148168571159317	undirected	NA	NA
Abcc6	Exoc7	0.00373581193812774	undirected	NA	NA
Abcc6	Fam98c	0.000741433968073327	undirected	NA	NA
