nodeName	altName	nodeAttr[nodesPresent, ]
1110004F10Rik	NA	black
1110065P20Rik	NA	black
Abcd3	NA	black
Abcf1	NA	black
Abhd17b	NA	black
Aco2	NA	black
Actl6a	NA	black
Actr10	NA	black
Add1	NA	black
Adss	NA	black
Aifm1	NA	black
Akirin2	NA	black
Anp32e	NA	black
Apex1	NA	black
Appl2	NA	black
Araf	NA	black
Arf4	NA	black
Arl8b	NA	black
Arpc1a	NA	black
Arpc2	NA	black
Atp5pb	NA	black
Bcap31	NA	black
Becn1	NA	black
Bin1	NA	black
Bloc1s2	NA	black
Bnip3	NA	black
Bsdc1	NA	black
Btf3	NA	black
Btg1	NA	black
Camsap3	NA	black
Capns1	NA	black
Capza2	NA	black
Cbx3	NA	black
Cbx5	NA	black
Cct2	NA	black
Cd82	NA	black
Cdh2	NA	black
Cdk2	NA	black
Cdk2ap2	NA	black
Cdkn1c	NA	black
Cfap20	NA	black
Cfap36	NA	black
Cirbp	NA	black
Cmpk1	NA	black
Cnga1	NA	black
Cnn3	NA	black
Cnot6	NA	black
Cnpy2	NA	black
Cobll1	NA	black
Cog4	NA	black
Copz1	NA	black
Cox5a	NA	black
Cox6c	NA	black
Csnk2b	NA	black
Csrp1	NA	black
Cst3	NA	black
Cyb5r2	NA	black
Cyfip1	NA	black
Cyp3a13	NA	black
Dars	NA	black
Dbi	NA	black
Dctn3	NA	black
Dennd2a	NA	black
Desi2	NA	black
Dlk1	NA	black
Dnajc19	NA	black
Dpm3	NA	black
Dpy30	NA	black
Dusp22	NA	black
Dync1i2	NA	black
Eef1d	NA	black
Ei24	NA	black
Eif1	NA	black
Eif1b	NA	black
Eif2s2	NA	black
Eif3j2	NA	black
Eif3l	NA	black
Eif4h	NA	black
Eml2	NA	black
Eml3	NA	black
Enkd1	NA	black
Epb41l2	NA	black
Eprs	NA	black
Ergic3	NA	black
Eri3	NA	black
Etfa	NA	black
Ewsr1	NA	black
Fahd2a	NA	black
Fam49b	NA	black
Fam50a	NA	black
Fam83h	NA	black
Fbln1	NA	black
Fibin	NA	black
Focad	NA	black
Fubp3	NA	black
Fxr2	NA	black
Fzd5	NA	black
Gaa	NA	black
Gabarapl2	NA	black
Ganab	NA	black
Gars	NA	black
Gatm	NA	black
Gclm	NA	black
Get4	NA	black
Gga1	NA	black
Gltp	NA	black
Gm7102	NA	black
Gna12	NA	black
Gprc5b	NA	black
Gtf2ird1	NA	black
Gtpbp10	NA	black
H3f3a	NA	black
Hadh	NA	black
Hagh	NA	black
Hepacam	NA	black
Herpud2	NA	black
Hes6	NA	black
Hexim1	NA	black
Hmbs	NA	black
Hnrnpl	NA	black
Hsd17b10	NA	black
Hsdl2	NA	black
Hspe1	NA	black
Id3	NA	black
Iffo1	NA	black
Ift46	NA	black
Immt	NA	black
Ing4	NA	black
Ino80	NA	black
Insig2	NA	black
Ip6k2	NA	black
Itgb1	NA	black
Itgb1bp1	NA	black
Ivns1abp	NA	black
Jag1	NA	black
Kat8	NA	black
Kcmf1	NA	black
Kctd11	NA	black
Kdelr1	NA	black
Klf3	NA	black
Klhl35	NA	black
Kras	NA	black
Krcc1	NA	black
Lamp1	NA	black
Lamp2	NA	black
Ldb1	NA	black
Lmbrd1	NA	black
Lrp10	NA	black
Lrrcc1	NA	black
Lsm14a	NA	black
Ltbr	NA	black
Luc7l2	NA	black
Map3k11	NA	black
Map4	NA	black
Map7	NA	black
Mapre1	NA	black
Marchf3	NA	black
Marcks	NA	black
Mark3	NA	black
Matr3	NA	black
Max	NA	black
Meikin	NA	black
Mex3b	NA	black
Mff	NA	black
Mfsd14a	NA	black
Mid1ip1	NA	black
Mlycd	NA	black
Mmp23	NA	black
Mpc1	NA	black
Mpp5	NA	black
Mpv17	NA	black
Mrfap1	NA	black
Mrpl3	NA	black
Msmo1	NA	black
Myh14	NA	black
Naa50	NA	black
Nedd1	NA	black
Nr1h3	NA	black
Nras	NA	black
Nsmce1	NA	black
Nub1	NA	black
Nucb1	NA	black
Nudc	NA	black
Oard1	NA	black
Oaz2	NA	black
Olfr520	NA	black
Otub1	NA	black
P4hb	NA	black
