nodeName	altName	nodeAttr[nodesPresent, ]
1110051M20Rik	NA	blue
2610001J05Rik	NA	blue
4931414P19Rik	NA	blue
5031439G07Rik	NA	blue
A2m	NA	blue
Aamp	NA	blue
Abca2	NA	blue
Abca8a	NA	blue
Abcb7	NA	blue
Abhd18	NA	blue
Acer3	NA	blue
Acot7	NA	blue
Acsl1	NA	blue
Actb	NA	blue
Actg1	NA	blue
Actr8	NA	blue
Acvr2a	NA	blue
Adam10	NA	blue
Adam17	NA	blue
Adamts4	NA	blue
Adgrg6	NA	blue
Adgrv1	NA	blue
Adra2a	NA	blue
Adsl	NA	blue
Agpat4	NA	blue
Ahi1	NA	blue
Akap17b	NA	blue
Anapc4	NA	blue
Ankrd28	NA	blue
Anln	NA	blue
Ano10	NA	blue
Ano4	NA	blue
Anp32a	NA	blue
Anp32b	NA	blue
Ap2m1	NA	blue
Ap3m1	NA	blue
Ap4s1	NA	blue
Apex2	NA	blue
Api5	NA	blue
Aplp1	NA	blue
Apod	NA	blue
Apoo	NA	blue
Arhgef10	NA	blue
Arl1	NA	blue
Arl13b	NA	blue
Arl6ip1	NA	blue
Armcx2	NA	blue
Arpc5	NA	blue
Arrdc3	NA	blue
Ash2l	NA	blue
Aspa	NA	blue
Atad1	NA	blue
Atg3	NA	blue
Atoh8	NA	blue
Atp5b	NA	blue
Atp6v0d1	NA	blue
Atp6v1b2	NA	blue
Atp6v1c1	NA	blue
Atp6v1c2	NA	blue
Atp6v1d	NA	blue
Atp6v1g1	NA	blue
Azin1	NA	blue
B3galnt1	NA	blue
B3galt2	NA	blue
Bbc3	NA	blue
BC004004	NA	blue
Bcar1	NA	blue
Bcas1	NA	blue
Bend3	NA	blue
Bet1	NA	blue
Bmi1	NA	blue
Bmp4	NA	blue
Brd1	NA	blue
Brix1	NA	blue
Bub1	NA	blue
C1galt1c1	NA	blue
Cadm1	NA	blue
Cadm4	NA	blue
Calhm2	NA	blue
Calr	NA	blue
Calu	NA	blue
Caly	NA	blue
Canx	NA	blue
Capn6	NA	blue
Caprin1	NA	blue
Capzb	NA	blue
Car2	NA	blue
Carf	NA	blue
Carns1	NA	blue
Cbfb	NA	blue
Ccdc186	NA	blue
Ccdc80	NA	blue
Ccdc90b	NA	blue
Ccdc91	NA	blue
Ccn2	NA	blue
Ccnc	NA	blue
Ccne2	NA	blue
Ccnjl	NA	blue
Ccp110	NA	blue
Cct3	NA	blue
Cct4	NA	blue
Cct5	NA	blue
Cct6a	NA	blue
Cct7	NA	blue
Cct8	NA	blue
Cd200	NA	blue
Cd9	NA	blue
Cdc40	NA	blue
Cdc42	NA	blue
Cdk4	NA	blue
Cdk5rap2	NA	blue
Cdkn1b	NA	blue
Cdr2	NA	blue
Cecr2	NA	blue
Celf6	NA	blue
Cers2	NA	blue
Cetn2	NA	blue
Cfl2	NA	blue
Cgn	NA	blue
Chd7	NA	blue
Chic1	NA	blue
Chmp7	NA	blue
Chn2	NA	blue
Chp1	NA	blue
Chtop	NA	blue
Clcc1	NA	blue
Clcn3	NA	blue
Cldn11	NA	blue
Clk1	NA	blue
Cmtm5	NA	blue
Cnbp	NA	blue
Cnot2	NA	blue
Cnp	NA	blue
Cntn2	NA	blue
Cntn6	NA	blue
Coa7	NA	blue
Col9a3	NA	blue
Commd3	NA	blue
Copb1	NA	blue
Cops2	NA	blue
Cops3	NA	blue
Cpeb2	NA	blue
Cpsf3	NA	blue
Creb5	NA	blue
Crk	NA	blue
Crnkl1	NA	blue
Cryab	NA	blue
Crybg3	NA	blue
Csde1	NA	blue
Csf1	NA	blue
Csnk1a1	NA	blue
Cstf3	NA	blue
Ctbs	NA	blue
Ctcf	NA	blue
Ctnna1	NA	blue
Cul1	NA	blue
Cul5	NA	blue
Cybb	NA	blue
D230025D16Rik	NA	blue
D6Wsu163e	NA	blue
Dad1	NA	blue
Dapk3	NA	blue
Dctn5	NA	blue
Dcun1d5	NA	blue
Ddost	NA	blue
Ddr1	NA	blue
Ddx1	NA	blue
Ddx3x	NA	blue
Ddx47	NA	blue
Ddx5	NA	blue
Dhx15	NA	blue
Dhx40	NA	blue
Dnah11	NA	blue
Dnah12	NA	blue
Dnaja1	NA	blue
Dnaja2	NA	blue
Dnajb9	NA	blue
Dnajc10	NA	blue
Dnajc7	NA	blue
Dnase2a	NA	blue
Dnm2	NA	blue
Dock10	NA	blue
Dock5	NA	blue
Dtd1	NA	blue
Dusp10	NA	blue
E130308A19Rik	NA	blue
E2f5	NA	blue
Ecel1	NA	blue
Edil3	NA	blue
Efcab1	NA	blue
Efcab7	NA	blue
Egfl6	NA	blue
Eid1	NA	blue
Eif2a	NA	blue
Eif2s3x	NA	blue
Eif3a	NA	blue
Eif3c	NA	blue
Eif3e	NA	blue
Eif3m	NA	blue
Eif4a1	NA	blue
Eif4a2	NA	blue
Eif4e	NA	blue
Eif4g2	NA	blue
Eif5	NA	blue
Eif5b	NA	blue
Elovl1	NA	blue
Emc7	NA	blue
Eml1	NA	blue
Enpp2	NA	blue
Enpp6	NA	blue
Entpd1	NA	blue
Eps15	NA	blue
Erbb3	NA	blue
Erbin	NA	blue
Ergic2	NA	blue
Erlec1	NA	blue
Ermn	NA	blue
Erp29	NA	blue
Erp44	NA	blue
Ext1	NA	blue
Eya4	NA	blue
Ezh2	NA	blue
Fa2h	NA	blue
Fabp7	NA	blue
Fah	NA	blue
Fam32a	NA	blue
Fam92a	NA	blue
Far1	NA	blue
