nodeName	altName	nodeAttr[nodesPresent, ]
1110008P14Rik	NA	brown
4930453N24Rik	NA	brown
Abhd17a	NA	brown
Abhd17c	NA	brown
Abhd8	NA	brown
Acbd4	NA	brown
Ace2	NA	brown
Actn4	NA	brown
Acvrl1	NA	brown
Acy1	NA	brown
Adap1	NA	brown
Adgrb1	NA	brown
Adgrb2	NA	brown
Adgrg1	NA	brown
Adra1d	NA	brown
Adra2c	NA	brown
Adrb1	NA	brown
Agap3	NA	brown
Agpat1	NA	brown
Aifm2	NA	brown
Akr1b3	NA	brown
Akt1	NA	brown
Akt2	NA	brown
Aldh1l1	NA	brown
Amfr	NA	brown
Amt	NA	brown
Angptl4	NA	brown
Ank1	NA	brown
Ankrd13b	NA	brown
Ankrd13d	NA	brown
Anks3	NA	brown
Anxa5	NA	brown
Ap3m2	NA	brown
Aplp2	NA	brown
Arf5	NA	brown
Arhgap10	NA	brown
Arhgap33	NA	brown
Arhgdig	NA	brown
Arhgef5	NA	brown
Arl8a	NA	brown
Arvcf	NA	brown
Asic2	NA	brown
Asna1	NA	brown
Asphd1	NA	brown
Asphd2	NA	brown
Aspscr1	NA	brown
Atf6b	NA	brown
Atp13a2	NA	brown
Atp6v0e	NA	brown
Atxn7l3	NA	brown
Axl	NA	brown
Azin2	NA	brown
B3gat2	NA	brown
B3gat3	NA	brown
B4galnt1	NA	brown
B4galnt4	NA	brown
B4galt2	NA	brown
Bad	NA	brown
Begain	NA	brown
Bloc1s1	NA	brown
Bmp7	NA	brown
Brf1	NA	brown
Brsk1	NA	brown
Btbd1	NA	brown
Btbd2	NA	brown
Btbd6	NA	brown
C1ql1	NA	brown
C1qtnf4	NA	brown
Cables1	NA	brown
Cabp1	NA	brown
Cacng7	NA	brown
Camk2n1	NA	brown
Camta2	NA	brown
Capn15	NA	brown
Carmil2	NA	brown
Caskin1	NA	brown
Cbfa2t3	NA	brown
Cbs	NA	brown
Ccdc124	NA	brown
Ccdc85b	NA	brown
Ccdc85c	NA	brown
Ccdc92	NA	brown
Cck	NA	brown
Ccm2	NA	brown
Ccng1	NA	brown
Ccni	NA	brown
Cdc34	NA	brown
Cdc34b	NA	brown
Cdh22	NA	brown
Cdk16	NA	brown
Cdk20	NA	brown
Cdk5r2	NA	brown
Chchd10	NA	brown
Chpf2	NA	brown
Chrd	NA	brown
Chst2	NA	brown
Ciao2b	NA	brown
Ciao3	NA	brown
Cib2	NA	brown
Clasrp	NA	brown
Clcn2	NA	brown
Cldn5	NA	brown
Cngb3	NA	brown
Cnih2	NA	brown
Cntfr	NA	brown
Cntnap1	NA	brown
Cog2	NA	brown
Comtd1	NA	brown
Coq9	NA	brown
Coro6	NA	brown
Cox8a	NA	brown
Crip2	NA	brown
Csf1r	NA	brown
Csnk1g2	NA	brown
Cspp1	NA	brown
Ctbp1	NA	brown
Ctsc	NA	brown
Cul9	NA	brown
Cygb	NA	brown
Cyp46a1	NA	brown
Dact3	NA	brown
Dbn1	NA	brown
Dcaf11	NA	brown
Dedd	NA	brown
Dennd4b	NA	brown
Dgat1	NA	brown
Dgkz	NA	brown
Dhrs11	NA	brown
Dlgap3	NA	brown
Dlgap4	NA	brown
Dmap1	NA	brown
Dmpk	NA	brown
Dmtn	NA	brown
Dnajc9	NA	brown
Drosha	NA	brown
Dvl1	NA	brown
E4f1	NA	brown
Ebf4	NA	brown
Edf1	NA	brown
Eef2	NA	brown
Egln2	NA	brown
Eif3f	NA	brown
Elob	NA	brown
Elovl2	NA	brown
Epas1	NA	brown
Epn1	NA	brown
Epop	NA	brown
Ercc2	NA	brown
Esam	NA	brown
Esrra	NA	brown
Etv4	NA	brown
Evl	NA	brown
Ezr	NA	brown
Fam107a	NA	brown
Fam120a	NA	brown
Fam160b2	NA	brown
Fam171a2	NA	brown
Fam189b	NA	brown
Fam193b	NA	brown
Fam219a	NA	brown
Fastk	NA	brown
Fbrsl1	NA	brown
Fbxl12	NA	brown
Fbxl19	NA	brown
Fbxo9	NA	brown
Fbxw8	NA	brown
Fgf11	NA	brown
Fgfr3	NA	brown
Fkbp8	NA	brown
Flot1	NA	brown
Fmnl1	NA	brown
Fndc5	NA	brown
Foxf2	NA	brown
Fsd1	NA	brown
Fuom	NA	brown
Fzd2	NA	brown
Fzd9	NA	brown
G6pc3	NA	brown
Git1	NA	brown
Glis2	NA	brown
Glmp	NA	brown
Gls2	NA	brown
Glul	NA	brown
Gm1673	NA	brown
Gm17018	NA	brown
Gm42517	NA	brown
Gm45871	NA	brown
Gna11	NA	brown
Gng13	NA	brown
Gng3	NA	brown
Gnl1	NA	brown
Golga7b	NA	brown
Gpc1	NA	brown
Gpc5	NA	brown
Gpi1	NA	brown
Gpr137	NA	brown
Gpr162	NA	brown
Gpr27	NA	brown
Gpr37l1	NA	brown
Gprin1	NA	brown
Gramd1a	NA	brown
Grik5	NA	brown
Grk2	NA	brown
Guk1	NA	brown
H1f10	NA	brown
Habp4	NA	brown
Hapln1	NA	brown
Hcn2	NA	brown
Hdac5	NA	brown
Hira	NA	brown
Hmces	NA	brown
Hmgn3	NA	brown
Hsf1	NA	brown
Htra2	NA	brown
Id1	NA	brown
Ift140	NA	brown
Igfbp7	NA	brown
Il17d	NA	brown
Ilrun	NA	brown
Insyn1	NA	brown
Ipp	NA	brown
Irak1	NA	brown
Isyna1	NA	brown
Itm2a	NA	brown
Jag2	NA	brown
Jph4	NA	brown
Kank3	NA	brown
Kbtbd11	NA	brown
Kcnab2	NA	brown
Kcnip3	NA	brown
Kcnj10	NA	brown
Kcnj8	NA	brown
Kcnmb4	NA	brown
Kctd17	NA	brown
Keap1	NA	brown
Klf2	NA	brown
Klf4	NA	brown
Kmt5a	NA	brown
Lamb2	NA	brown
Lamtor1	NA	brown
Lamtor2	NA	brown
Larp1b	NA	brown
Lasp1	NA	brown
Lbh	NA	brown
Lgalsl	NA	brown
Lgi4	NA	brown
Lhx2	NA	brown
Lima1	NA	brown
Limd2	NA	brown
Limk2	NA	brown
Lin7b	NA	brown
Lmf2	NA	brown
Lpar6	NA	brown
Lrfn1	NA	brown
Lrp5	NA	brown
Lrrc73	NA	brown
Lrrfip2	NA	brown
Maf	NA	brown
Mafg	NA	brown
Map1a	NA	brown
Map3k10	NA	brown
Mapk11	NA	brown
Mapk8ip2	NA	brown
Matk	NA	brown
Maz	NA	brown
Mcrip1	NA	brown
Mcrip2	NA	brown
Med24	NA	brown
Meis3	NA	brown
Mfge8	NA	brown
Mgat4b	NA	brown
Mib2	NA	brown
Mical2	NA	brown
Mknk2	NA	brown
Mlc1	NA	brown
Mnt	NA	brown
Mob2	NA	brown
Mon1a	NA	brown
Morn4	NA	brown
Mpc2	NA	brown
Mpp3	NA	brown
Mroh1	NA	brown
Mrpl16	NA	brown
Mrps14	NA	brown
Mrps28	NA	brown
Msl1	NA	brown
Msx1	NA	brown
Mta1	NA	brown
Mtg2	NA	brown
Mtmr14	NA	brown
Mxd4	NA	brown
Mxi1	NA	brown
Myorg	NA	brown
Mypop	NA	brown
Myrip	NA	brown
N4bp2l1	NA	brown
Nacc1	NA	brown
Nacc2	NA	brown
Naglu	NA	brown
Napa	NA	brown
Nat14	NA	brown
Nckipsd	NA	brown
Ndufa1	NA	brown
Ndufa4	NA	brown
Ndufa6	NA	brown
Ndufaf5	NA	brown
Nedd8	NA	brown
Nfic	NA	brown
Nfkb2	NA	brown
Nfkbil1	NA	brown
Ninl	NA	brown
Notch4	NA	brown
Npdc1	NA	brown
Nphp4	NA	brown
Nr2f2	NA	brown
Nr2f6	NA	brown
Nrgn	NA	brown
Nrxn2	NA	brown
Nsmf	NA	brown
Nubp2	NA	brown
Nup214	NA	brown
Nyap1	NA	brown
Orc5	NA	brown
Pald1	NA	brown
Panx2	NA	brown
Paqr4	NA	brown
Pard6a	NA	brown
Parp6	NA	brown
Paxip1	NA	brown
Paxx	NA	brown
Pcsk1n	NA	brown
Pdgfa	NA	brown
Pdlim4	NA	brown
Pdxk	NA	brown
Pdzd4	NA	brown
Pgp	NA	brown
Pgs1	NA	brown
Phactr3	NA	brown
Phc1	NA	brown
Pigq	NA	brown
Pik3r2	NA	brown
Pin1rt1	NA	brown
Pitpnm1	NA	brown
Pkdcc	NA	brown
Plekhd1	NA	brown
Plekhf2	NA	brown
Plekhm2	NA	brown
Plk5	NA	brown
Plpp3	NA	brown
Pltp	NA	brown
Plxnd1	NA	brown
Poldip2	NA	brown
Por	NA	brown
Pou3f1	NA	brown
Pou3f3	NA	brown
Ppard	NA	brown
Ppdpf	NA	brown
Ppfia3	NA	brown
Ppp1r12c	NA	brown
Ppp1r14b	NA	brown
Ppp1r16a	NA	brown
Ppp1r18	NA	brown
Ppp1r37	NA	brown
Ppp1r3c	NA	brown
Ppp1r3e	NA	brown
Ppp1r9b	NA	brown
Pprc1	NA	brown
Prex1	NA	brown
Prex2	NA	brown
Prkd2	NA	brown
Prodh	NA	brown
Prr7	NA	brown
Psd	NA	brown
Ptpa	NA	brown
Pus1	NA	brown
Pusl1	NA	brown
Rab15	NA	brown
Rab1b	NA	brown
Rab22a	NA	brown
Rab24	NA	brown
Rabl6	NA	brown
Rad52	NA	brown
Rad9a	NA	brown
Ranbp3	NA	brown
Rapgef4	NA	brown
Rasa2	NA	brown
Rasgef1a	NA	brown
Rasgrp2	NA	brown
Rasl10b	NA	brown
Raver2	NA	brown
Rell2	NA	brown
Rexo1	NA	brown
Rfng	NA	brown
Rgcc	NA	brown
Rgs20	NA	brown
Rhbdf1	NA	brown
Rhot2	NA	brown
Ric8a	NA	brown
Rims3	NA	brown
Rnaseh2a	NA	brown
Rnf10	NA	brown
Rnf112	NA	brown
Rnf123	NA	brown
Rnf208	NA	brown
Rnf25	NA	brown
Rnf44	NA	brown
Robo4	NA	brown
Rogdi	NA	brown
Rpia	NA	brown
Rpl29	NA	brown
Rps18	NA	brown
Rps28	NA	brown
Rps6ka4	NA	brown
Rsph9	NA	brown
Rtn2	NA	brown
Rundc3a	NA	brown
Rxrb	NA	brown
S1pr1	NA	brown
Sae1	NA	brown
Samd4b	NA	brown
Sap30l	NA	brown
Scaf1	NA	brown
Scap	NA	brown
Scmh1	NA	brown
Scrt1	NA	brown
Selenow	NA	brown
Sema6b	NA	brown
Septin5	NA	brown
Sfxn5	NA	brown
Sgsm2	NA	brown
Sh3gl1	NA	brown
Sh3glb2	NA	brown
Sh3rf1	NA	brown
Shb	NA	brown
Shc1	NA	brown
Shkbp1	NA	brown
Sirt7	NA	brown
