nodeName	altName	nodeAttr[nodesPresent, ]
1110059E24Rik	NA	cyan
2410002F23Rik	NA	cyan
Aatk	NA	cyan
Adgrg2	NA	cyan
AI837181	NA	cyan
Aif1l	NA	cyan
Alkbh4	NA	cyan
Ap2a1	NA	cyan
Arfgap2	NA	cyan
Atp1b3	NA	cyan
Atp6ap1	NA	cyan
BC005624	NA	cyan
C030006K11Rik	NA	cyan
Ccdc102a	NA	cyan
Ccnq	NA	cyan
Cdc123	NA	cyan
Cdc42bpg	NA	cyan
Cdk5	NA	cyan
Chd1l	NA	cyan
Chmp2b	NA	cyan
Cks1b	NA	cyan
Col9a2	NA	cyan
Coq10b	NA	cyan
Cpsf1	NA	cyan
Crtac1	NA	cyan
Ctla4	NA	cyan
Ctsa	NA	cyan
Dcxr	NA	cyan
Ddx28	NA	cyan
Ddx52	NA	cyan
Decr1	NA	cyan
Dnajb12	NA	cyan
Dnttip1	NA	cyan
Dolk	NA	cyan
Ecsit	NA	cyan
Eif3k	NA	cyan
Eif4a3l1	NA	cyan
Fam234a	NA	cyan
Fam3a	NA	cyan
Fbxl3	NA	cyan
Fbxo22	NA	cyan
Fbxo4	NA	cyan
Flcn	NA	cyan
Flna	NA	cyan
Fus	NA	cyan
Gamt	NA	cyan
Gas1	NA	cyan
Ghitm	NA	cyan
Gipc1	NA	cyan
Gm15013	NA	cyan
Gpaa1	NA	cyan
Gpr137b	NA	cyan
H2ax	NA	cyan
Hcfc1r1	NA	cyan
Il13ra1	NA	cyan
Ilf2	NA	cyan
Ilk	NA	cyan
Ints4	NA	cyan
Irf2bp1	NA	cyan
Kat5	NA	cyan
Klf15	NA	cyan
Krt10	NA	cyan
Lhfp	NA	cyan
Lrrc61	NA	cyan
Maea	NA	cyan
Map7d1	NA	cyan
Mkrn1	NA	cyan
Mpst	NA	cyan
Mrpl17	NA	cyan
Mta2	NA	cyan
Mtmr2	NA	cyan
Myl6	NA	cyan
Naa30	NA	cyan
Naca	NA	cyan
Nck2	NA	cyan
Ndufs2	NA	cyan
Nmnat1	NA	cyan
Nrbp2	NA	cyan
Nt5c3b	NA	cyan
Parl	NA	cyan
Parn	NA	cyan
Pcyt2	NA	cyan
Pdyn	NA	cyan
Pgk1	NA	cyan
Phb	NA	cyan
Pin1	NA	cyan
Pkn1	NA	cyan
Pla2g12a	NA	cyan
Poglut2	NA	cyan
Polr2i	NA	cyan
Porcn	NA	cyan
Ppp1r15b	NA	cyan
Ppp5c	NA	cyan
Prcc	NA	cyan
Psmd4	NA	cyan
Pspc1	NA	cyan
Rfc5	NA	cyan
Rrs1	NA	cyan
Rskr	NA	cyan
Rtkn	NA	cyan
Ruvbl2	NA	cyan
Sec14l5	NA	cyan
Sh3bp5	NA	cyan
Shh	NA	cyan
Slc35a2	NA	cyan
Slc35b2	NA	cyan
Slc6a8	NA	cyan
Snrnp48	NA	cyan
Snx17	NA	cyan
Snx7	NA	cyan
Srsf5	NA	cyan
Ssna1	NA	cyan
Tada1	NA	cyan
Tagln	NA	cyan
Tars2	NA	cyan
Tbc1d17	NA	cyan
Tecr	NA	cyan
Tex9	NA	cyan
Tifa	NA	cyan
Tmem121	NA	cyan
Tmem128	NA	cyan
Tmem151a	NA	cyan
Tmem178	NA	cyan
Tmem203	NA	cyan
Tmem87b	NA	cyan
Tmf1	NA	cyan
Tmub1	NA	cyan
Tuba1b	NA	cyan
Tubg1	NA	cyan
Tvp23b	NA	cyan
Ubc	NA	cyan
Ube2v2	NA	cyan
Ubr7	NA	cyan
Urod	NA	cyan
Vps16	NA	cyan
Wdr3	NA	cyan
Xab2	NA	cyan
Zcrb1	NA	cyan
Zmym3	NA	cyan
