nodeName	altName	nodeAttr[nodesPresent, ]
1110059G10Rik	NA	darkgreen
9430015G10Rik	NA	darkgreen
Actn1	NA	darkgreen
Acvr1c	NA	darkgreen
Adamts6	NA	darkgreen
Afap1	NA	darkgreen
Ahctf1	NA	darkgreen
Aimp1	NA	darkgreen
Aldh1a2	NA	darkgreen
Arhgap15	NA	darkgreen
B230118H07Rik	NA	darkgreen
Btf3l4	NA	darkgreen
Cask	NA	darkgreen
Cbln4	NA	darkgreen
Ccnj	NA	darkgreen
Cep192	NA	darkgreen
Coch	NA	darkgreen
Col12a1	NA	darkgreen
Col4a5	NA	darkgreen
Col6a3	NA	darkgreen
Colec12	NA	darkgreen
Cp	NA	darkgreen
Cpne4	NA	darkgreen
Cpt1a	NA	darkgreen
Cuedc2	NA	darkgreen
Dab2	NA	darkgreen
Ddx50	NA	darkgreen
Diaph1	NA	darkgreen
Dio2	NA	darkgreen
Dock2	NA	darkgreen
Dock4	NA	darkgreen
Dpy19l4	NA	darkgreen
Eif1ax	NA	darkgreen
Eme2	NA	darkgreen
Enah	NA	darkgreen
Entpd7	NA	darkgreen
Ets1	NA	darkgreen
F13a1	NA	darkgreen
Foxo1	NA	darkgreen
Frs2	NA	darkgreen
Furin	NA	darkgreen
G2e3	NA	darkgreen
Glis3	NA	darkgreen
Gm12184	NA	darkgreen
Gnas	NA	darkgreen
Golt1b	NA	darkgreen
Hipk3	NA	darkgreen
Hltf	NA	darkgreen
Hspg2	NA	darkgreen
Ide	NA	darkgreen
Ids	NA	darkgreen
Inpp5d	NA	darkgreen
Iqschfp	NA	darkgreen
Itih5	NA	darkgreen
Lepr	NA	darkgreen
Nagk	NA	darkgreen
Nfatc2	NA	darkgreen
Nisch	NA	darkgreen
Nrp1	NA	darkgreen
Numb	NA	darkgreen
Ophn1	NA	darkgreen
Osr1	NA	darkgreen
Paqr5	NA	darkgreen
Paqr8	NA	darkgreen
Pcdh18	NA	darkgreen
Pcgf5	NA	darkgreen
Pik3cg	NA	darkgreen
Plxdc2	NA	darkgreen
Prdm16	NA	darkgreen
Prkd3	NA	darkgreen
Ptch1	NA	darkgreen
Pum2	NA	darkgreen
Rbfa	NA	darkgreen
Rc3h1	NA	darkgreen
Rnf144b	NA	darkgreen
Rorb	NA	darkgreen
Sertad4	NA	darkgreen
Setd6	NA	darkgreen
Sirt6	NA	darkgreen
Slain2	NA	darkgreen
Slc24a3	NA	darkgreen
Slc26a6	NA	darkgreen
Slc39a14	NA	darkgreen
Slc40a1	NA	darkgreen
Slc4a7	NA	darkgreen
Slc6a1	NA	darkgreen
Slc7a11	NA	darkgreen
Smarcad1	NA	darkgreen
Smc2	NA	darkgreen
Sned1	NA	darkgreen
Sorbs1	NA	darkgreen
Srek1	NA	darkgreen
Stox2	NA	darkgreen
Suox	NA	darkgreen
Tbc1d16	NA	darkgreen
Tbc1d2b	NA	darkgreen
Tex2	NA	darkgreen
Ttc17	NA	darkgreen
Ubn2	NA	darkgreen
Vip	NA	darkgreen
Wasf3	NA	darkgreen
Xiap	NA	darkgreen
Xpo6	NA	darkgreen
Zbtb25	NA	darkgreen
Zbtb34	NA	darkgreen
Zfp101	NA	darkgreen
Zfp366	NA	darkgreen
Zkscan8	NA	darkgreen
Zmym6	NA	darkgreen
