nodeName	altName	nodeAttr[nodesPresent, ]
0610010F05Rik	NA	darkgrey
Abca5	NA	darkgrey
Acp1	NA	darkgrey
Adipor2	NA	darkgrey
Afg3l2	NA	darkgrey
Arf2	NA	darkgrey
Ascl1	NA	darkgrey
Atic	NA	darkgrey
Atp1b1	NA	darkgrey
Bclaf3	NA	darkgrey
Bms1	NA	darkgrey
Bmt2	NA	darkgrey
Bnip3l	NA	darkgrey
Ccdc117	NA	darkgrey
Ccnk	NA	darkgrey
Cdv3	NA	darkgrey
Cetn3	NA	darkgrey
Chsy3	NA	darkgrey
Cop1	NA	darkgrey
Cox7b	NA	darkgrey
Ctps	NA	darkgrey
Dnajc24	NA	darkgrey
Efna1	NA	darkgrey
Fam57a	NA	darkgrey
Fdft1	NA	darkgrey
Fopnl	NA	darkgrey
Gfm1	NA	darkgrey
Gk	NA	darkgrey
Gnl3	NA	darkgrey
Gpr176	NA	darkgrey
Gpsm2	NA	darkgrey
Gtf3c3	NA	darkgrey
Gtpbp4	NA	darkgrey
Hspa9	NA	darkgrey
Ift80	NA	darkgrey
Ipo11	NA	darkgrey
Kbtbd6	NA	darkgrey
Klhl28	NA	darkgrey
Larp4	NA	darkgrey
Lmbrd2	NA	darkgrey
Lsm1	NA	darkgrey
Lztfl1	NA	darkgrey
Mcm4	NA	darkgrey
Med13	NA	darkgrey
Mier1	NA	darkgrey
Mier3	NA	darkgrey
Mmachc	NA	darkgrey
Mrpl33	NA	darkgrey
Msantd4	NA	darkgrey
Nars	NA	darkgrey
Ndufaf1	NA	darkgrey
Nfu1	NA	darkgrey
Nipa2	NA	darkgrey
Nol6	NA	darkgrey
Nop14	NA	darkgrey
Nsun2	NA	darkgrey
Nudcd1	NA	darkgrey
Nup35	NA	darkgrey
Orc4	NA	darkgrey
Pacc1	NA	darkgrey
Pdcd10	NA	darkgrey
Pdcd6	NA	darkgrey
Pde1c	NA	darkgrey
Pdhx	NA	darkgrey
Pigw	NA	darkgrey
Pnrc1	NA	darkgrey
Psmd6	NA	darkgrey
Psmg4	NA	darkgrey
Rad17	NA	darkgrey
Rhot1	NA	darkgrey
Ric3	NA	darkgrey
Rnf4	NA	darkgrey
Rpa3	NA	darkgrey
Rrm1	NA	darkgrey
Rsrc1	NA	darkgrey
Saal1	NA	darkgrey
Sars2	NA	darkgrey
Slc25a13	NA	darkgrey
Slc25a14	NA	darkgrey
Sox8	NA	darkgrey
Ssbp1	NA	darkgrey
Stk32a	NA	darkgrey
Styx	NA	darkgrey
Sucla2	NA	darkgrey
Sugt1	NA	darkgrey
Tex30	NA	darkgrey
Tmem60	NA	darkgrey
Tmem87a	NA	darkgrey
Trappc13	NA	darkgrey
Trim26	NA	darkgrey
Trip4	NA	darkgrey
Ubfd1	NA	darkgrey
Ubxn2a	NA	darkgrey
Upf2	NA	darkgrey
Urm1	NA	darkgrey
Wdr75	NA	darkgrey
Zbed4	NA	darkgrey
Zfp458	NA	darkgrey
Zfp551	NA	darkgrey
Zfp654	NA	darkgrey
Zfp788	NA	darkgrey
Zfp804a	NA	darkgrey
Zfyve16	NA	darkgrey
