nodeName	altName	nodeAttr[nodesPresent, ]
5730455P16Rik	NA	darkmagenta
Adcy6	NA	darkmagenta
Ahr	NA	darkmagenta
Ak5	NA	darkmagenta
Ap2a2	NA	darkmagenta
Arhgef2	NA	darkmagenta
Arsb	NA	darkmagenta
Bcat1	NA	darkmagenta
Cbln1	NA	darkmagenta
Cc2d1b	NA	darkmagenta
Ccdc149	NA	darkmagenta
Cfap299	NA	darkmagenta
Clip2	NA	darkmagenta
Cnnm3	NA	darkmagenta
Coro1c	NA	darkmagenta
Crhbp	NA	darkmagenta
Crmp1	NA	darkmagenta
Ctxn2	NA	darkmagenta
Dennd5b	NA	darkmagenta
Dtnbp1	NA	darkmagenta
Eapp	NA	darkmagenta
Fam210a	NA	darkmagenta
Fbxl7	NA	darkmagenta
Fkbp1b	NA	darkmagenta
Fto	NA	darkmagenta
Gadd45gip1	NA	darkmagenta
Gtf3c1	NA	darkmagenta
Hgs	NA	darkmagenta
Hs3st2	NA	darkmagenta
Il34	NA	darkmagenta
Itga11	NA	darkmagenta
Kantr	NA	darkmagenta
Klhl1	NA	darkmagenta
Klhl42	NA	darkmagenta
Kri1	NA	darkmagenta
Lamc2	NA	darkmagenta
Mcee	NA	darkmagenta
Med9	NA	darkmagenta
Mrgpre	NA	darkmagenta
Ncbp2	NA	darkmagenta
Nkpd1	NA	darkmagenta
Notch2	NA	darkmagenta
Nxph3	NA	darkmagenta
P4ha3	NA	darkmagenta
Pcsk5	NA	darkmagenta
Pid1	NA	darkmagenta
Prkaa2	NA	darkmagenta
Rab3b	NA	darkmagenta
Rdh13	NA	darkmagenta
Reep1	NA	darkmagenta
Rrad	NA	darkmagenta
Rtf2	NA	darkmagenta
Sec23ip	NA	darkmagenta
Sema4g	NA	darkmagenta
Sidt2	NA	darkmagenta
Slc25a22	NA	darkmagenta
Smap1	NA	darkmagenta
Snca	NA	darkmagenta
Sprn	NA	darkmagenta
Stk32c	NA	darkmagenta
Stk4	NA	darkmagenta
Sv2a	NA	darkmagenta
Synrg	NA	darkmagenta
Tac1	NA	darkmagenta
Taf1d	NA	darkmagenta
Timm13	NA	darkmagenta
Tmem164	NA	darkmagenta
Tmem214	NA	darkmagenta
Tob2	NA	darkmagenta
Tppp	NA	darkmagenta
Trappc5	NA	darkmagenta
Ubash3b	NA	darkmagenta
Vxn	NA	darkmagenta
Wars	NA	darkmagenta
Wnt2	NA	darkmagenta
Wwp2	NA	darkmagenta
Zc3h12b	NA	darkmagenta
Zfp236	NA	darkmagenta
