nodeName	altName	nodeAttr[nodesPresent, ]
2310022B05Rik	NA	darkolivegreen
4430402I18Rik	NA	darkolivegreen
Adcy5	NA	darkolivegreen
Akap13	NA	darkolivegreen
Anapc7	NA	darkolivegreen
Ankrd10	NA	darkolivegreen
Arf3	NA	darkolivegreen
Arx	NA	darkolivegreen
Atp6ap1l	NA	darkolivegreen
Bcar3	NA	darkolivegreen
Bcl9l	NA	darkolivegreen
Cacng8	NA	darkolivegreen
Cavin3	NA	darkolivegreen
Cep104	NA	darkolivegreen
Cfh	NA	darkolivegreen
Chd3	NA	darkolivegreen
Chrdl1	NA	darkolivegreen
Coa5	NA	darkolivegreen
Cps1	NA	darkolivegreen
Ddn	NA	darkolivegreen
Ddr2	NA	darkolivegreen
Dennd4c	NA	darkolivegreen
Dlx1	NA	darkolivegreen
Dock6	NA	darkolivegreen
Fam162a	NA	darkolivegreen
Fat4	NA	darkolivegreen
Frmpd3	NA	darkolivegreen
Gnb1l	NA	darkolivegreen
Gng7	NA	darkolivegreen
Gxylt1	NA	darkolivegreen
Hipk1	NA	darkolivegreen
Igsf9	NA	darkolivegreen
Itga6	NA	darkolivegreen
Kdm2b	NA	darkolivegreen
Lrp4	NA	darkolivegreen
Lurap1	NA	darkolivegreen
Map3k20	NA	darkolivegreen
Mfap3l	NA	darkolivegreen
Micu1	NA	darkolivegreen
Mink1	NA	darkolivegreen
Myo10	NA	darkolivegreen
Myom2	NA	darkolivegreen
Nol4l	NA	darkolivegreen
Nrg1	NA	darkolivegreen
Nrsn1	NA	darkolivegreen
Nup50	NA	darkolivegreen
Olfml3	NA	darkolivegreen
Pdgfrb	NA	darkolivegreen
Pim1	NA	darkolivegreen
Ppara	NA	darkolivegreen
Ppp1r13b	NA	darkolivegreen
Prkch	NA	darkolivegreen
Prrg2	NA	darkolivegreen
Psd2	NA	darkolivegreen
Ptpn14	NA	darkolivegreen
Rapgefl1	NA	darkolivegreen
Sema3g	NA	darkolivegreen
Sh3bp5l	NA	darkolivegreen
Shf	NA	darkolivegreen
Slc12a7	NA	darkolivegreen
Slc13a3	NA	darkolivegreen
Slc41a1	NA	darkolivegreen
Sobp	NA	darkolivegreen
Sowaha	NA	darkolivegreen
Sox13	NA	darkolivegreen
Steap3	NA	darkolivegreen
Stum	NA	darkolivegreen
Tal1	NA	darkolivegreen
Tctn3	NA	darkolivegreen
Tesc	NA	darkolivegreen
Tfap2b	NA	darkolivegreen
Tgfbr2	NA	darkolivegreen
Thbs2	NA	darkolivegreen
Thsd4	NA	darkolivegreen
Tmem200b	NA	darkolivegreen
Tnfrsf19	NA	darkolivegreen
Tnrc18	NA	darkolivegreen
Tshz1	NA	darkolivegreen
Ust	NA	darkolivegreen
Wnt4	NA	darkolivegreen
