nodeName	altName	nodeAttr[nodesPresent, ]
0610010F05Rik	NA	darkorange
Abca5	NA	darkorange
Acp1	NA	darkorange
Adipor2	NA	darkorange
Afg3l2	NA	darkorange
Arf2	NA	darkorange
Ascl1	NA	darkorange
Atic	NA	darkorange
Atp1b1	NA	darkorange
Bclaf3	NA	darkorange
Bms1	NA	darkorange
Bmt2	NA	darkorange
Bnip3l	NA	darkorange
Ccdc117	NA	darkorange
Ccnk	NA	darkorange
Cdv3	NA	darkorange
Cetn3	NA	darkorange
Chsy3	NA	darkorange
Cop1	NA	darkorange
Cox7b	NA	darkorange
Ctps	NA	darkorange
Dnajc24	NA	darkorange
Efna1	NA	darkorange
Fam57a	NA	darkorange
Fdft1	NA	darkorange
Fopnl	NA	darkorange
Gfm1	NA	darkorange
Gk	NA	darkorange
Gnl3	NA	darkorange
Gpr176	NA	darkorange
Gpsm2	NA	darkorange
Gtf3c3	NA	darkorange
Gtpbp4	NA	darkorange
Hspa9	NA	darkorange
Ift80	NA	darkorange
Ipo11	NA	darkorange
Kbtbd6	NA	darkorange
Klhl28	NA	darkorange
Larp4	NA	darkorange
Lmbrd2	NA	darkorange
Lsm1	NA	darkorange
Lztfl1	NA	darkorange
Mcm4	NA	darkorange
Med13	NA	darkorange
Mier1	NA	darkorange
Mier3	NA	darkorange
Mmachc	NA	darkorange
Mrpl33	NA	darkorange
Msantd4	NA	darkorange
Nars	NA	darkorange
Ndufaf1	NA	darkorange
Nfu1	NA	darkorange
Nipa2	NA	darkorange
Nol6	NA	darkorange
Nop14	NA	darkorange
Nsun2	NA	darkorange
Nudcd1	NA	darkorange
Nup35	NA	darkorange
Orc4	NA	darkorange
Pacc1	NA	darkorange
Pdcd10	NA	darkorange
Pdcd6	NA	darkorange
Pde1c	NA	darkorange
Pdhx	NA	darkorange
Pigw	NA	darkorange
Pnrc1	NA	darkorange
Psmd6	NA	darkorange
Psmg4	NA	darkorange
Rad17	NA	darkorange
Rhot1	NA	darkorange
Ric3	NA	darkorange
Rnf4	NA	darkorange
Rpa3	NA	darkorange
Rrm1	NA	darkorange
Rsrc1	NA	darkorange
Saal1	NA	darkorange
Sars2	NA	darkorange
Slc25a13	NA	darkorange
Slc25a14	NA	darkorange
Sox8	NA	darkorange
Ssbp1	NA	darkorange
Stk32a	NA	darkorange
Styx	NA	darkorange
Sucla2	NA	darkorange
Sugt1	NA	darkorange
Tex30	NA	darkorange
Tmem60	NA	darkorange
Tmem87a	NA	darkorange
Trappc13	NA	darkorange
Trim26	NA	darkorange
Trip4	NA	darkorange
Ubfd1	NA	darkorange
Ubxn2a	NA	darkorange
Upf2	NA	darkorange
Urm1	NA	darkorange
Wdr75	NA	darkorange
Zbed4	NA	darkorange
Zfp458	NA	darkorange
Zfp551	NA	darkorange
Zfp654	NA	darkorange
Zfp788	NA	darkorange
Zfp804a	NA	darkorange
Zfyve16	NA	darkorange
