nodeName	altName	nodeAttr[nodesPresent, ]
Abca7	NA	darkred
Abhd16a	NA	darkred
Acss1	NA	darkred
Adck2	NA	darkred
Adgrd1	NA	darkred
Aif1	NA	darkred
Amdhd2	NA	darkred
Ankzf1	NA	darkred
Aopep	NA	darkred
Apbb3	NA	darkred
Apeh	NA	darkred
Arf6	NA	darkred
Arpc1b	NA	darkred
Atpaf2	NA	darkred
Bicd2	NA	darkred
Carmil3	NA	darkred
Cavin1	NA	darkred
Ccdc137	NA	darkred
Ccdc9	NA	darkred
Commd4	NA	darkred
Crtc2	NA	darkred
Dalrd3	NA	darkred
Ddhd1	NA	darkred
Dis3l	NA	darkred
Dmwd	NA	darkred
Ehd4	NA	darkred
Fbrs	NA	darkred
Fkbp10	NA	darkred
Fkbp2	NA	darkred
Flywch2	NA	darkred
Gata2	NA	darkred
Gem	NA	darkred
Gigyf1	NA	darkred
Gng11	NA	darkred
Gpr108	NA	darkred
Gpr68	NA	darkred
Haus7	NA	darkred
Hes1	NA	darkred
Hspa12b	NA	darkred
Lfng	NA	darkred
Lmtk3	NA	darkred
Loxl1	NA	darkred
Lrfn4	NA	darkred
Ltbp3	NA	darkred
Ltbp4	NA	darkred
Mapkapk2	NA	darkred
Memo1	NA	darkred
Mettl11b	NA	darkred
Mif4gd	NA	darkred
Mknk1	NA	darkred
Mlf2	NA	darkred
Mrps17	NA	darkred
Mydgf	NA	darkred
Ndufa8	NA	darkred
Nfkbie	NA	darkred
Nos3	NA	darkred
Nr2f1	NA	darkred
Nrarp	NA	darkred
Ntsr2	NA	darkred
Nxf1	NA	darkred
Obsl1	NA	darkred
Pcif1	NA	darkred
Pdcd11	NA	darkred
Pelp1	NA	darkred
Pgrmc2	NA	darkred
Phf1	NA	darkred
Pkig	NA	darkred
Plcb3	NA	darkred
Pomgnt1	NA	darkred
Pop5	NA	darkred
Rad23a	NA	darkred
Rapgef3	NA	darkred
Rarg	NA	darkred
Rcan1	NA	darkred
Rgl2	NA	darkred
Rgs19	NA	darkred
Rimklb	NA	darkred
Rpl15	NA	darkred
Rps6kb2	NA	darkred
Sat2	NA	darkred
Scrib	NA	darkred
Selenok	NA	darkred
Selenon	NA	darkred
Selenos	NA	darkred
Sgce	NA	darkred
Shroom1	NA	darkred
Slc15a3	NA	darkred
Slc16a11	NA	darkred
Slc25a28	NA	darkred
Slco1a4	NA	darkred
Smim12	NA	darkred
Snta1	NA	darkred
Snx18	NA	darkred
Srebf1	NA	darkred
Ssh3	NA	darkred
Stra6	NA	darkred
Tent5c	NA	darkred
Tgfb1	NA	darkred
Tie1	NA	darkred
Tmem150a	NA	darkred
Trim41	NA	darkred
Triqk	NA	darkred
Ube3b	NA	darkred
Ubtd2	NA	darkred
Vamp8	NA	darkred
Vash2	NA	darkred
Zfp598	NA	darkred
Zfp692	NA	darkred
Zfp746	NA	darkred
Zxdb	NA	darkred
