nodeName	altName	nodeAttr[nodesPresent, ]
5730480H06Rik	NA	darkturquoise
Acaa1a	NA	darkturquoise
Acox3	NA	darkturquoise
Ankrd35	NA	darkturquoise
Asb8	NA	darkturquoise
Atp6v0a2	NA	darkturquoise
Atxn7l3b	NA	darkturquoise
Bcl7b	NA	darkturquoise
Brinp2	NA	darkturquoise
Btbd11	NA	darkturquoise
Calm3	NA	darkturquoise
Camkk1	NA	darkturquoise
Ccm2l	NA	darkturquoise
Chgb	NA	darkturquoise
Chmp1a	NA	darkturquoise
Ctxn1	NA	darkturquoise
Cyp2d22	NA	darkturquoise
Dedd2	NA	darkturquoise
Dph1	NA	darkturquoise
Ensa	NA	darkturquoise
Entpd2	NA	darkturquoise
Epb41l3	NA	darkturquoise
Fam163b	NA	darkturquoise
Fam20a	NA	darkturquoise
Fcgrt	NA	darkturquoise
Flot2	NA	darkturquoise
Flywch1	NA	darkturquoise
Foxred1	NA	darkturquoise
Fxyd7	NA	darkturquoise
Gas6	NA	darkturquoise
Gfm2	NA	darkturquoise
Gm20695	NA	darkturquoise
Grin2d	NA	darkturquoise
Hey2	NA	darkturquoise
Hhipl1	NA	darkturquoise
Hps4	NA	darkturquoise
Hypk	NA	darkturquoise
Inka2	NA	darkturquoise
Kcnc4	NA	darkturquoise
Kcnk1	NA	darkturquoise
Klhl26	NA	darkturquoise
L3mbtl3	NA	darkturquoise
Lhx6	NA	darkturquoise
Mapk1ip1	NA	darkturquoise
Men1	NA	darkturquoise
Mocs2	NA	darkturquoise
Mpdu1	NA	darkturquoise
Mrpl28	NA	darkturquoise
Mrpl34	NA	darkturquoise
Msrb2	NA	darkturquoise
Ndufa4l2	NA	darkturquoise
Ndufb9	NA	darkturquoise
Necab3	NA	darkturquoise
Nrg2	NA	darkturquoise
Ntf3	NA	darkturquoise
Nudt4	NA	darkturquoise
Padi2	NA	darkturquoise
Pbx2	NA	darkturquoise
Pdcl3	NA	darkturquoise
Pear1	NA	darkturquoise
Pet100	NA	darkturquoise
Pgghg	NA	darkturquoise
Pknox1	NA	darkturquoise
Plekho1	NA	darkturquoise
Pmm2	NA	darkturquoise
Ppm1f	NA	darkturquoise
Prrt1	NA	darkturquoise
Prxl2b	NA	darkturquoise
R3hcc1	NA	darkturquoise
Rab11fip3	NA	darkturquoise
Rab31	NA	darkturquoise
Rassf2	NA	darkturquoise
Rcor2	NA	darkturquoise
Rnf187	NA	darkturquoise
Rpl41	NA	darkturquoise
Rragc	NA	darkturquoise
Sarm1	NA	darkturquoise
Scd1	NA	darkturquoise
Sdhb	NA	darkturquoise
Sema4b	NA	darkturquoise
Sgpp2	NA	darkturquoise
Ski	NA	darkturquoise
Slc30a3	NA	darkturquoise
Slc36a4	NA	darkturquoise
Slc38a3	NA	darkturquoise
Slc39a7	NA	darkturquoise
Slc9a3r2	NA	darkturquoise
Srrm3	NA	darkturquoise
Sult4a1	NA	darkturquoise
Tacr1	NA	darkturquoise
Tef	NA	darkturquoise
Tlnrd1	NA	darkturquoise
Tmc5	NA	darkturquoise
Tmem127	NA	darkturquoise
Tmem59l	NA	darkturquoise
Tmod3	NA	darkturquoise
Tshz2	NA	darkturquoise
Ubxn6	NA	darkturquoise
Ulk2	NA	darkturquoise
Vps37b	NA	darkturquoise
Zbtb12	NA	darkturquoise
Zc3hc1	NA	darkturquoise
Zfp251	NA	darkturquoise
Zfp605	NA	darkturquoise
Zfp639	NA	darkturquoise
