nodeName	altName	nodeAttr[nodesPresent, ]
1700025G04Rik	NA	green
2310022A10Rik	NA	green
2610507B11Rik	NA	green
Abca8b	NA	green
Abcb1a	NA	green
Abcc1	NA	green
Acta1	NA	green
Acta2	NA	green
Adarb1	NA	green
Adgra2	NA	green
Adgrf5	NA	green
Adgrl1	NA	green
Adprhl2	NA	green
Agap2	NA	green
Agpat3	NA	green
Agrn	NA	green
Ahnak	NA	green
Ajm1	NA	green
Ak1	NA	green
Alkal2	NA	green
Alkbh6	NA	green
Alox5	NA	green
Als2	NA	green
Ankrd11	NA	green
Ankrd27	NA	green
Ankrd29	NA	green
Ankrd34a	NA	green
Ap3b2	NA	green
Apba1	NA	green
Apc	NA	green
Arhgap44	NA	green
Arhgef11	NA	green
Arhgef17	NA	green
Arhgef4	NA	green
Arl4c	NA	green
Arrb1	NA	green
Asic1	NA	green
Atp1a2	NA	green
Atp6v0e2	NA	green
Atxn1	NA	green
B4galt3	NA	green
Baalc	NA	green
Babam1	NA	green
Bag6	NA	green
Baiap2l2	NA	green
Bap1	NA	green
Baz1b	NA	green
Baz2a	NA	green
Bcdin3d	NA	green
Bcl10	NA	green
Bdh1	NA	green
Bhlhe40	NA	green
Bicdl1	NA	green
Boc	NA	green
Brap	NA	green
Brpf3	NA	green
Brsk2	NA	green
Btk	NA	green
C87436	NA	green
Cacna1d	NA	green
Cacna1h	NA	green
Cacna1i	NA	green
Cacnb3	NA	green
Cacng2	NA	green
Calcoco1	NA	green
Calm1	NA	green
Camk2a	NA	green
Camkk2	NA	green
Capn10	NA	green
Capn12	NA	green
Car10	NA	green
Car7	NA	green
Carm1	NA	green
Casp9	NA	green
Ccdc93	NA	green
Ccdc97	NA	green
Ccna1	NA	green
Cd248	NA	green
Cdc42bpb	NA	green
Cdh24	NA	green
Cdk5r1	NA	green
Cdk9	NA	green
Cdkn2aipnl	NA	green
Celf3	NA	green
Celf5	NA	green
Celsr3	NA	green
Cemip	NA	green
Cep170b	NA	green
Cep85	NA	green
Cerk	NA	green
Chst11	NA	green
Cic	NA	green
Cit	NA	green
Ckap4	NA	green
Clec2l	NA	green
Cmtm4	NA	green
Cnnm1	NA	green
Cntn3	NA	green
Col4a2	NA	green
Colgalt1	NA	green
Coq10a	NA	green
Coro7	NA	green
Cplane1	NA	green
Cplx2	NA	green
Cpt1c	NA	green
Crat	NA	green
Crtc1	NA	green
Cry2	NA	green
Ctnna2	NA	green
Ctnnd2	NA	green
Cux2	NA	green
Cx3cr1	NA	green
Cxcl12	NA	green
Cysrt1	NA	green
Dab2ip	NA	green
Ddi2	NA	green
Ddx31	NA	green
Dgkh	NA	green
Dhx35	NA	green
Dido1	NA	green
Diras1	NA	green
Diras2	NA	green
Dlg2	NA	green
Dlg4	NA	green
Dpp9	NA	green
Dusp6	NA	green
Dusp7	NA	green
Dusp8	NA	green
Dzip1	NA	green
E130309D02Rik	NA	green
Echdc2	NA	green
Efcab6	NA	green
Efna3	NA	green
Egflam	NA	green
Egfr	NA	green
Egr3	NA	green
Eif4ebp1	NA	green
Epb41l1	NA	green
Epha10	NA	green
Ephb4	NA	green
Eps8	NA	green
Ercc3	NA	green
Erg	NA	green
Ergic1	NA	green
Extl1	NA	green
Extl3	NA	green
Fam131a	NA	green
Fam13a	NA	green
Fam155a	NA	green
Fam161b	NA	green
Fam163a	NA	green
Farp1	NA	green
Fbxl14	NA	green
Fbxl16	NA	green
Fbxl18	NA	green
Fbxo41	NA	green
Fcho1	NA	green
Fes	NA	green
Fgd1	NA	green
Fgf13	NA	green
Flnb	NA	green
Flt1	NA	green
Fmn2	NA	green
Fmnl3	NA	green
Fn1	NA	green
Fndc7	NA	green
Fosl2	NA	green
Foxg1	NA	green
Foxk1	NA	green
Frem2	NA	green
Frmd4a	NA	green
