nodeName	altName	nodeAttr[nodesPresent, ]
Aaas	NA	greenyellow
Abcb6	NA	greenyellow
Abhd5	NA	greenyellow
Acbd3	NA	greenyellow
Acin1	NA	greenyellow
Akap12	NA	greenyellow
Ankrd36	NA	greenyellow
Ap3s1	NA	greenyellow
Ap5m1	NA	greenyellow
Apoe	NA	greenyellow
Arglu1	NA	greenyellow
Arhgef1	NA	greenyellow
Arhgef40	NA	greenyellow
Arrdc1	NA	greenyellow
Atad3a	NA	greenyellow
Atp10a	NA	greenyellow
Atxn2l	NA	greenyellow
Atxn7l2	NA	greenyellow
Bag1	NA	greenyellow
Baz1a	NA	greenyellow
Bcam	NA	greenyellow
Cald1	NA	greenyellow
Caprin2	NA	greenyellow
Ccdc136	NA	greenyellow
Ccdc159	NA	greenyellow
Ccdc28b	NA	greenyellow
Ccdc61	NA	greenyellow
Ccdc73	NA	greenyellow
Ccnl2	NA	greenyellow
Clk2	NA	greenyellow
Clk4	NA	greenyellow
Cnot3	NA	greenyellow
Col27a1	NA	greenyellow
Col5a1	NA	greenyellow
Cyb561d1	NA	greenyellow
Cyb5d2	NA	greenyellow
Dars2	NA	greenyellow
Denr	NA	greenyellow
Des	NA	greenyellow
Dgkq	NA	greenyellow
E2f4	NA	greenyellow
Eno3	NA	greenyellow
Esr2	NA	greenyellow
Fanci	NA	greenyellow
Fap	NA	greenyellow
Fbn1	NA	greenyellow
Fech	NA	greenyellow
Fzd8	NA	greenyellow
Gm10226	NA	greenyellow
Gnpda2	NA	greenyellow
Gpt	NA	greenyellow
Hcn3	NA	greenyellow
Hddc2	NA	greenyellow
Heatr1	NA	greenyellow
Hes5	NA	greenyellow
Hpf1	NA	greenyellow
Hsbp1	NA	greenyellow
Hyal1	NA	greenyellow
Ift172	NA	greenyellow
Ift43	NA	greenyellow
Ing2	NA	greenyellow
Iqgap1	NA	greenyellow
Irf5	NA	greenyellow
Kmt2b	NA	greenyellow
Kmt5c	NA	greenyellow
Leng8	NA	greenyellow
Lss	NA	greenyellow
Macroh2a1	NA	greenyellow
Magee2	NA	greenyellow
Mat2a	NA	greenyellow
Mbd6	NA	greenyellow
Mbtps1	NA	greenyellow
Mex3d	NA	greenyellow
Mks1	NA	greenyellow
Mogs	NA	greenyellow
Mrpl20	NA	greenyellow
Msantd2	NA	greenyellow
Msi2	NA	greenyellow
Mtrf1l	NA	greenyellow
Myof	NA	greenyellow
Nle1	NA	greenyellow
Noc2l	NA	greenyellow
Notum	NA	greenyellow
Npat	NA	greenyellow
Npr2	NA	greenyellow
Nr2c1	NA	greenyellow
Nsmce2	NA	greenyellow
Ntmt1	NA	greenyellow
Nudt10	NA	greenyellow
Ovol2	NA	greenyellow
Pan2	NA	greenyellow
Pask	NA	greenyellow
Pced1a	NA	greenyellow
Pcmtd1	NA	greenyellow
Pex12	NA	greenyellow
Phf10	NA	greenyellow
Phkb	NA	greenyellow
Pkp1	NA	greenyellow
Plxnb2	NA	greenyellow
Pmpca	NA	greenyellow
Pnisr	NA	greenyellow
Polr1d	NA	greenyellow
Pomt1	NA	greenyellow
Ppp6r1	NA	greenyellow
Pptc7	NA	greenyellow
Prpf39	NA	greenyellow
Prpf40b	NA	greenyellow
Prrx1	NA	greenyellow
Psme1	NA	greenyellow
Pstk	NA	greenyellow
Rab13	NA	greenyellow
Ring1	NA	greenyellow
Rmdn3	NA	greenyellow
Rnft1	NA	greenyellow
Rnpep	NA	greenyellow
Rpp40	NA	greenyellow
Rsrp1	NA	greenyellow
Rtel1	NA	greenyellow
Sall2	NA	greenyellow
Samd1	NA	greenyellow
Selenoo	NA	greenyellow
Septin10	NA	greenyellow
Slc12a9	NA	greenyellow
Slc16a3	NA	greenyellow
Slc20a1	NA	greenyellow
Slc52a3	NA	greenyellow
Slc7a4	NA	greenyellow
Sltm	NA	greenyellow
Snrnp70	NA	greenyellow
Srsf11	NA	greenyellow
Syf2	NA	greenyellow
Tbc1d19	NA	greenyellow
Tbce	NA	greenyellow
Tfrc	NA	greenyellow
Timm44	NA	greenyellow
Tle2	NA	greenyellow
Tmem145	NA	greenyellow
Tmem161a	NA	greenyellow
Tmem63b	NA	greenyellow
Tmie	NA	greenyellow
Tmub2	NA	greenyellow
Tra2a	NA	greenyellow
Trim47	NA	greenyellow
Ttc5	NA	greenyellow
Ttf1	NA	greenyellow
Tubgcp4	NA	greenyellow
Tyr	NA	greenyellow
Uxs1	NA	greenyellow
Vegfa	NA	greenyellow
Vps33b	NA	greenyellow
Vwa5b2	NA	greenyellow
Wnk4	NA	greenyellow
Wsb1	NA	greenyellow
Ybx2	NA	greenyellow
Zfand2b	NA	greenyellow
Zfc3h1	NA	greenyellow
Zfp36l1	NA	greenyellow
Zfp36l2	NA	greenyellow
Zfp503	NA	greenyellow
Zmat2	NA	greenyellow
