nodeName	altName	nodeAttr[nodesPresent, ]
0610030E20Rik	NA	grey
0610040J01Rik	NA	grey
1110012L19Rik	NA	grey
1110032F04Rik	NA	grey
1110038F14Rik	NA	grey
1600012H06Rik	NA	grey
1700003E16Rik	NA	grey
1700022I11Rik	NA	grey
1700029I15Rik	NA	grey
1700037H04Rik	NA	grey
1700066M21Rik	NA	grey
1700123O20Rik	NA	grey
1810010H24Rik	NA	grey
1810013L24Rik	NA	grey
1810049J17Rik	NA	grey
1810058I24Rik	NA	grey
2010300C02Rik	NA	grey
2210408I21Rik	NA	grey
2300009A05Rik	NA	grey
2310022B05Rik	NA	grey
2310033P09Rik	NA	grey
2310061I04Rik	NA	grey
2410004B18Rik	NA	grey
2410131K14Rik	NA	grey
2610008E11Rik	NA	grey
2610021A01Rik	NA	grey
2610301B20Rik	NA	grey
2700081O15Rik	NA	grey
2700097O09Rik	NA	grey
2900026A02Rik	NA	grey
3110040N11Rik	NA	grey
4430402I18Rik	NA	grey
4833439L19Rik	NA	grey
4921524J17Rik	NA	grey
4930402H24Rik	NA	grey
4930430F08Rik	NA	grey
4930452B06Rik	NA	grey
4930563E22Rik	NA	grey
4930590J08Rik	NA	grey
4931406P16Rik	NA	grey
4931428F04Rik	NA	grey
4933428G20Rik	NA	grey
5430403G16Rik	NA	grey
5730455P16Rik	NA	grey
8030462N17Rik	NA	grey
9330159F19Rik	NA	grey
9530068E07Rik	NA	grey
9530077C05Rik	NA	grey
a	NA	grey
A930033H14Rik	NA	grey
Aamdc	NA	grey
Aar2	NA	grey
Aars	NA	grey
Aasdhppt	NA	grey
Aass	NA	grey
Aatf	NA	grey
Abat	NA	grey
Abca1	NA	grey
Abcb10	NA	grey
Abcb4	NA	grey
Abcb8	NA	grey
Abcc10	NA	grey
Abcc3	NA	grey
Abcc4	NA	grey
Abcc8	NA	grey
Abcc9	NA	grey
Abcf3	NA	grey
Abcg2	NA	grey
Abhd12	NA	grey
Abhd15	NA	grey
Abi3	NA	grey
Abl1	NA	grey
Ablim3	NA	grey
Abraxas2	NA	grey
Abtb1	NA	grey
Acaa2	NA	grey
Acacb	NA	grey
Acad10	NA	grey
Acad8	NA	grey
Acad9	NA	grey
Acadsb	NA	grey
Acan	NA	grey
Acat1	NA	grey
Acat2	NA	grey
Acbd6	NA	grey
Acd	NA	grey
Ace	NA	grey
Acer2	NA	grey
Ache	NA	grey
Ackr3	NA	grey
Acly	NA	grey
Aco1	NA	grey
Acot10	NA	grey
Acot2	NA	grey
Acot8	NA	grey
Acot9	NA	grey
Acox1	NA	grey
Acp2	NA	grey
Acsl4	NA	grey
Acsl5	NA	grey
Acss2	NA	grey
Acss3	NA	grey
Actl6b	NA	grey
Actn2	NA	grey
Actr2	NA	grey
Actr3	NA	grey
Actr5	NA	grey
Acvr1	NA	grey
Acyp1	NA	grey
Acyp2	NA	grey
Adad1	NA	grey
Adam11	NA	grey
Adam12	NA	grey
Adam15	NA	grey
Adam19	NA	grey
Adam9	NA	grey
Adamts1	NA	grey
Adamts10	NA	grey
Adamts15	NA	grey
Adamts2	NA	grey
Adamts3	NA	grey
Adamts8	NA	grey
Adamts9	NA	grey
Adamtsl1	NA	grey
Adamtsl2	NA	grey
Adamtsl3	NA	grey
Adap2	NA	grey
Adarb2	NA	grey
Adck1	NA	grey
Adck5	NA	grey
Adcy3	NA	grey
Adcy5	NA	grey
Adcy6	NA	grey
Adcyap1	NA	grey
Adcyap1r1	NA	grey
Add3	NA	grey
Adgra3	NA	grey
Adgre1	NA	grey
Adgrl2	NA	grey
Adgrl3	NA	grey
Adh5	NA	grey
Adi1	NA	grey
Adk	NA	grey
Ado	NA	grey
Adora1	NA	grey
Adpgk	NA	grey
Adprh	NA	grey
Adprm	NA	grey
Adra1b	NA	grey
Aebp1	NA	grey
Aebp2	NA	grey
Afap1l2	NA	grey
Aff3	NA	grey
Agbl3	NA	grey
Agbl4	NA	grey
Agbl5	NA	grey
Agfg1	NA	grey
Agfg2	NA	grey
Agk	NA	grey
Agl	NA	grey
Ago2	NA	grey
Agpat5	NA	grey
Agrp	NA	grey
Agt	NA	grey
Agtpbp1	NA	grey
Agtrap	NA	grey
Ahcy	NA	grey
Ahcyl1	NA	grey
Ahcyl2	NA	grey
Ahdc1	NA	grey
Ahr	NA	grey
Ahsa2	NA	grey
AI413582	NA	grey
AI597479	NA	grey
AI854703	NA	grey
Aida	NA	grey
Aifm3	NA	grey
Aig1	NA	grey
Ajap1	NA	grey
Ajuba	NA	grey
AK157302	NA	grey
Ak3	NA	grey
Ak4	NA	grey
Ak5	NA	grey
Akap1	NA	grey
Akap13	NA	grey
Akap8	NA	grey
Akap8l	NA	grey
Akirin1	NA	grey
Akna	NA	grey
Akr1b10	NA	grey
Akr1e1	NA	grey
Akt3	NA	grey
Aktip	NA	grey
Alas1	NA	grey
Alcam	NA	grey
Aldh16a1	NA	grey
Aldh18a1	NA	grey
Aldh1a1	NA	grey
Aldh1a7	NA	grey
Aldh1b1	NA	grey
Aldh3b1	NA	grey
Aldh3b3	NA	grey
Aldh5a1	NA	grey
Aldh6a1	NA	grey
Aldoa	NA	grey
Alg1	NA	grey
Alg10b	NA	grey
Alg11	NA	grey
Alg12	NA	grey
Alg3	NA	grey
Alg5	NA	grey
Alg6	NA	grey
Alg8	NA	grey
Alk	NA	grey
Alkbh1	NA	grey
Alkbh5	NA	grey
Alkbh8	NA	grey
