nodeName	altName	nodeAttr[nodesPresent, ]
5330417C22Rik	NA	grey60
Adar	NA	grey60
Adssl1	NA	grey60
Akap9	NA	grey60
Amotl1	NA	grey60
Ap1g1	NA	grey60
Apba2	NA	grey60
Arel1	NA	grey60
Atp2b4	NA	grey60
Bbs1	NA	grey60
Brd3	NA	grey60
C1ql3	NA	grey60
C530008M17Rik	NA	grey60
Camk2b	NA	grey60
Ccar2	NA	grey60
Cdhr1	NA	grey60
Cdyl2	NA	grey60
Clmn	NA	grey60
Cntn5	NA	grey60
Comt	NA	grey60
Crim1	NA	grey60
Crkl	NA	grey60
Csrnp3	NA	grey60
Dapk1	NA	grey60
Dcbld2	NA	grey60
Dctn4	NA	grey60
Dlg3	NA	grey60
Dmtf1	NA	grey60
Dnajc5	NA	grey60
Dnajc6	NA	grey60
Dpysl3	NA	grey60
Elavl4	NA	grey60
Exoc6b	NA	grey60
Fbxw11	NA	grey60
Fhl2	NA	grey60
Fry	NA	grey60
Fryl	NA	grey60
Galnt17	NA	grey60
Gm19410	NA	grey60
Gnao1	NA	grey60
Grm1	NA	grey60
Grm8	NA	grey60
Gtf2h2	NA	grey60
Hdlbp	NA	grey60
Heatr6	NA	grey60
Htr2c	NA	grey60
Kcna6	NA	grey60
Kcnj6	NA	grey60
Kidins220	NA	grey60
Kif3b	NA	grey60
L1cam	NA	grey60
Lats1	NA	grey60
Manea	NA	grey60
Mapk8	NA	grey60
Mcph1	NA	grey60
Med23	NA	grey60
Mgat4a	NA	grey60
Mmp16	NA	grey60
Ncam1	NA	grey60
Ncoa1	NA	grey60
Nfasc	NA	grey60
Nfatc3	NA	grey60
Nlgn3	NA	grey60
Npr3	NA	grey60
Nr4a2	NA	grey60
Nrp2	NA	grey60
Nt5c1a	NA	grey60
Numa1	NA	grey60
Otud1	NA	grey60
Parm1	NA	grey60
Pcdh11x	NA	grey60
Pcdh17	NA	grey60
Pgm2l1	NA	grey60
Pla2g4e	NA	grey60
Plch1	NA	grey60
Plk2	NA	grey60
Pom121	NA	grey60
Ppfia2	NA	grey60
Ppm1e	NA	grey60
Prkacb	NA	grey60
Ptdss1	NA	grey60
Ptger3	NA	grey60
Ptprn2	NA	grey60
Pum1	NA	grey60
Rbm27	NA	grey60
Rbms3	NA	grey60
Rcan3	NA	grey60
Runx2	NA	grey60
Sel1l	NA	grey60
Sesn3	NA	grey60
Sgpp1	NA	grey60
Slit1	NA	grey60
Slit3	NA	grey60
Snrnp200	NA	grey60
Soga3	NA	grey60
Spata2	NA	grey60
Spock2	NA	grey60
Srr	NA	grey60
Stxbp5	NA	grey60
Syp	NA	grey60
Syt17	NA	grey60
Tasor2	NA	grey60
Tceal6	NA	grey60
Tenm3	NA	grey60
Thsd7a	NA	grey60
Tmcc1	NA	grey60
Tmem131l	NA	grey60
Traf3ip1	NA	grey60
Trim44	NA	grey60
Trpc5	NA	grey60
Tubd1	NA	grey60
Uap1	NA	grey60
Ube4b	NA	grey60
Unc5c	NA	grey60
Usp15	NA	grey60
Usp22	NA	grey60
Usp46	NA	grey60
Usp6nl	NA	grey60
Vav2	NA	grey60
Wdr47	NA	grey60
Wdr82	NA	grey60
Zc3h13	NA	grey60
Zc3h4	NA	grey60
Zfp41	NA	grey60
Zfp532	NA	grey60
Zhx3	NA	grey60
Zmat3	NA	grey60
Zscan25	NA	grey60
