nodeName	altName	nodeAttr[nodesPresent, ]
1500009C09Rik	NA	lightcyan
1700019D03Rik	NA	lightcyan
Abcb1b	NA	lightcyan
Abhd14a	NA	lightcyan
Acad11	NA	lightcyan
Acsf2	NA	lightcyan
Adamts20	NA	lightcyan
Adhfe1	NA	lightcyan
Aldh2	NA	lightcyan
Alg2	NA	lightcyan
Als2cl	NA	lightcyan
Apln	NA	lightcyan
Aqp11	NA	lightcyan
Arhgap11a	NA	lightcyan
Armc6	NA	lightcyan
Atp5e	NA	lightcyan
Atp5k	NA	lightcyan
B4galt7	NA	lightcyan
Cap2	NA	lightcyan
Capn2	NA	lightcyan
Card9	NA	lightcyan
Ccdc106	NA	lightcyan
Ccdc88b	NA	lightcyan
Ccdc92b	NA	lightcyan
Cenpv	NA	lightcyan
Clpp	NA	lightcyan
Clybl	NA	lightcyan
Cmss1	NA	lightcyan
Cnih4	NA	lightcyan
Cox7a2	NA	lightcyan
Ctc1	NA	lightcyan
Cyp4f14	NA	lightcyan
Dcp1b	NA	lightcyan
Dipk1b	NA	lightcyan
Dmrta2	NA	lightcyan
Dnaja4	NA	lightcyan
Dnajb13	NA	lightcyan
Dock8	NA	lightcyan
Eid2	NA	lightcyan
Elavl3	NA	lightcyan
Eps8l2	NA	lightcyan
Fam149b	NA	lightcyan
Fam241b	NA	lightcyan
Fyn	NA	lightcyan
Gid4	NA	lightcyan
Gldc	NA	lightcyan
Gm50461	NA	lightcyan
Gstm1	NA	lightcyan
Gstz1	NA	lightcyan
Hacd2	NA	lightcyan
Hdac6	NA	lightcyan
Hmox1	NA	lightcyan
Igfbp3	NA	lightcyan
Ing1	NA	lightcyan
Isoc2b	NA	lightcyan
Klf5	NA	lightcyan
Klhl2	NA	lightcyan
Lars2	NA	lightcyan
Leprotl1	NA	lightcyan
Lmo1	NA	lightcyan
Metrn	NA	lightcyan
Mllt1	NA	lightcyan
Mmp15	NA	lightcyan
Mpeg1	NA	lightcyan
Mrpl24	NA	lightcyan
Mrpl46	NA	lightcyan
Mrpl48	NA	lightcyan
Mt3	NA	lightcyan
Mtfr1l	NA	lightcyan
Mthfd1	NA	lightcyan
Neu1	NA	lightcyan
Nfatc1	NA	lightcyan
Nfil3	NA	lightcyan
Nif3l1	NA	lightcyan
Nifk	NA	lightcyan
Nkain4	NA	lightcyan
Nol3	NA	lightcyan
Nsg1	NA	lightcyan
Nudt22	NA	lightcyan
Nup43	NA	lightcyan
Pcyox1l	NA	lightcyan
Pfdn6	NA	lightcyan
Pigs	NA	lightcyan
Ppp1r21	NA	lightcyan
Psmd5	NA	lightcyan
Ptcd1	NA	lightcyan
Rab27a	NA	lightcyan
Raet1e	NA	lightcyan
Ralb	NA	lightcyan
Rangrf	NA	lightcyan
Recql	NA	lightcyan
Rexo2	NA	lightcyan
Rimbp3	NA	lightcyan
Rnf40	NA	lightcyan
Rpl35a	NA	lightcyan
Rps3a1	NA	lightcyan
Scarf2	NA	lightcyan
Sfrp4	NA	lightcyan
Sgms1	NA	lightcyan
Slc25a34	NA	lightcyan
Slc8a2	NA	lightcyan
Snapin	NA	lightcyan
Sncb	NA	lightcyan
Snrnp25	NA	lightcyan
Spef1	NA	lightcyan
Spop	NA	lightcyan
St3gal3	NA	lightcyan
Suclg2	NA	lightcyan
Svbp	NA	lightcyan
Szrd1	NA	lightcyan
Tafa1	NA	lightcyan
Tank	NA	lightcyan
Tatdn2	NA	lightcyan
Tcp11	NA	lightcyan
Tmem109	NA	lightcyan
Tmem218	NA	lightcyan
Tmem39b	NA	lightcyan
Tomm40l	NA	lightcyan
Traf4	NA	lightcyan
Trip6	NA	lightcyan
Trp53inp2	NA	lightcyan
Tspan33	NA	lightcyan
U2af2	NA	lightcyan
Uqcc2	NA	lightcyan
Vhl	NA	lightcyan
Vkorc1	NA	lightcyan
Wdr18	NA	lightcyan
Wdr25	NA	lightcyan
Zdhhc1	NA	lightcyan
Zdhhc14	NA	lightcyan
Zer1	NA	lightcyan
Zfp142	NA	lightcyan
Zfp182	NA	lightcyan
Zfp64	NA	lightcyan
Zfp691	NA	lightcyan
Zfp768	NA	lightcyan
Zfp777	NA	lightcyan
