nodeName	altName	nodeAttr[nodesPresent, ]
Abcc5	NA	lightgreen
Ago1	NA	lightgreen
Aim2	NA	lightgreen
Ankrd12	NA	lightgreen
Ankrd52	NA	lightgreen
Anks6	NA	lightgreen
Ar	NA	lightgreen
Bcl11a	NA	lightgreen
Bend6	NA	lightgreen
Bfar	NA	lightgreen
Bmper	NA	lightgreen
Bnip1	NA	lightgreen
Cacfd1	NA	lightgreen
Cacna1a	NA	lightgreen
Cacnb2	NA	lightgreen
Cad	NA	lightgreen
Camta1	NA	lightgreen
Capn5	NA	lightgreen
Cdk12	NA	lightgreen
Cipc	NA	lightgreen
Clstn1	NA	lightgreen
Crh	NA	lightgreen
Ctif	NA	lightgreen
Ddx23	NA	lightgreen
Dkk3	NA	lightgreen
Dnajc27	NA	lightgreen
Dnmbp	NA	lightgreen
Dyrk2	NA	lightgreen
Epha6	NA	lightgreen
Ets2	NA	lightgreen
Fam71e1	NA	lightgreen
Fdx1	NA	lightgreen
Fkbp5	NA	lightgreen
Frmd3	NA	lightgreen
Gabra1	NA	lightgreen
Galntl6	NA	lightgreen
Gan	NA	lightgreen
Gna15	NA	lightgreen
Grik3	NA	lightgreen
Hlf	NA	lightgreen
Ints1	NA	lightgreen
Kcnd2	NA	lightgreen
Kcnj3	NA	lightgreen
Kcnj9	NA	lightgreen
Kcnk3	NA	lightgreen
Kcns2	NA	lightgreen
Kctd3	NA	lightgreen
Klhl18	NA	lightgreen
Klhl8	NA	lightgreen
Krt222	NA	lightgreen
Lancl1	NA	lightgreen
Lhfpl4	NA	lightgreen
Lnpk	NA	lightgreen
Lrrc4	NA	lightgreen
Lrrc59	NA	lightgreen
Lrrc75a	NA	lightgreen
Map6	NA	lightgreen
Mfsd12	NA	lightgreen
Mllt10	NA	lightgreen
Mlst8	NA	lightgreen
Mtfp1	NA	lightgreen
Ngef	NA	lightgreen
Noc3l	NA	lightgreen
Nr4a1	NA	lightgreen
Onecut2	NA	lightgreen
Osbpl3	NA	lightgreen
Pappa2	NA	lightgreen
Pbx1	NA	lightgreen
Pcgf3	NA	lightgreen
Pcsk2	NA	lightgreen
Pdia5	NA	lightgreen
Pex5l	NA	lightgreen
Phrf1	NA	lightgreen
Ppcdc	NA	lightgreen
Prdm15	NA	lightgreen
Prr36	NA	lightgreen
Ptchd1	NA	lightgreen
Rap2a	NA	lightgreen
Raph1	NA	lightgreen
Rgs8	NA	lightgreen
Rmnd5a	NA	lightgreen
Rnf152	NA	lightgreen
Runx1t1	NA	lightgreen
Sec24b	NA	lightgreen
Sem1	NA	lightgreen
Septin6	NA	lightgreen
Sidt1	NA	lightgreen
Slc16a13	NA	lightgreen
Slc17a7	NA	lightgreen
Slc30a4	NA	lightgreen
Slc37a1	NA	lightgreen
Slc38a6	NA	lightgreen
Sntb1	NA	lightgreen
Spindoc	NA	lightgreen
St6gal2	NA	lightgreen
Stat2	NA	lightgreen
Tarsl2	NA	lightgreen
Tenm2	NA	lightgreen
Tmc7	NA	lightgreen
Tmem63c	NA	lightgreen
Tmem65	NA	lightgreen
Tom1	NA	lightgreen
Trim3	NA	lightgreen
Trmt1l	NA	lightgreen
Tshz3	NA	lightgreen
Ttc22	NA	lightgreen
Tubgcp6	NA	lightgreen
Usf3	NA	lightgreen
Vipr2	NA	lightgreen
Vps37a	NA	lightgreen
Ywhah	NA	lightgreen
Zdhhc21	NA	lightgreen
Zfp184	NA	lightgreen
Zfp704	NA	lightgreen
