nodeName	altName	nodeAttr[nodesPresent, ]
Akt1s1	NA	lightyellow
Alad	NA	lightyellow
Aldoart1	NA	lightyellow
Alkbh7	NA	lightyellow
Anapc11	NA	lightyellow
Ankrd24	NA	lightyellow
Aprt	NA	lightyellow
Arhgap17	NA	lightyellow
Asl	NA	lightyellow
Atp5j	NA	lightyellow
Banf1	NA	lightyellow
BC029722	NA	lightyellow
Camkmt	NA	lightyellow
Ccdc22	NA	lightyellow
Cdc37	NA	lightyellow
Cebpb	NA	lightyellow
Chst7	NA	lightyellow
Clpx	NA	lightyellow
Cox6a1	NA	lightyellow
Cpt2	NA	lightyellow
Crym	NA	lightyellow
Cutc	NA	lightyellow
Cyth2	NA	lightyellow
Dph5	NA	lightyellow
Dph7	NA	lightyellow
Dtymk	NA	lightyellow
Dynlrb1	NA	lightyellow
Eif2b2	NA	lightyellow
Eif3i	NA	lightyellow
Eif4e2	NA	lightyellow
Elf2	NA	lightyellow
Ercc1	NA	lightyellow
Erh	NA	lightyellow
Erlin2	NA	lightyellow
Fundc1	NA	lightyellow
Glrx5	NA	lightyellow
Gm10320	NA	lightyellow
Gm12166	NA	lightyellow
Gm3550	NA	lightyellow
Gm9803	NA	lightyellow
Gps1	NA	lightyellow
Gtf2f1	NA	lightyellow
H2-Ke6	NA	lightyellow
Higd2a	NA	lightyellow
Htr3a	NA	lightyellow
Inpp5a	NA	lightyellow
Lamtor5	NA	lightyellow
Ldha	NA	lightyellow
Lrrc41	NA	lightyellow
Lrrn2	NA	lightyellow
Lsm10	NA	lightyellow
Lysmd2	NA	lightyellow
Mapk3	NA	lightyellow
Mgmt	NA	lightyellow
Mrpl13	NA	lightyellow
Mrpl21	NA	lightyellow
Mthfd1l	NA	lightyellow
Ncaph2	NA	lightyellow
Ndufaf2	NA	lightyellow
Nod1	NA	lightyellow
Nt5c	NA	lightyellow
P4htm	NA	lightyellow
Pam16	NA	lightyellow
Pepd	NA	lightyellow
Pgap2	NA	lightyellow
Pgm2	NA	lightyellow
Phb2	NA	lightyellow
Phgdh	NA	lightyellow
Plppr3	NA	lightyellow
Podxl2	NA	lightyellow
Polr2j	NA	lightyellow
Polr2m	NA	lightyellow
Ppp1r1b	NA	lightyellow
Prdx4	NA	lightyellow
Preb	NA	lightyellow
Prph	NA	lightyellow
Ptpra	NA	lightyellow
Rbck1	NA	lightyellow
Rftn2	NA	lightyellow
Rfx1	NA	lightyellow
Rpl31	NA	lightyellow
Rps14	NA	lightyellow
Serp2	NA	lightyellow
Shisa4	NA	lightyellow
Sirt3	NA	lightyellow
Slc25a11	NA	lightyellow
Slc25a35	NA	lightyellow
Slc35f2	NA	lightyellow
Snrpd2	NA	lightyellow
Spryd3	NA	lightyellow
Srm	NA	lightyellow
Srp68	NA	lightyellow
St6galnac4	NA	lightyellow
Stimate	NA	lightyellow
Stk11	NA	lightyellow
Tbc1d10b	NA	lightyellow
Tcf15	NA	lightyellow
Tex264	NA	lightyellow
Tfpt	NA	lightyellow
Toe1	NA	lightyellow
Tomm40	NA	lightyellow
Tox4	NA	lightyellow
Triobp	NA	lightyellow
Uba5	NA	lightyellow
Ubac1	NA	lightyellow
Ubald1	NA	lightyellow
Ubald2	NA	lightyellow
Ubl5	NA	lightyellow
Ufc1	NA	lightyellow
Vps37d	NA	lightyellow
Wdtc1	NA	lightyellow
Zfp341	NA	lightyellow
Zfp367	NA	lightyellow
