nodeName	altName	nodeAttr[nodesPresent, ]
Abhd6	NA	magenta
Ablim2	NA	magenta
Acap3	NA	magenta
Adamts17	NA	magenta
Adgra1	NA	magenta
Afap1l1	NA	magenta
Agap1	NA	magenta
Aldoart2	NA	magenta
Amigo1	NA	magenta
Ankrd6	NA	magenta
Anxa11	NA	magenta
Ap1b1	NA	magenta
Apcdd1	NA	magenta
Arhgap9	NA	magenta
Asb13	NA	magenta
Atp2a3	NA	magenta
Atp9a	NA	magenta
Atxn7l1	NA	magenta
B4galt5	NA	magenta
Bcl9	NA	magenta
Bicra	NA	magenta
Bicral	NA	magenta
Cbfa2t2	NA	magenta
Ccdc115	NA	magenta
Chpf	NA	magenta
Chrm4	NA	magenta
Clip4	NA	magenta
Cnn2	NA	magenta
Cobl	NA	magenta
Coro2a	NA	magenta
Cox7c	NA	magenta
Crebbp	NA	magenta
Cs	NA	magenta
Csl	NA	magenta
Cttnbp2nl	NA	magenta
Cux1	NA	magenta
Cxxc5	NA	magenta
Dagla	NA	magenta
Daglb	NA	magenta
Dcaf5	NA	magenta
Dctn1	NA	magenta
Dimt1	NA	magenta
Dlst	NA	magenta
Dnmt3a	NA	magenta
Dok7	NA	magenta
Dop1b	NA	magenta
Dpf1	NA	magenta
Dtx1	NA	magenta
Dtx4	NA	magenta
Dusp14	NA	magenta
Dusp4	NA	magenta
Dyrk1b	NA	magenta
Elac1	NA	magenta
Elk3	NA	magenta
Elmod2	NA	magenta
Epha4	NA	magenta
Ephb2	NA	magenta
Faah	NA	magenta
Fam20b	NA	magenta
Fam222b	NA	magenta
Fbf1	NA	magenta
Fgd6	NA	magenta
Fnip2	NA	magenta
Foxp4	NA	magenta
Frrs1l	NA	magenta
Gabrr3	NA	magenta
Gfod2	NA	magenta
Gnaz	NA	magenta
Gpatch2l	NA	magenta
Gpd1l	NA	magenta
Gpr88	NA	magenta
Grk3	NA	magenta
Gsg1l	NA	magenta
Gstm7	NA	magenta
Hip1	NA	magenta
Hs6st1	NA	magenta
Irs2	NA	magenta
Itga3	NA	magenta
Jade2	NA	magenta
Kcnj12	NA	magenta
Kcnk12	NA	magenta
Kcnk9	NA	magenta
Kdm4b	NA	magenta
Khnyn	NA	magenta
Klf16	NA	magenta
Klhdc3	NA	magenta
Klhl3	NA	magenta
Large1	NA	magenta
Ldlrad3	NA	magenta
Ldlrad4	NA	magenta
Mapkbp1	NA	magenta
Mast1	NA	magenta
Mast3	NA	magenta
Med15	NA	magenta
Mef2d	NA	magenta
Mgat3	NA	magenta
Mief1	NA	magenta
Mn1	NA	magenta
Mon1b	NA	magenta
Mtmr4	NA	magenta
Nfyb	NA	magenta
Nog	NA	magenta
Nr4a3	NA	magenta
Nuak1	NA	magenta
Nup210	NA	magenta
Opn3	NA	magenta
Oprd1	NA	magenta
Orai2	NA	magenta
Paqr9	NA	magenta
Pcnx2	NA	magenta
Phf21a	NA	magenta
Pknox2	NA	magenta
Plcb4	NA	magenta
Plcd3	NA	magenta
Plpp7	NA	magenta
Plxna1	NA	magenta
Pnma1	NA	magenta
Ppp6r2	NA	magenta
Pqbp1	NA	magenta
Prdm11	NA	magenta
Prmt7	NA	magenta
Ptprs	NA	magenta
Rab40b	NA	magenta
Rabif	NA	magenta
Rac3	NA	magenta
Rgs7bp	NA	magenta
Rhobtb2	NA	magenta
Rilpl1	NA	magenta
Ripor1	NA	magenta
Rnf207	NA	magenta
Rsph14	NA	magenta
Rtn4r	NA	magenta
Rtn4rl1	NA	magenta
Sesn2	NA	magenta
Sez6l2	NA	magenta
Sfxn3	NA	magenta
Siae	NA	magenta
Sik1	NA	magenta
Simc1	NA	magenta
Slc31a1	NA	magenta
Slc35e1	NA	magenta
Slc52a2	NA	magenta
Slc9a5	NA	magenta
Srcap	NA	magenta
Stard3	NA	magenta
Stard9	NA	magenta
Syngr1	NA	magenta
Synpo	NA	magenta
Syt13	NA	magenta
Tet2	NA	magenta
Timm29	NA	magenta
Tmem121b	NA	magenta
Tmem9	NA	magenta
Tmem97	NA	magenta
Top3b	NA	magenta
Trim62	NA	magenta
Trim66	NA	magenta
Trp53i11	NA	magenta
Tub	NA	magenta
Ube2o	NA	magenta
Ubxn2b	NA	magenta
Uhrf1bp1	NA	magenta
Unc13b	NA	magenta
Veph1	NA	magenta
Vopp1	NA	magenta
Wdr24	NA	magenta
Wfikkn1	NA	magenta
Wfs1	NA	magenta
Xpnpep1	NA	magenta
Zcchc14	NA	magenta
Zmym5	NA	magenta
