nodeName	altName	nodeAttr[nodesPresent, ]
1700001L19Rik	NA	midnightblue
2510039O18Rik	NA	midnightblue
2810459M11Rik	NA	midnightblue
Abcd1	NA	midnightblue
Abhd14b	NA	midnightblue
Ahsa1	NA	midnightblue
Aimp2	NA	midnightblue
Aip	NA	midnightblue
Ak2	NA	midnightblue
Ankmy2	NA	midnightblue
Ankrd40	NA	midnightblue
Arhgap23	NA	midnightblue
Atp5h	NA	midnightblue
B630019K06Rik	NA	midnightblue
Batf2	NA	midnightblue
Bcl2l1	NA	midnightblue
Blcap	NA	midnightblue
Bpnt1	NA	midnightblue
Cd151	NA	midnightblue
Cd164	NA	midnightblue
Cdkal1	NA	midnightblue
Coro1b	NA	midnightblue
Cpa2	NA	midnightblue
Ctps2	NA	midnightblue
Cyth1	NA	midnightblue
Dapk2	NA	midnightblue
Dcaf15	NA	midnightblue
Desi1	NA	midnightblue
Dhrs13	NA	midnightblue
Dnajb2	NA	midnightblue
Emilin1	NA	midnightblue
Ext2	NA	midnightblue
Fam189a2	NA	midnightblue
Fam219b	NA	midnightblue
Fam222a	NA	midnightblue
Farsa	NA	midnightblue
Fbxo31	NA	midnightblue
Fbxo33	NA	midnightblue
Fbxo7	NA	midnightblue
Fibp	NA	midnightblue
Flg	NA	midnightblue
Flii	NA	midnightblue
Gabpb1	NA	midnightblue
Gal3st1	NA	midnightblue
Gm8797	NA	midnightblue
Gorasp2	NA	midnightblue
Gpr153	NA	midnightblue
Gstt2	NA	midnightblue
Hsd17b4	NA	midnightblue
Hspb8	NA	midnightblue
Ipo13	NA	midnightblue
Iscu	NA	midnightblue
Kctd18	NA	midnightblue
Kctd5	NA	midnightblue
Kif7	NA	midnightblue
Klhl22	NA	midnightblue
Llgl1	NA	midnightblue
Lyrm1	NA	midnightblue
Macrod1	NA	midnightblue
Map2k2	NA	midnightblue
Marcksl1	NA	midnightblue
Masp1	NA	midnightblue
Mcrs1	NA	midnightblue
Med28	NA	midnightblue
Mettl7a1	NA	midnightblue
Mif	NA	midnightblue
Mrc2	NA	midnightblue
Mrps18b	NA	midnightblue
Mrps24	NA	midnightblue
Mtfmt	NA	midnightblue
Naxe	NA	midnightblue
Ndufa3	NA	midnightblue
Ndufaf7	NA	midnightblue
Ndufs6	NA	midnightblue
Nek7	NA	midnightblue
Ngb	NA	midnightblue
Nit1	NA	midnightblue
Nolc1	NA	midnightblue
Nop9	NA	midnightblue
Pafah1b3	NA	midnightblue
Papss1	NA	midnightblue
Pex5	NA	midnightblue
Phyhipl	NA	midnightblue
Pip4k2a	NA	midnightblue
Ppa2	NA	midnightblue
Ppp1r16b	NA	midnightblue
Prss23	NA	midnightblue
Psen2	NA	midnightblue
Psmb5	NA	midnightblue
Psmc3	NA	midnightblue
Ptp4a3	NA	midnightblue
Rab40c	NA	midnightblue
Rab5c	NA	midnightblue
Rabac1	NA	midnightblue
Ralgds	NA	midnightblue
Ramp1	NA	midnightblue
Rbx1	NA	midnightblue
Rela	NA	midnightblue
Ret	NA	midnightblue
Rpl6	NA	midnightblue
Rps18-ps6	NA	midnightblue
Sbf1	NA	midnightblue
Sccpdh	NA	midnightblue
Sf3b2	NA	midnightblue
Sft2d1	NA	midnightblue
Slc18a1	NA	midnightblue
Slc22a23	NA	midnightblue
Slc48a1	NA	midnightblue
Smg8	NA	midnightblue
Spsb2	NA	midnightblue
Srrd	NA	midnightblue
St6galnac3	NA	midnightblue
Taf5l	NA	midnightblue
Tax1bp3	NA	midnightblue
Tesk2	NA	midnightblue
Tfb2m	NA	midnightblue
Thap7	NA	midnightblue
Tkt	NA	midnightblue
Tmed5	NA	midnightblue
Tmem168	NA	midnightblue
Tmem179	NA	midnightblue
Tmem223	NA	midnightblue
Tmem258	NA	midnightblue
Tmem64	NA	midnightblue
Tomm20	NA	midnightblue
Tor1b	NA	midnightblue
Tpd52l1	NA	midnightblue
Trmu	NA	midnightblue
Ube2d1	NA	midnightblue
Uckl1	NA	midnightblue
Uqcrc1	NA	midnightblue
Usp20	NA	midnightblue
Wdr83os	NA	midnightblue
Yipf1	NA	midnightblue
Yrdc	NA	midnightblue
Zfp316	NA	midnightblue
Zfp317	NA	midnightblue
Zfp637	NA	midnightblue
