nodeName	altName	nodeAttr[nodesPresent, ]
Abcb9	NA	orange
Abcd2	NA	orange
Acot11	NA	orange
Acvr1b	NA	orange
Arhgef15	NA	orange
Atp13a5	NA	orange
Atp2b2	NA	orange
Atrnl1	NA	orange
Cacng3	NA	orange
Camk2g	NA	orange
Cbln2	NA	orange
Ccdc157	NA	orange
Cd34	NA	orange
Cdc25b	NA	orange
Cds1	NA	orange
Clec11a	NA	orange
Col11a2	NA	orange
Coro2b	NA	orange
Cplx1	NA	orange
Cpne9	NA	orange
Dnajc21	NA	orange
Efna5	NA	orange
Elac2	NA	orange
Emid1	NA	orange
Fam78a	NA	orange
Gucy1a1	NA	orange
Hhex	NA	orange
Hivep2	NA	orange
Jdp2	NA	orange
Kcnab3	NA	orange
Kcnc1	NA	orange
Kcnc3	NA	orange
Kcnh4	NA	orange
Kcnk4	NA	orange
Kcns3	NA	orange
Klc2	NA	orange
Lamp5	NA	orange
Lrfn3	NA	orange
Lrrc8b	NA	orange
Lrtm2	NA	orange
Marchf11	NA	orange
Mau2	NA	orange
Mlip	NA	orange
Mras	NA	orange
Mxd1	NA	orange
Nat8l	NA	orange
Nefh	NA	orange
Nefl	NA	orange
Nefm	NA	orange
Nostrin	NA	orange
Nppa	NA	orange
Npy5r	NA	orange
Nr1d1	NA	orange
Ntm	NA	orange
Osbpl1a	NA	orange
Parp2	NA	orange
Pcdh7	NA	orange
Pi4k2a	NA	orange
Pnma5	NA	orange
Polr2h	NA	orange
Postn	NA	orange
Pou3f4	NA	orange
Pou6f1	NA	orange
Ppargc1a	NA	orange
Prdm5	NA	orange
Prkcz	NA	orange
Ptgfrn	NA	orange
Ptrh1	NA	orange
Pvalb	NA	orange
Pxn	NA	orange
Ranbp9	NA	orange
Rbfox1	NA	orange
Rbfox3	NA	orange
Rgs6	NA	orange
Rnf6	NA	orange
Rpusd1	NA	orange
Safb2	NA	orange
Satb1	NA	orange
Scn1b	NA	orange
Scn4b	NA	orange
Scpep1	NA	orange
Sema7a	NA	orange
Slc26a10	NA	orange
Slu7	NA	orange
Socs5	NA	orange
Sptssb	NA	orange
Ssx2ip	NA	orange
Sync	NA	orange
Syt10	NA	orange
Syt2	NA	orange
Tada2b	NA	orange
Tipin	NA	orange
Tmem215	NA	orange
Tmem51	NA	orange
Traf7	NA	orange
Trim37	NA	orange
Ttl	NA	orange
Vamp1	NA	orange
Wnt10a	NA	orange
Xkr6	NA	orange
Zbtb7a	NA	orange
Zfp248	NA	orange
Zfp629	NA	orange
