nodeName	altName	nodeAttr[nodesPresent, ]
Abcc10	NA	orangered4
Adck1	NA	orangered4
Arhgef18	NA	orangered4
Arid3b	NA	orangered4
Arl3	NA	orangered4
Atg101	NA	orangered4
Atp5c1	NA	orangered4
Bscl2	NA	orangered4
Cbx6	NA	orangered4
Ccdc50	NA	orangered4
Cfap46	NA	orangered4
Cir1	NA	orangered4
Cisd1	NA	orangered4
Ckmt1	NA	orangered4
Clcn1	NA	orangered4
Coq6	NA	orangered4
Csnk1e	NA	orangered4
Dhps	NA	orangered4
Ebna1bp2	NA	orangered4
Exosc4	NA	orangered4
Fads3	NA	orangered4
Fam136a	NA	orangered4
Fam171a1	NA	orangered4
Fam78b	NA	orangered4
Fkbp7	NA	orangered4
Fn3k	NA	orangered4
Frmd5	NA	orangered4
Fst	NA	orangered4
Ftsj3	NA	orangered4
Galk2	NA	orangered4
Gpr107	NA	orangered4
Hdac11	NA	orangered4
Imp4	NA	orangered4
Ina	NA	orangered4
Jagn1	NA	orangered4
Jup	NA	orangered4
Kcnh6	NA	orangered4
Kcnj2	NA	orangered4
Kndc1	NA	orangered4
Mapk8ip3	NA	orangered4
Mecr	NA	orangered4
Mllt11	NA	orangered4
Ndufa9	NA	orangered4
Ndufb3	NA	orangered4
Nrip1	NA	orangered4
Ogfod2	NA	orangered4
Olfr275	NA	orangered4
Pcgf2	NA	orangered4
Pde12	NA	orangered4
Pld3	NA	orangered4
Plekhb2	NA	orangered4
Prrt3	NA	orangered4
Psmd3	NA	orangered4
Qsox2	NA	orangered4
Rab33b	NA	orangered4
Rnf227	NA	orangered4
Sec22a	NA	orangered4
Sec22c	NA	orangered4
Slc17a5	NA	orangered4
Snrpc	NA	orangered4
Sppl2b	NA	orangered4
Strn4	NA	orangered4
Syvn1	NA	orangered4
Tagln3	NA	orangered4
Tbc1d22a	NA	orangered4
Tceal5	NA	orangered4
Tmco1	NA	orangered4
Tmem143	NA	orangered4
Tmem200c	NA	orangered4
Tmem38a	NA	orangered4
Tmem41a	NA	orangered4
Tpm3-rs7	NA	orangered4
Trmt9b	NA	orangered4
Vwc2	NA	orangered4
Zfp563	NA	orangered4
