nodeName	altName	nodeAttr[nodesPresent, ]
2410131K14Rik	NA	paleturquoise
Abcb10	NA	paleturquoise
Adam9	NA	paleturquoise
Adcyap1	NA	paleturquoise
C2cd3	NA	paleturquoise
Camk2d	NA	paleturquoise
Cog5	NA	paleturquoise
Cpeb4	NA	paleturquoise
Csnk1g1	NA	paleturquoise
Dab1	NA	paleturquoise
Dennd4a	NA	paleturquoise
Dnah10	NA	paleturquoise
Dnal1	NA	paleturquoise
Dr1	NA	paleturquoise
Dtwd1	NA	paleturquoise
Elovl6	NA	paleturquoise
Entpd5	NA	paleturquoise
Ero1l	NA	paleturquoise
Fam220a	NA	paleturquoise
Fbxo16	NA	paleturquoise
Gm13889	NA	paleturquoise
Htr7	NA	paleturquoise
Insr	NA	paleturquoise
Klf8	NA	paleturquoise
Klhl32	NA	paleturquoise
Lifr	NA	paleturquoise
Limch1	NA	paleturquoise
Lmln	NA	paleturquoise
Luzp1	NA	paleturquoise
Lyst	NA	paleturquoise
Miga1	NA	paleturquoise
Mkks	NA	paleturquoise
Mrpl11	NA	paleturquoise
Mstn	NA	paleturquoise
Mtmr6	NA	paleturquoise
Mtpn	NA	paleturquoise
Naa25	NA	paleturquoise
Napg	NA	paleturquoise
Nck1	NA	paleturquoise
Ndc1	NA	paleturquoise
Ndel1	NA	paleturquoise
Nek1	NA	paleturquoise
Nkap	NA	paleturquoise
Nom1	NA	paleturquoise
Nsrp1	NA	paleturquoise
Ntrk2	NA	paleturquoise
Nudcd3	NA	paleturquoise
Nwd1	NA	paleturquoise
Osgep	NA	paleturquoise
Parp1	NA	paleturquoise
Pcnt	NA	paleturquoise
Pex26	NA	paleturquoise
Phf8	NA	paleturquoise
Pofut1	NA	paleturquoise
Prepl	NA	paleturquoise
Ptgr2	NA	paleturquoise
Rassf8	NA	paleturquoise
Rfesd	NA	paleturquoise
Rlf	NA	paleturquoise
Rnf19a	NA	paleturquoise
Scg2	NA	paleturquoise
Sdad1	NA	paleturquoise
Sec14l1	NA	paleturquoise
Slc39a6	NA	paleturquoise
Slc5a7	NA	paleturquoise
Smad2	NA	paleturquoise
Smndc1	NA	paleturquoise
Spata7	NA	paleturquoise
Stx3	NA	paleturquoise
Suz12	NA	paleturquoise
Tbl1x	NA	paleturquoise
Tgfbr1	NA	paleturquoise
Tnrc6a	NA	paleturquoise
Trappc10	NA	paleturquoise
Trappc8	NA	paleturquoise
Trmt5	NA	paleturquoise
Trpc4	NA	paleturquoise
Uqcc1	NA	paleturquoise
Wdfy2	NA	paleturquoise
Zfp712	NA	paleturquoise
Zfp871	NA	paleturquoise
