nodeName	altName	nodeAttr[nodesPresent, ]
2700049A03Rik	NA	pink
Abcb9	NA	pink
Abcd2	NA	pink
Abcd4	NA	pink
Acaa1b	NA	pink
Acot11	NA	pink
Acsl6	NA	pink
Acvr1b	NA	pink
Adcy4	NA	pink
Adora2b	NA	pink
Alkbh3	NA	pink
Ano8	NA	pink
Arhgef15	NA	pink
Arhgef19	NA	pink
Atp13a5	NA	pink
Atp2b2	NA	pink
Atrnl1	NA	pink
Cacng3	NA	pink
Camk2g	NA	pink
Cbln2	NA	pink
Ccdc157	NA	pink
Cd34	NA	pink
Cd80	NA	pink
Cdan1	NA	pink
Cdc25b	NA	pink
Cds1	NA	pink
Clec11a	NA	pink
Col11a2	NA	pink
Col4a1	NA	pink
Coro2b	NA	pink
Cplx1	NA	pink
Cpne9	NA	pink
Crebzf	NA	pink
Crispld1	NA	pink
Dck	NA	pink
Ddx20	NA	pink
Ddx39	NA	pink
Dennd6b	NA	pink
Dnajc21	NA	pink
Dnase1l1	NA	pink
Dpf2	NA	pink
Dtx3	NA	pink
Edem1	NA	pink
Efna5	NA	pink
Elac2	NA	pink
Emid1	NA	pink
Eogt	NA	pink
Ephx4	NA	pink
Ercc5	NA	pink
F11r	NA	pink
Fam78a	NA	pink
Fbln2	NA	pink
Fbxo46	NA	pink
Fcsk	NA	pink
Fermt3	NA	pink
Gba2	NA	pink
Ggcx	NA	pink
Ggt7	NA	pink
Ghr	NA	pink
Gm37240	NA	pink
Gmppa	NA	pink
Gucy1a1	NA	pink
Hapln4	NA	pink
Hhex	NA	pink
Hivep2	NA	pink
Ikbkg	NA	pink
Jdp2	NA	pink
Kcnab3	NA	pink
Kcnc1	NA	pink
Kcnc3	NA	pink
Kcnh4	NA	pink
Kcnk4	NA	pink
Kcns3	NA	pink
Klc2	NA	pink
Klc4	NA	pink
Klhl36	NA	pink
Lamp5	NA	pink
Lnx2	NA	pink
Lrfn3	NA	pink
Lrrc8b	NA	pink
Lrtm2	NA	pink
Lsm5	NA	pink
Marchf11	NA	pink
Mau2	NA	pink
Mbd3	NA	pink
Mitf	NA	pink
Mlip	NA	pink
Mospd3	NA	pink
Mphosph9	NA	pink
Mras	NA	pink
Mxd1	NA	pink
Nat8l	NA	pink
Nefh	NA	pink
Nefl	NA	pink
Nefm	NA	pink
Nipal2	NA	pink
Nit2	NA	pink
Nostrin	NA	pink
Npl	NA	pink
Nppa	NA	pink
Npy5r	NA	pink
Nr1d1	NA	pink
Ntm	NA	pink
Osbpl1a	NA	pink
Parp2	NA	pink
Pcdh7	NA	pink
Pdzd7	NA	pink
Pgam5	NA	pink
Pi4k2a	NA	pink
Pnkd	NA	pink
Pnma5	NA	pink
Polr2h	NA	pink
Polrmt	NA	pink
Postn	NA	pink
Pou3f4	NA	pink
Pou6f1	NA	pink
Ppargc1a	NA	pink
Ppih	NA	pink
Ppp1r3f	NA	pink
Prdm5	NA	pink
Prkcz	NA	pink
Ptgfrn	NA	pink
Ptpmt1	NA	pink
Ptrh1	NA	pink
Pvalb	NA	pink
Pxn	NA	pink
Ranbp9	NA	pink
Rassf4	NA	pink
Rbfox1	NA	pink
Rbfox3	NA	pink
Rbpms	NA	pink
Rgs6	NA	pink
Rnf6	NA	pink
Rpusd1	NA	pink
Safb2	NA	pink
Satb1	NA	pink
Scn1b	NA	pink
Scn4b	NA	pink
Scpep1	NA	pink
Sema6c	NA	pink
Sema7a	NA	pink
Senp2	NA	pink
Sgsm3	NA	pink
Shmt2	NA	pink
Slc25a39	NA	pink
Slc26a10	NA	pink
Slc35a3	NA	pink
Slc45a1	NA	pink
Slc46a1	NA	pink
Slu7	NA	pink
Smarcd2	NA	pink
Socs5	NA	pink
Sphk2	NA	pink
Spns1	NA	pink
Sptssb	NA	pink
Srpk2	NA	pink
Ssx2ip	NA	pink
Stk3	NA	pink
Sun1	NA	pink
Sync	NA	pink
Syt10	NA	pink
Syt2	NA	pink
Tada2b	NA	pink
Tcap	NA	pink
Tecpr1	NA	pink
Tipin	NA	pink
Tmem185b	NA	pink
Tmem215	NA	pink
Tmem38b	NA	pink
Tmem51	NA	pink
Traf7	NA	pink
Trim37	NA	pink
Ttl	NA	pink
Tuba8	NA	pink
Vamp1	NA	pink
Vcpkmt	NA	pink
Wnt10a	NA	pink
Xkr6	NA	pink
Yaf2	NA	pink
Zbtb7a	NA	pink
Zfp248	NA	pink
Zfp513	NA	pink
Zfp629	NA	pink
Zfp651	NA	pink
Znrf2	NA	pink
