nodeName	altName	nodeAttr[nodesPresent, ]
Arid5a	NA	plum1
Atf4	NA	plum1
Atxn3	NA	plum1
C9orf72	NA	plum1
Camk1g	NA	plum1
Ccnh	NA	plum1
Ccr5	NA	plum1
Cd2ap	NA	plum1
Cdh11	NA	plum1
Cebpg	NA	plum1
Cmya5	NA	plum1
Cops7b	NA	plum1
Cstf2	NA	plum1
Cyp2b13	NA	plum1
Dop1a	NA	plum1
Dot1l	NA	plum1
Dram2	NA	plum1
Eaf1	NA	plum1
Eea1	NA	plum1
Epo	NA	plum1
Etnk2	NA	plum1
Fndc4	NA	plum1
Fut9	NA	plum1
Gm17606	NA	plum1
Got1	NA	plum1
Hba-a1	NA	plum1
Hdac3	NA	plum1
Hdgfl2	NA	plum1
Hip1r	NA	plum1
Hyal3	NA	plum1
Ibtk	NA	plum1
Ifitm10	NA	plum1
Il1rapl1	NA	plum1
Ints6l	NA	plum1
Itgav	NA	plum1
Las1l	NA	plum1
Lemd3	NA	plum1
Mars2	NA	plum1
Noa1	NA	plum1
Nrtn	NA	plum1
Nudt21	NA	plum1
Olfr78	NA	plum1
Palb2	NA	plum1
Pcdh15	NA	plum1
Pdcd2	NA	plum1
Pde7b	NA	plum1
Phf23	NA	plum1
Pih1d1	NA	plum1
Plekhn1	NA	plum1
Pnma3	NA	plum1
Pomt2	NA	plum1
Pop4	NA	plum1
Ppme1	NA	plum1
Prpf38a	NA	plum1
Rabgef1	NA	plum1
Rbm15	NA	plum1
Rpl17	NA	plum1
Scaf4	NA	plum1
Sgcz	NA	plum1
Slc28a2	NA	plum1
Slc28a2b	NA	plum1
Slf2	NA	plum1
Spef2	NA	plum1
Srrm2	NA	plum1
Tcf4	NA	plum1
Terf2	NA	plum1
Tfe3	NA	plum1
Ttc1	NA	plum1
Ttc14	NA	plum1
Usp28	NA	plum1
Usp34	NA	plum1
Usp43	NA	plum1
Utp14a	NA	plum1
Wdr20rt	NA	plum1
Zfp1	NA	plum1
Zw10	NA	plum1
