nodeName	altName	nodeAttr[nodesPresent, ]
1810030O07Rik	NA	purple
6330403K07Rik	NA	purple
A830031A19Rik	NA	purple
Abcg1	NA	purple
Abt1	NA	purple
Actr6	NA	purple
Ankrd63	NA	purple
Apbb1	NA	purple
Arf1	NA	purple
Arnt	NA	purple
Atg4c	NA	purple
Atp6ap2	NA	purple
AW551984	NA	purple
Bag2	NA	purple
Brinp3	NA	purple
Btrc	NA	purple
C2cd4c	NA	purple
Cblb	NA	purple
Cd47	NA	purple
Cdc42se1	NA	purple
Cdh13	NA	purple
Cep120	NA	purple
Chrna5	NA	purple
Clint1	NA	purple
Copg1	NA	purple
Cpeb3	NA	purple
Creb3l2	NA	purple
Csnk1d	NA	purple
Ctnnb1	NA	purple
Ctr9	NA	purple
Cwf19l2	NA	purple
Cyp26b1	NA	purple
D2hgdh	NA	purple
Dcaf12l1	NA	purple
Dhx32	NA	purple
Dio3	NA	purple
Dnaja3	NA	purple
Dok2	NA	purple
Dpyd	NA	purple
Dpysl2	NA	purple
Dusp16	NA	purple
Dync1i1	NA	purple
Dynll1	NA	purple
Efnb2	NA	purple
Efnb3	NA	purple
Elovl4	NA	purple
Eml4	NA	purple
Epha5	NA	purple
Evi5l	NA	purple
Fam110b	NA	purple
Fank1	NA	purple
Fbxo10	NA	purple
Fbxo25	NA	purple
Fbxo30	NA	purple
Filip1	NA	purple
Ftsj1	NA	purple
Gapvd1	NA	purple
Glce	NA	purple
Gmps	NA	purple
Gnai1	NA	purple
Gnb4	NA	purple
Gpn1	NA	purple
Grb10	NA	purple
Grb2	NA	purple
Grik4	NA	purple
Hap1	NA	purple
Hinfp	NA	purple
Hp1bp3	NA	purple
Hus1	NA	purple
Ice1	NA	purple
Igf1	NA	purple
Ino80c	NA	purple
Itga8	NA	purple
Kazn	NA	purple
Kctd4	NA	purple
Klhdc10	NA	purple
Ldb2	NA	purple
Maged1	NA	purple
Mal	NA	purple
Maoa	NA	purple
Mapre2	NA	purple
Mbd5	NA	purple
Mcm9	NA	purple
Mctp1	NA	purple
Mgam	NA	purple
Mplkip	NA	purple
Mycl	NA	purple
Nbdy	NA	purple
Nbr1	NA	purple
Ncapd2	NA	purple
Ndn	NA	purple
Ndnf	NA	purple
Negr1	NA	purple
Nipsnap1	NA	purple
Nynrin	NA	purple
Olfml2b	NA	purple
P2rx4	NA	purple
Pcbd1	NA	purple
Pcdh19	NA	purple
Pcdh20	NA	purple
Pdlim3	NA	purple
Pi4kb	NA	purple
Pla2g15	NA	purple
Plce1	NA	purple
Plppr4	NA	purple
Plscr3	NA	purple
Plxnc1	NA	purple
Pold3	NA	purple
Prcp	NA	purple
Prkag2	NA	purple
Prmt2	NA	purple
Psma3	NA	purple
Psmf1	NA	purple
Qser1	NA	purple
Rab27b	NA	purple
Rab9b	NA	purple
Rae1	NA	purple
Rap2b	NA	purple
Retreg1	NA	purple
Rfxap	NA	purple
Rhbdf2	NA	purple
Rnf122	NA	purple
Rpap2	NA	purple
Rprm	NA	purple
Rps6ka5	NA	purple
Rrn3	NA	purple
Rsu1	NA	purple
Rtn1	NA	purple
Sez6	NA	purple
Sfxn1	NA	purple
Sh3bgrl3	NA	purple
Slc16a2	NA	purple
Slc24a4	NA	purple
Slc9a8	NA	purple
Sms	NA	purple
Smurf2	NA	purple
Spon1	NA	purple
Sprtn	NA	purple
Spsb1	NA	purple
Ssbp2	NA	purple
St6galnac5	NA	purple
St8sia2	NA	purple
Stam	NA	purple
Stk35	NA	purple
Svep1	NA	purple
Syt6	NA	purple
Taf1b	NA	purple
Tbr1	NA	purple
Tctn1	NA	purple
Thyn1	NA	purple
Timp2	NA	purple
Tlcd4	NA	purple
Tmem150c	NA	purple
Tmem35a	NA	purple
Tnks2	NA	purple
Tpbg	NA	purple
Tpm1	NA	purple
Tubb2b	NA	purple
Tusc3	NA	purple
Txndc12	NA	purple
Uchl1	NA	purple
Vav3	NA	purple
Wdr1	NA	purple
Wdr11	NA	purple
Zc3h8	NA	purple
Zcchc12	NA	purple
