nodeName	altName	nodeAttr[nodesPresent, ]
Acadvl	NA	red
Acsbg1	NA	red
Acsm5	NA	red
Adipor1	NA	red
Adrm1	NA	red
Afg1l	NA	red
Aldh9a1	NA	red
Aldoc	NA	red
Ammecr1	NA	red
Anapc13	NA	red
Anapc5	NA	red
Ap1s1	NA	red
Aph1b	NA	red
Arhgdia	NA	red
Arhgef10l	NA	red
Arl2	NA	red
Arl2bp	NA	red
Arl6ip5	NA	red
Arpc4	NA	red
Arsa	NA	red
Asrgl1	NA	red
Atg2a	NA	red
Atg4d	NA	red
Atp1b2	NA	red
Atp5g1	NA	red
Atp5g3	NA	red
Atp6v0b	NA	red
Atp6v1f	NA	red
Aup1	NA	red
Bax	NA	red
Bcan	NA	red
Bckdha	NA	red
Bnip2	NA	red
Bola2	NA	red
Brd2	NA	red
Brd9	NA	red
Bri3	NA	red
Brk1	NA	red
Btbd17	NA	red
Camk2n2	NA	red
Car11	NA	red
Cbx4	NA	red
Ccl27a	NA	red
Ccnd3	NA	red
Cd63	NA	red
Cd81	NA	red
Cep19	NA	red
Chmp4b	NA	red
Chpt1	NA	red
Cib1	NA	red
Cilp	NA	red
Ckb	NA	red
Clk3	NA	red
Cltb	NA	red
Cmbl	NA	red
Col13a1	NA	red
Coq8b	NA	red
Cox6b1	NA	red
Crip1	NA	red
Crppa	NA	red
Csk	NA	red
Ctdnep1	NA	red
Ctdsp1	NA	red
Ctxn3	NA	red
Cuta	NA	red
Cyc1	NA	red
Cyhr1	NA	red
Dazap1	NA	red
Dazap2	NA	red
Dda1	NA	red
Ddrgk1	NA	red
Dhx30	NA	red
Dnajc17	NA	red
Dnal4	NA	red
Dnpep	NA	red
Drap1	NA	red
Dysf	NA	red
Eef1g	NA	red
Efemp2	NA	red
Egln1	NA	red
Ehmt2	NA	red
Eif5a	NA	red
Emc6	NA	red
Endog	NA	red
Eng	NA	red
Exosc8	NA	red
Fam110a	NA	red
Fam129b	NA	red
Fam214b	NA	red
Fau	NA	red
Fbxo2	NA	red
Fbxo44	NA	red
Fbxo8	NA	red
Fbxw5	NA	red
Fgfrl1	NA	red
Fis1	NA	red
Ftl1	NA	red
G6pdx	NA	red
Gale	NA	red
Gas2l1	NA	red
Gde1	NA	red
Gdf11	NA	red
Glud1	NA	red
Gm10131	NA	red
Gm11808	NA	red
Gm2000	NA	red
Gm4131	NA	red
Gnai2	NA	red
Golga7	NA	red
Gpx1	NA	red
Gpx4	NA	red
Grpel1	NA	red
H2aj	NA	red
H2az1	NA	red
H2az2	NA	red
H2bu2	NA	red
Hdgf	NA	red
Higd1a	NA	red
Hint1	NA	red
Hmg20b	NA	red
Hnrnpa0	NA	red
Hook2	NA	red
Hras	NA	red
Hsf4	NA	red
Hspb6	NA	red
Hspbp1	NA	red
Id2	NA	red
Idh2	NA	red
Idh3g	NA	red
Il11ra1	NA	red
Ino80e	NA	red
Inppl1	NA	red
Itgb5	NA	red
Itih3	NA	red
Itprid2	NA	red
Jund	NA	red
Kat2a	NA	red
Kifc3	NA	red
Kin	NA	red
Klhl5	NA	red
Kptn	NA	red
L2hgdh	NA	red
Lix1	NA	red
Lix1l	NA	red
Maf1	NA	red
Maob	NA	red
Map1lc3a	NA	red
Map2k5	NA	red
Map4k2	NA	red
Mapk7	NA	red
Mapk8ip1	NA	red
Mapkap1	NA	red
Marchf2	NA	red
Mdh2	NA	red
Mdk	NA	red
Micos10	NA	red
Micos13	NA	red
Mindy3	NA	red
Mmd2	NA	red
Mpnd	NA	red
Mrpl14	NA	red
Mrps16	NA	red
Mvp	NA	red
Nadk2	NA	red
Nckap5l	NA	red
Ndufa7	NA	red
Ndufs7	NA	red
Ndufv1	NA	red
Necap2	NA	red
Nelfe	NA	red
Nnt	NA	red
Nop10	NA	red
Nosip	NA	red
Nr1h2	NA	red
Nup85	NA	red
Oaz1	NA	red
Ogfr	NA	red
Olfr66	NA	red
Orai1	NA	red
Ormdl3	NA	red
Oser1	NA	red
Ostf1	NA	red
P3h3	NA	red
Pabpc4	NA	red
Paqr7	NA	red
Pbxip1	NA	red
Pcbp4	NA	red
Pcnp	NA	red
Pcx	NA	red
Pdap1	NA	red
Pdk2	NA	red
Pgam1	NA	red
Pgm1	NA	red
Pigc	NA	red
Pld2	NA	red
Plppr2	NA	red
Plxnb1	NA	red
Pole4	NA	red
Pon2	NA	red
Ppib	NA	red
Ppp2cb	NA	red
Ppp2r5b	NA	red
Ppp2r5c	NA	red
Prelid1	NA	red
Psap	NA	red
Psmc4	NA	red
Psmc5	NA	red
Psme3	NA	red
Ptges2	NA	red
Ptms	NA	red
Pygb	NA	red
Qars	NA	red
Rab11b	NA	red
Rack1	NA	red
Rbbp8	NA	red
Rbis	NA	red
Rce1	NA	red
Retreg2	NA	red
Rhbdd3	NA	red
Rhoc	NA	red
Rnd2	NA	red
Romo1	NA	red
Rpl10a	NA	red
Rpl12	NA	red
Rpl18a	NA	red
Rpl21	NA	red
Rpl28	NA	red
Rpl3	NA	red
Rpl35	NA	red
Rpl36a	NA	red
Rpl37a	NA	red
Rpl8	NA	red
Rplp0	NA	red
Rplp1	NA	red
Rps11	NA	red
Rps12	NA	red
Rps13	NA	red
Rps18-ps5	NA	red
Rps21	NA	red
