nodeName	altName	nodeAttr[nodesPresent, ]
1700037C18Rik	NA	royalblue
Abcf2	NA	royalblue
Acbd5	NA	royalblue
Acsl3	NA	royalblue
Akap7	NA	royalblue
Arhgap18	NA	royalblue
Atl2	NA	royalblue
Axin1	NA	royalblue
C1qbp	NA	royalblue
Card19	NA	royalblue
Cdadc1	NA	royalblue
Cdk11b	NA	royalblue
Cdk8	NA	royalblue
Cep63	NA	royalblue
Chka	NA	royalblue
Cnih1	NA	royalblue
Col5a3	NA	royalblue
Csad	NA	royalblue
Cyb5a	NA	royalblue
Dcaf12	NA	royalblue
Ddit3	NA	royalblue
Ddit4	NA	royalblue
Dld	NA	royalblue
Dnajc8	NA	royalblue
Efs	NA	royalblue
Eif2b3	NA	royalblue
Eloc	NA	royalblue
Fam98a	NA	royalblue
Fbl	NA	royalblue
Fermt2	NA	royalblue
Fez2	NA	royalblue
Fra10ac1	NA	royalblue
Galnt1	NA	royalblue
Gatad2a	NA	royalblue
Gid8	NA	royalblue
Gpx7	NA	royalblue
Gtf2e2	NA	royalblue
Hadhb	NA	royalblue
Hdac8	NA	royalblue
Hibadh	NA	royalblue
Hlcs	NA	royalblue
Hmgn1	NA	royalblue
Hsd11b1	NA	royalblue
Hsd17b12	NA	royalblue
Htra1	NA	royalblue
Id4	NA	royalblue
Ints13	NA	royalblue
Irf1	NA	royalblue
Itsn1	NA	royalblue
Kansl1l	NA	royalblue
Khdc4	NA	royalblue
Lmod1	NA	royalblue
Manf	NA	royalblue
Meis1	NA	royalblue
Mien1	NA	royalblue
Mpv17l2	NA	royalblue
Mrps30	NA	royalblue
Nebl	NA	royalblue
Nnmt	NA	royalblue
Nol7	NA	royalblue
Nop16	NA	royalblue
Patl1	NA	royalblue
Pcca	NA	royalblue
Phax	NA	royalblue
Pigp	NA	royalblue
Pla2g6	NA	royalblue
Pofut2	NA	royalblue
Ppp1r26	NA	royalblue
Rabep1	NA	royalblue
Rbm12b1	NA	royalblue
Rfx4	NA	royalblue
Rgs10	NA	royalblue
Rint1	NA	royalblue
Rpl19	NA	royalblue
Rpl36a-ps1	NA	royalblue
Rpl7a	NA	royalblue
Rxylt1	NA	royalblue
S100a1	NA	royalblue
Scg3	NA	royalblue
Septin2	NA	royalblue
Sf1	NA	royalblue
Sh2b1	NA	royalblue
Sh3bgr	NA	royalblue
Skint6	NA	royalblue
Slc25a33	NA	royalblue
Slc35a1	NA	royalblue
Smim7	NA	royalblue
Smo	NA	royalblue
Spata5	NA	royalblue
St8sia4	NA	royalblue
Sumo1	NA	royalblue
Tatdn1	NA	royalblue
Tbx2	NA	royalblue
Thap12	NA	royalblue
Tjp1	NA	royalblue
Tns3	NA	royalblue
Trp53rkb	NA	royalblue
Tsc22d3	NA	royalblue
Tsg101	NA	royalblue
Ttc39a	NA	royalblue
Uaca	NA	royalblue
Ubap1	NA	royalblue
Ube2b	NA	royalblue
Ube2q2	NA	royalblue
Vapb	NA	royalblue
Vgll4	NA	royalblue
Vta1	NA	royalblue
Washc3	NA	royalblue
Wnt5b	NA	royalblue
Zeb1	NA	royalblue
Zfp658	NA	royalblue
Zkscan17	NA	royalblue
