nodeName	altName	nodeAttr[nodesPresent, ]
2700049A03Rik	NA	saddlebrown
Abcd4	NA	saddlebrown
Acaa1b	NA	saddlebrown
Acsl6	NA	saddlebrown
Adcy4	NA	saddlebrown
Adora2b	NA	saddlebrown
Alkbh3	NA	saddlebrown
Ano8	NA	saddlebrown
Arhgef19	NA	saddlebrown
Bckdk	NA	saddlebrown
Cd80	NA	saddlebrown
Cdan1	NA	saddlebrown
Col4a1	NA	saddlebrown
Crebzf	NA	saddlebrown
Crispld1	NA	saddlebrown
Dck	NA	saddlebrown
Ddx20	NA	saddlebrown
Ddx39	NA	saddlebrown
Dennd6b	NA	saddlebrown
Dnase1l1	NA	saddlebrown
Dpf2	NA	saddlebrown
Dtx3	NA	saddlebrown
Edem1	NA	saddlebrown
Eogt	NA	saddlebrown
Ephx4	NA	saddlebrown
Ercc5	NA	saddlebrown
F11r	NA	saddlebrown
Fbln2	NA	saddlebrown
Fbxo46	NA	saddlebrown
Fcsk	NA	saddlebrown
Fermt3	NA	saddlebrown
Gba2	NA	saddlebrown
Ggcx	NA	saddlebrown
Ggt7	NA	saddlebrown
Ghr	NA	saddlebrown
Gm37240	NA	saddlebrown
Gmppa	NA	saddlebrown
Hapln4	NA	saddlebrown
Ikbkg	NA	saddlebrown
Klc4	NA	saddlebrown
Klhl36	NA	saddlebrown
Lnx2	NA	saddlebrown
Lsm5	NA	saddlebrown
Mbd3	NA	saddlebrown
Mitf	NA	saddlebrown
Mospd3	NA	saddlebrown
Mphosph9	NA	saddlebrown
Nipal2	NA	saddlebrown
Nit2	NA	saddlebrown
Npl	NA	saddlebrown
Pdzd7	NA	saddlebrown
Pgam5	NA	saddlebrown
Pnkd	NA	saddlebrown
Polrmt	NA	saddlebrown
Ppih	NA	saddlebrown
Ppp1r3f	NA	saddlebrown
Ptpmt1	NA	saddlebrown
Rassf4	NA	saddlebrown
Rbpms	NA	saddlebrown
Sema6c	NA	saddlebrown
Senp2	NA	saddlebrown
Sgsm3	NA	saddlebrown
Shmt2	NA	saddlebrown
Slc25a39	NA	saddlebrown
Slc35a3	NA	saddlebrown
Slc45a1	NA	saddlebrown
Slc46a1	NA	saddlebrown
Smarcd2	NA	saddlebrown
Sphk2	NA	saddlebrown
Spns1	NA	saddlebrown
Srpk2	NA	saddlebrown
Stk3	NA	saddlebrown
Sun1	NA	saddlebrown
Tcap	NA	saddlebrown
Tecpr1	NA	saddlebrown
Tmem185b	NA	saddlebrown
Tmem38b	NA	saddlebrown
Tuba8	NA	saddlebrown
Vcpkmt	NA	saddlebrown
Yaf2	NA	saddlebrown
Zfp513	NA	saddlebrown
Zfp651	NA	saddlebrown
Znrf2	NA	saddlebrown
