nodeName	altName	nodeAttr[nodesPresent, ]
Abhd3	NA	salmon
Abhd4	NA	salmon
Acadl	NA	salmon
Acadm	NA	salmon
Adrb2	NA	salmon
Akr1a1	NA	salmon
Akr7a5	NA	salmon
Aldh7a1	NA	salmon
Anxa2	NA	salmon
Armc5	NA	salmon
Asf1a	NA	salmon
Atf5	NA	salmon
B9d2	NA	salmon
Bckdhb	NA	salmon
Btbd3	NA	salmon
Casc4	NA	salmon
Cavin2	NA	salmon
Ccdc39	NA	salmon
Ccnl1	NA	salmon
Cdkn2c	NA	salmon
Cdo1	NA	salmon
Chchd1	NA	salmon
Chic2	NA	salmon
Chmp2a	NA	salmon
Clu	NA	salmon
Cpe	NA	salmon
Ctsb	NA	salmon
Ctsl	NA	salmon
Cttn	NA	salmon
Cystm1	NA	salmon
Dag1	NA	salmon
Dbx2	NA	salmon
Dnajc15	NA	salmon
Echdc1	NA	salmon
Ednrb	NA	salmon
Eef1a1	NA	salmon
Ehd1	NA	salmon
Eif3g	NA	salmon
Eipr1	NA	salmon
Exosc5	NA	salmon
Faf1	NA	salmon
Fbln5	NA	salmon
Fgfr1	NA	salmon
Fxyd1	NA	salmon
Gng5	NA	salmon
Gpx8	NA	salmon
Hexa	NA	salmon
Hmgb3	NA	salmon
Hnrnph3	NA	salmon
Hnrnpm	NA	salmon
Homer3	NA	salmon
Ifrd1	NA	salmon
Il31ra	NA	salmon
Itgbl1	NA	salmon
Itm2b	NA	salmon
Klc1	NA	salmon
Krtcap2	NA	salmon
Laptm4a	NA	salmon
Lgals1	NA	salmon
Lgr4	NA	salmon
Lims1	NA	salmon
Lsm12	NA	salmon
Mettl3	NA	salmon
Mettl9	NA	salmon
Mfsd14b	NA	salmon
Morn2	NA	salmon
Mospd2	NA	salmon
Mrgbp	NA	salmon
Msn	NA	salmon
Myo6	NA	salmon
Naa35	NA	salmon
Nadk	NA	salmon
Nfe2l2	NA	salmon
Nmd3	NA	salmon
Nop58	NA	salmon
Npas3	NA	salmon
Nt5dc2	NA	salmon
Ntan1	NA	salmon
Nxn	NA	salmon
Otulinl	NA	salmon
Pacsin2	NA	salmon
Pdrg1	NA	salmon
Plekha3	NA	salmon
Plekhj1	NA	salmon
Ppp2r5a	NA	salmon
Prdx2	NA	salmon
Prkd1	NA	salmon
Prpf6	NA	salmon
Psmc1	NA	salmon
Psme2	NA	salmon
Psmg1	NA	salmon
Ptbp1	NA	salmon
Ptp4a2	NA	salmon
Ptpn9	NA	salmon
Ptprz1	NA	salmon
Rab34	NA	salmon
Rab9	NA	salmon
Rap1b	NA	salmon
Rap2c	NA	salmon
Rbm10	NA	salmon
Rbm5	NA	salmon
Rex1bd	NA	salmon
Rlbp1	NA	salmon
Rnf149	NA	salmon
Rpl10	NA	salmon
Rpl24	NA	salmon
Rpl27	NA	salmon
Rpl32	NA	salmon
Rpl5	NA	salmon
Rplp2	NA	salmon
Rps4x	NA	salmon
Rps8	NA	salmon
Rpsa	NA	salmon
Sar1b	NA	salmon
Scd2	NA	salmon
Sh3bgrl	NA	salmon
Sh3bp2	NA	salmon
Sigmar1	NA	salmon
Skiv2l	NA	salmon
Slc25a29	NA	salmon
Slc25a30	NA	salmon
Slc66a2	NA	salmon
Smpd1	NA	salmon
Snrpa	NA	salmon
Sox11	NA	salmon
Sox2	NA	salmon
Sparc	NA	salmon
Sqor	NA	salmon
Srsf2	NA	salmon
Srsf7	NA	salmon
Ssr4	NA	salmon
Stap2	NA	salmon
Syap1	NA	salmon
Syne4	NA	salmon
Tceal8	NA	salmon
Tm2d1	NA	salmon
Tmtc4	NA	salmon
Tpt1	NA	salmon
Traf3ip3	NA	salmon
Trappc12	NA	salmon
Tsen54	NA	salmon
Tspan3	NA	salmon
Ttll3	NA	salmon
Twf1	NA	salmon
Ube2e3	NA	salmon
Use1	NA	salmon
Usp16	NA	salmon
Utp11	NA	salmon
Wdr31	NA	salmon
Wdyhv1	NA	salmon
Yes1	NA	salmon
Zcchc24	NA	salmon
Zfand6	NA	salmon
Zfp709	NA	salmon
