nodeName	altName	nodeAttr[nodesPresent, ]
Alas2	NA	sienna3
Atg16l2	NA	sienna3
Atm	NA	sienna3
Atp7b	NA	sienna3
Bag5	NA	sienna3
Bysl	NA	sienna3
Calr3	NA	sienna3
Cdh8	NA	sienna3
Celsr1	NA	sienna3
Cep83	NA	sienna3
Chmp6	NA	sienna3
Cntrl	NA	sienna3
Ddb2	NA	sienna3
Dmd	NA	sienna3
Eif2b5	NA	sienna3
Esyt2	NA	sienna3
Fbxw2	NA	sienna3
Fmn1	NA	sienna3
Gad2	NA	sienna3
H6pd	NA	sienna3
Hivep1	NA	sienna3
Hunk	NA	sienna3
Igsf3	NA	sienna3
Inpp5b	NA	sienna3
Jakmip1	NA	sienna3
Jakmip2	NA	sienna3
Kcnk2	NA	sienna3
Kcnn2	NA	sienna3
Lamc1	NA	sienna3
Malt1	NA	sienna3
Map2k4	NA	sienna3
Mcc	NA	sienna3
Met	NA	sienna3
Mettl6	NA	sienna3
Minar1	NA	sienna3
Mta3	NA	sienna3
Nfyc	NA	sienna3
Nup54	NA	sienna3
Pard3b	NA	sienna3
Pbdc1	NA	sienna3
Pex1	NA	sienna3
Phtf2	NA	sienna3
Pitpna	NA	sienna3
Plag1	NA	sienna3
Plcl2	NA	sienna3
Plekha8	NA	sienna3
Prkci	NA	sienna3
Prmt6	NA	sienna3
Rnf141	NA	sienna3
Rnf180	NA	sienna3
Sap30	NA	sienna3
Sestd1	NA	sienna3
Shprh	NA	sienna3
Slc35c1	NA	sienna3
Slc6a20b	NA	sienna3
Smarca4	NA	sienna3
Srp72	NA	sienna3
Srpk1	NA	sienna3
Stard4	NA	sienna3
Suv39h2	NA	sienna3
Tecta	NA	sienna3
Tent4a	NA	sienna3
Tmed8	NA	sienna3
Trp53inp1	NA	sienna3
Trpm7	NA	sienna3
Tsga10	NA	sienna3
Ttc39b	NA	sienna3
Tubg2	NA	sienna3
Tubgcp2	NA	sienna3
Usp42	NA	sienna3
Vsig10l	NA	sienna3
Wdr27	NA	sienna3
Wdr53	NA	sienna3
Zbtb7c	NA	sienna3
Zcchc7	NA	sienna3
Zfp384	NA	sienna3
Zfp451	NA	sienna3
Zfp84	NA	sienna3
