nodeName	altName	nodeAttr[nodesPresent, ]
0610040J01Rik	NA	skyblue
Adamts10	NA	skyblue
Adcyap1r1	NA	skyblue
Adgra3	NA	skyblue
Ajap1	NA	skyblue
Alg10b	NA	skyblue
Arfgap1	NA	skyblue
Arhgap19	NA	skyblue
Bag3	NA	skyblue
Bcr	NA	skyblue
Bdnf	NA	skyblue
Ccdc84	NA	skyblue
Ccnt2	NA	skyblue
Cgnl1	NA	skyblue
Commd9	NA	skyblue
Cst6	NA	skyblue
Cyb5b	NA	skyblue
Dnajc4	NA	skyblue
Efnb1	NA	skyblue
Elk4	NA	skyblue
Etnppl	NA	skyblue
Fh1	NA	skyblue
Fitm2	NA	skyblue
Fosb	NA	skyblue
Foxc1	NA	skyblue
Gnal	NA	skyblue
Gpat4	NA	skyblue
Gpr3	NA	skyblue
Gpr4	NA	skyblue
Gramd4	NA	skyblue
Hmcn1	NA	skyblue
Hs2st1	NA	skyblue
Icmt	NA	skyblue
Ints12	NA	skyblue
Kcna5	NA	skyblue
Kctd12	NA	skyblue
Kdm6b	NA	skyblue
Kiss1r	NA	skyblue
Lama1	NA	skyblue
Lhfpl5	NA	skyblue
Mcat	NA	skyblue
Med22	NA	skyblue
Mettl27	NA	skyblue
Mpzl3	NA	skyblue
Mrc1	NA	skyblue
Mrps2	NA	skyblue
Myo1f	NA	skyblue
N4bp2l2	NA	skyblue
Nat9	NA	skyblue
Ncoa5	NA	skyblue
Nid2	NA	skyblue
Osbpl7	NA	skyblue
Pank2	NA	skyblue
Panx1	NA	skyblue
Pde8b	NA	skyblue
Plcg2	NA	skyblue
Prkn	NA	skyblue
Pygl	NA	skyblue
Rasd1	NA	skyblue
Rgp1	NA	skyblue
Sdc3	NA	skyblue
Sgpl1	NA	skyblue
Siah2	NA	skyblue
Slc15a2	NA	skyblue
Slc1a4	NA	skyblue
Spred1	NA	skyblue
Spred3	NA	skyblue
Stat3	NA	skyblue
Stt3b	NA	skyblue
Susd5	NA	skyblue
Sytl5	NA	skyblue
Taf9b	NA	skyblue
Tbc1d2	NA	skyblue
Tcirg1	NA	skyblue
Tiparp	NA	skyblue
Tmed2	NA	skyblue
Tmem132e	NA	skyblue
Tnxb	NA	skyblue
Tpm4	NA	skyblue
Ttc30a2	NA	skyblue
Txndc16	NA	skyblue
Wdr5	NA	skyblue
Xrcc6	NA	skyblue
Yjefn3	NA	skyblue
Zdhhc24	NA	skyblue
Zfp608	NA	skyblue
Zfyve19	NA	skyblue
