nodeName	altName	nodeAttr[nodesPresent, ]
4930563E22Rik	NA	skyblue3
Actl6b	NA	skyblue3
Adam19	NA	skyblue3
Adamts8	NA	skyblue3
Atg7	NA	skyblue3
B9d1	NA	skyblue3
Bsg	NA	skyblue3
Cbr1	NA	skyblue3
Ccdc34	NA	skyblue3
Cebpz	NA	skyblue3
Cnot4	NA	skyblue3
Ctnnbl1	NA	skyblue3
Dgcr8	NA	skyblue3
Dhx8	NA	skyblue3
Dst	NA	skyblue3
Dyrk3	NA	skyblue3
E2f6	NA	skyblue3
Eef1e1	NA	skyblue3
Efl1	NA	skyblue3
Faf2	NA	skyblue3
Fancd2	NA	skyblue3
Fancm	NA	skyblue3
Fen1	NA	skyblue3
Fiz1	NA	skyblue3
Galnt14	NA	skyblue3
Gne	NA	skyblue3
Gnptab	NA	skyblue3
Hars	NA	skyblue3
Hook1	NA	skyblue3
Ipo8	NA	skyblue3
Jakmip3	NA	skyblue3
Kdm5d	NA	skyblue3
Lrp2	NA	skyblue3
Mat2b	NA	skyblue3
Nbeal1	NA	skyblue3
Neu2	NA	skyblue3
Nfatc2ip	NA	skyblue3
Nkiras2	NA	skyblue3
Nrbp1	NA	skyblue3
Nup133	NA	skyblue3
Odf2	NA	skyblue3
P3h2	NA	skyblue3
Pak1	NA	skyblue3
Pcsk4	NA	skyblue3
Pfas	NA	skyblue3
Pfkm	NA	skyblue3
Pigo	NA	skyblue3
Prune1	NA	skyblue3
Rab39	NA	skyblue3
Rai14	NA	skyblue3
Rassf1	NA	skyblue3
Rnf20	NA	skyblue3
Rrp1b	NA	skyblue3
Scg5	NA	skyblue3
Sdhd	NA	skyblue3
Sec13	NA	skyblue3
Septin1	NA	skyblue3
Sfmbt1	NA	skyblue3
Ska2	NA	skyblue3
Slc11a2	NA	skyblue3
Slc25a16	NA	skyblue3
Slc35f6	NA	skyblue3
Slc41a2	NA	skyblue3
Sstr4	NA	skyblue3
Stat5a	NA	skyblue3
Stk39	NA	skyblue3
Tbc1d22b	NA	skyblue3
Tceal7	NA	skyblue3
Top1mt	NA	skyblue3
Trmt11	NA	skyblue3
Tspan1	NA	skyblue3
Tuba4a	NA	skyblue3
Zfp131	NA	skyblue3
Zfp217	NA	skyblue3
Zfp277	NA	skyblue3
Zfp93	NA	skyblue3
Zxdc	NA	skyblue3
