nodeName	altName	nodeAttr[nodesPresent, ]
2310061I04Rik	NA	steelblue
Agrp	NA	steelblue
Armh4	NA	steelblue
Asb7	NA	steelblue
Atl1	NA	steelblue
Atp5a1	NA	steelblue
Atp6v1g2	NA	steelblue
Atp7a	NA	steelblue
Bcorl1	NA	steelblue
Brms1l	NA	steelblue
Ccdc30	NA	steelblue
Cdc37l1	NA	steelblue
Chtf18	NA	steelblue
Dclre1b	NA	steelblue
Ddx24	NA	steelblue
Dennd11	NA	steelblue
Dnajb6	NA	steelblue
Elovl5	NA	steelblue
Enpp5	NA	steelblue
Exosc7	NA	steelblue
Faim2	NA	steelblue
Fbxo3	NA	steelblue
Fkrp	NA	steelblue
Fntb	NA	steelblue
Ganc	NA	steelblue
Gle1	NA	steelblue
Glrb	NA	steelblue
Gm10563	NA	steelblue
Gm15294	NA	steelblue
Grid1	NA	steelblue
Hdx	NA	steelblue
Idh3b	NA	steelblue
Kdm3b	NA	steelblue
Lta4h	NA	steelblue
Macc1	NA	steelblue
Map3k4	NA	steelblue
Map7d2	NA	steelblue
Mex3a	NA	steelblue
Mfap3	NA	steelblue
Mpi	NA	steelblue
Ncoa7	NA	steelblue
Ndufv2	NA	steelblue
Nrf1	NA	steelblue
Nt5dc1	NA	steelblue
Olfm3	NA	steelblue
Oscp1	NA	steelblue
Parp12	NA	steelblue
Pcdh9	NA	steelblue
Pebp1	NA	steelblue
Pef1	NA	steelblue
Ppa1	NA	steelblue
Rab11fip2	NA	steelblue
Rnf115	NA	steelblue
Rnf145	NA	steelblue
Rp2	NA	steelblue
Rybp	NA	steelblue
Spag5	NA	steelblue
Stambp	NA	steelblue
Taf7	NA	steelblue
Tceal3	NA	steelblue
Terf2ip	NA	steelblue
Timm10	NA	steelblue
Tmem19	NA	steelblue
Tmem50b	NA	steelblue
Tnfrsf11a	NA	steelblue
Trpm2	NA	steelblue
Tspyl4	NA	steelblue
Ttc19	NA	steelblue
Tti2	NA	steelblue
Tulp2	NA	steelblue
Txnl4a	NA	steelblue
Uqcrb	NA	steelblue
Usp40	NA	steelblue
Wdpcp	NA	steelblue
Wdr37	NA	steelblue
Wdr81	NA	steelblue
Yeats2	NA	steelblue
Zfp560	NA	steelblue
Zfpm2	NA	steelblue
Zmynd12	NA	steelblue
Zrsr1	NA	steelblue
