nodeName	altName	nodeAttr[nodesPresent, ]
Aacs	NA	tan
Abcc6	NA	tan
AI593442	NA	tan
Alas2	NA	tan
Alg13	NA	tan
Alpk1	NA	tan
Amd2	NA	tan
Ankrd45	NA	tan
Ano3	NA	tan
Atad2	NA	tan
Atg16l2	NA	tan
Atm	NA	tan
Atp1a1	NA	tan
Atp5d	NA	tan
Atp7b	NA	tan
Atpaf1	NA	tan
Bach1	NA	tan
Bag5	NA	tan
Brinp1	NA	tan
Bysl	NA	tan
Cadm2	NA	tan
Calr3	NA	tan
Cbr3	NA	tan
Cdh6	NA	tan
Cdh8	NA	tan
Celsr1	NA	tan
Cep83	NA	tan
Chmp6	NA	tan
Ciz1	NA	tan
Cntrl	NA	tan
Cpsf4	NA	tan
Csgalnact1	NA	tan
Cyth3	NA	tan
Ddb2	NA	tan
Dmd	NA	tan
Dym	NA	tan
Ehmt1	NA	tan
Eif2b5	NA	tan
Esyt2	NA	tan
Exoc7	NA	tan
Fam98c	NA	tan
Fbxw2	NA	tan
Fmn1	NA	tan
Gad2	NA	tan
Golga3	NA	tan
Gon4l	NA	tan
Got2	NA	tan
Gpr61	NA	tan
Gramd1b	NA	tan
H6pd	NA	tan
Herc3	NA	tan
Hivep1	NA	tan
Hunk	NA	tan
Ica1	NA	tan
Igsf3	NA	tan
Impa2	NA	tan
Inpp5b	NA	tan
Jakmip1	NA	tan
Jakmip2	NA	tan
Jkamp	NA	tan
Kansl1	NA	tan
Kcnip1	NA	tan
Kcnk2	NA	tan
Kcnn2	NA	tan
Kif9	NA	tan
Klhdc4	NA	tan
Krt2	NA	tan
Lamc1	NA	tan
Lgr5	NA	tan
Lnx1	NA	tan
Lrmp	NA	tan
Malt1	NA	tan
Map2k4	NA	tan
Mb21d2	NA	tan
Mcc	NA	tan
Med27	NA	tan
Met	NA	tan
Mettl2	NA	tan
Mettl6	NA	tan
Minar1	NA	tan
Mri1	NA	tan
Mrps15	NA	tan
Mta3	NA	tan
Mtrf1	NA	tan
Nfyc	NA	tan
Ngf	NA	tan
Nkd2	NA	tan
Nmt2	NA	tan
Nova1	NA	tan
Ntng1	NA	tan
Nup54	NA	tan
Oxnad1	NA	tan
Pard3b	NA	tan
Patj	NA	tan
Pbdc1	NA	tan
Pex1	NA	tan
Phtf2	NA	tan
Pitpna	NA	tan
Plag1	NA	tan
Plcl2	NA	tan
Plekha8	NA	tan
Prkci	NA	tan
Prmt6	NA	tan
Pten	NA	tan
Rad54l	NA	tan
Rassf3	NA	tan
Rfx7	NA	tan
Rgs7	NA	tan
Rnf141	NA	tan
Rnf180	NA	tan
Sap30	NA	tan
Sestd1	NA	tan
Shd	NA	tan
Shprh	NA	tan
Slc35c1	NA	tan
Slc6a20b	NA	tan
Smarca4	NA	tan
Smc6	NA	tan
Spry4	NA	tan
Srl	NA	tan
Srp72	NA	tan
Srpk1	NA	tan
Stard4	NA	tan
Suv39h2	NA	tan
Tapt1	NA	tan
Tbc1d5	NA	tan
Tecta	NA	tan
Tent4a	NA	tan
Tmed8	NA	tan
Trp53inp1	NA	tan
Trpc3	NA	tan
Trpm7	NA	tan
Tsga10	NA	tan
Tstd2	NA	tan
Ttc39b	NA	tan
Tubg2	NA	tan
Tubgcp2	NA	tan
Ubl7	NA	tan
Usp25	NA	tan
Usp42	NA	tan
Vezt	NA	tan
Vps54	NA	tan
Vsig10l	NA	tan
Wdr27	NA	tan
Wdr53	NA	tan
Zbtb37	NA	tan
Zbtb7c	NA	tan
Zcchc7	NA	tan
Zfp384	NA	tan
Zfp395	NA	tan
Zfp451	NA	tan
Zfp526	NA	tan
Zfp672	NA	tan
Zfp84	NA	tan
