nodeName	altName	nodeAttr[nodesPresent, ]
Arl13b	NA	violet
Atp6v1c2	NA	violet
Bet1	NA	violet
Brd1	NA	violet
Calu	NA	violet
Cfl2	NA	violet
Cgn	NA	violet
Clk1	NA	violet
Ctnna1	NA	violet
Dcun1d5	NA	violet
Dnajc7	NA	violet
Eif2a	NA	violet
Eif3e	NA	violet
Eif3m	NA	violet
Eif5b	NA	violet
Erbin	NA	violet
Ergic2	NA	violet
Fam92a	NA	violet
Fastkd1	NA	violet
Fkbp14	NA	violet
Foxq1	NA	violet
Frzb	NA	violet
Fzd1	NA	violet
Hbp1	NA	violet
Hnrnpa1	NA	violet
Hnrnph1	NA	violet
Hnrnpu	NA	violet
Ilf3	NA	violet
Kdm4c	NA	violet
Krit1	NA	violet
Krr1	NA	violet
Lars	NA	violet
Ltbp1	NA	violet
Luc7l3	NA	violet
Mcm7	NA	violet
Mia2	NA	violet
Mphosph6	NA	violet
Nup107	NA	violet
Nxpe4	NA	violet
Pacrg	NA	violet
Paxbp1	NA	violet
Pcf11	NA	violet
Pde7a	NA	violet
Pggt1b	NA	violet
Pnn	NA	violet
Ppid	NA	violet
Prpf38b	NA	violet
Rab18	NA	violet
Rbm46	NA	violet
Rbmx2	NA	violet
Rock1	NA	violet
Rpap3	NA	violet
Rspry1	NA	violet
Sec61a2	NA	violet
Sf3b1	NA	violet
Sfpq	NA	violet
Slc30a9	NA	violet
Snrpb2	NA	violet
Snx12	NA	violet
Snx2	NA	violet
Srsf1	NA	violet
Srsf6	NA	violet
Tardbp	NA	violet
Tmem161b	NA	violet
Tnpo1	NA	violet
Tob1	NA	violet
Ttc27	NA	violet
U2surp	NA	violet
Ube2n	NA	violet
Ublcp1	NA	violet
Uhrf2	NA	violet
Usp39	NA	violet
Vezf1	NA	violet
Wls	NA	violet
Xpo4	NA	violet
Zc3h7a	NA	violet
Zfp35	NA	violet
Zfp62	NA	violet
Zfp950	NA	violet
Zranb2	NA	violet
