nodeName	altName	nodeAttr[nodesPresent, ]
Actr1b	NA	white
Adarb2	NA	white
Ak4	NA	white
Arhgef7	NA	white
Arid1b	NA	white
Arl5b	NA	white
Arpp21	NA	white
Bcas3	NA	white
Cadm3	NA	white
Camk4	NA	white
Cherp	NA	white
Chrm1	NA	white
Creg2	NA	white
Dcaf7	NA	white
Dnajb5	NA	white
Doc2a	NA	white
Dusp9	NA	white
Egr1	NA	white
Egr2	NA	white
Egr4	NA	white
Ephb6	NA	white
Ercc6	NA	white
Fam160a2	NA	white
Fdxr	NA	white
Fem1a	NA	white
Fhod3	NA	white
Fos	NA	white
Foxj2	NA	white
Frmpd1	NA	white
Gcn1	NA	white
Gm42372	NA	white
Gmeb2	NA	white
Gtpbp2	NA	white
Hmg20a	NA	white
Iffo2	NA	white
Ino80d	NA	white
Insyn2a	NA	white
Lingo1	NA	white
Lsg1	NA	white
Man2b1	NA	white
Maneal	NA	white
Map11	NA	white
Mapt	NA	white
Mark1	NA	white
Mbtd1	NA	white
Megf8	NA	white
Mmp17	NA	white
Mms19	NA	white
Nfrkb	NA	white
Orc2	NA	white
Pacs1	NA	white
Per2	NA	white
Plek	NA	white
Pms2	NA	white
Proser1	NA	white
Prr12	NA	white
Ptar1	NA	white
Ptgs1	NA	white
Ptgs2	NA	white
Ptprf	NA	white
Ramac	NA	white
Rasa3	NA	white
Rasgrf1	NA	white
Rasgrp4	NA	white
Rnaseh2b	NA	white
Rpusd2	NA	white
Scube1	NA	white
Setd1a	NA	white
Sh2b2	NA	white
Skp2	NA	white
Slc16a14	NA	white
Slc17a7	NA	white
Slc29a4	NA	white
Slc2a8	NA	white
Slc7a6	NA	white
Slco4c1	NA	white
Smad3	NA	white
St3gal5	NA	white
Stx2	NA	white
Tacr3	NA	white
Tbc1d24	NA	white
Tle3	NA	white
Tmem201	NA	white
Trim9	NA	white
Trrap	NA	white
Tspan5	NA	white
Ttc22	NA	white
Twnk	NA	white
Uck2	NA	white
Uhrf1bp1l	NA	white
Unkl	NA	white
Zswim4	NA	white
