nodeName	altName	nodeAttr[nodesPresent, ]
4933434E20Rik	NA	yellow
9330182L06Rik	NA	yellow
Abi1	NA	yellow
Abtb2	NA	yellow
Actr1a	NA	yellow
Adcy7	NA	yellow
Adcy8	NA	yellow
Adgrb3	NA	yellow
Aggf1	NA	yellow
Agps	NA	yellow
Aldh3a2	NA	yellow
Alkal1	NA	yellow
Alyref	NA	yellow
Amer1	NA	yellow
Ampd3	NA	yellow
Angpt1	NA	yellow
Ankfn1	NA	yellow
Ankfy1	NA	yellow
Ankib1	NA	yellow
Ankra2	NA	yellow
Ankrd50	NA	yellow
Anks1b	NA	yellow
Ap1s2	NA	yellow
Apbb2	NA	yellow
App	NA	yellow
Appbp2	NA	yellow
Appl1	NA	yellow
Aqp4	NA	yellow
Arap2	NA	yellow
Arcn1	NA	yellow
Arfgef1	NA	yellow
Arfrp1	NA	yellow
Arg2	NA	yellow
Arid4b	NA	yellow
Armcx3	NA	yellow
Armcx4	NA	yellow
Ascc3	NA	yellow
Asph	NA	yellow
Atad2b	NA	yellow
Atf2	NA	yellow
Atf6	NA	yellow
Atl3	NA	yellow
Atp11a	NA	yellow
Atp11b	NA	yellow
Atp2a2	NA	yellow
Atp2c1	NA	yellow
Atp6v1a	NA	yellow
Atp6v1h	NA	yellow
Atp8a1	NA	yellow
Atrn	NA	yellow
Atrx	NA	yellow
Atxn10	NA	yellow
Avl9	NA	yellow
B3galnt2	NA	yellow
B3galt5	NA	yellow
Bace1	NA	yellow
Baz2b	NA	yellow
Bbs2	NA	yellow
Bbs9	NA	yellow
BC024978	NA	yellow
Bclaf1	NA	yellow
Bex1	NA	yellow
Bicd1	NA	yellow
Blmh	NA	yellow
Borcs5	NA	yellow
Brd8	NA	yellow
Btg1c	NA	yellow
Btg3	NA	yellow
Bzw1	NA	yellow
C1galt1	NA	yellow
C330007P06Rik	NA	yellow
Cadps	NA	yellow
Calb1	NA	yellow
Cand1	NA	yellow
Cap1	NA	yellow
Capn7	NA	yellow
Ccar1	NA	yellow
Ccdc174	NA	yellow
Ccdc47	NA	yellow
Ccdc85a	NA	yellow
Ccdc88a	NA	yellow
Ccdc88c	NA	yellow
Ccn3	NA	yellow
Cd83	NA	yellow
Cdc27	NA	yellow
Cdc73	NA	yellow
Cdh18	NA	yellow
Cdk17	NA	yellow
Cep41	NA	yellow
Cep57	NA	yellow
Cers4	NA	yellow
Chaf1a	NA	yellow
Chm	NA	yellow
Chrm3	NA	yellow
Ckap5	NA	yellow
Clasp2	NA	yellow
Clip1	NA	yellow
Clock	NA	yellow
Cltc	NA	yellow
Cntn1	NA	yellow
Col25a1	NA	yellow
Copa	NA	yellow
Cops5	NA	yellow
Cpd	NA	yellow
Csmd3	NA	yellow
Csnk1g3	NA	yellow
Cul2	NA	yellow
Cul3	NA	yellow
Cul4b	NA	yellow
Cyb561	NA	yellow
Cybc1	NA	yellow
Cyyr1	NA	yellow
D17H6S53E	NA	yellow
D5Ertd579e	NA	yellow
Dbr1	NA	yellow
Dcun1d4	NA	yellow
Ddb1	NA	yellow
Ddx17	NA	yellow
Ddx3y	NA	yellow
Depdc7	NA	yellow
Dgkb	NA	yellow
Dhx36	NA	yellow
Dhx9	NA	yellow
Dicer1	NA	yellow
Dis3	NA	yellow
Dis3l2	NA	yellow
Dlx5	NA	yellow
Dnah5	NA	yellow
Dnajc2	NA	yellow
Dnm1l	NA	yellow
Dnm3	NA	yellow
Dock7	NA	yellow
Dok4	NA	yellow
Dpp10	NA	yellow
Drd1	NA	yellow
Dstyk	NA	yellow
Dynlrb2	NA	yellow
Dzip3	NA	yellow
Ears2	NA	yellow
Ecpas	NA	yellow
Efr3a	NA	yellow
Elavl2	NA	yellow
Elmo1	NA	yellow
Elmod1	NA	yellow
Elovl7	NA	yellow
Enc1	NA	yellow
Enpp4	NA	yellow
Entpd6	NA	yellow
Epc2	NA	yellow
Ercc6l2	NA	yellow
Eri2	NA	yellow
Erlin1	NA	yellow
Etf1	NA	yellow
Etnk1	NA	yellow
Exoc5	NA	yellow
Fam13b	NA	yellow
Fam171b	NA	yellow
Fam199x	NA	yellow
Fam204a	NA	yellow
Fam43a	NA	yellow
Fam49a	NA	yellow
Fam83d	NA	yellow
Fam8a1	NA	yellow
Fbxo11	NA	yellow
Fbxo21	NA	yellow
Fem1b	NA	yellow
Fem1c	NA	yellow
Fgfr1op	NA	yellow
Fhdc1	NA	yellow
Fkbp15	NA	yellow
Fnip1	NA	yellow
Foxp2	NA	yellow
Fsd1l	NA	yellow
Fstl5	NA	yellow
Gab2	NA	yellow
Gabarapl1	NA	yellow
Gabrg2	NA	yellow
Galm	NA	yellow
Galnt13	NA	yellow
Galnt16	NA	yellow
Gatad2b	NA	yellow
Gcc2	NA	yellow
Gda	NA	yellow
Gdap1	NA	yellow
Gdap2	NA	yellow
Ggps1	NA	yellow
Glra2	NA	yellow
Gm9833	NA	yellow
Gmcl1	NA	yellow
Gng12	NA	yellow
Gng2	NA	yellow
Gnl3l	NA	yellow
Golga4	NA	yellow
Golga5	NA	yellow
Golph3l	NA	yellow
Gpr161	NA	yellow
Grem1	NA	yellow
Gria1	NA	yellow
Gria2	NA	yellow
Gria4	NA	yellow
Grid2	NA	yellow
Grik2	NA	yellow
Gspt2	NA	yellow
Gtf2a1	NA	yellow
Gtf2h1	NA	yellow
Gucy1a2	NA	yellow
Has3	NA	yellow
Hat1	NA	yellow
Hccs	NA	yellow
Hdgfl3	NA	yellow
Heatr3	NA	yellow
Heca	NA	yellow
Hectd1	NA	yellow
Hhla1	NA	yellow
Hif1a	NA	yellow
Hprt	NA	yellow
Hs6st2	NA	yellow
Hspa4l	NA	yellow
Htr1a	NA	yellow
Idi1	NA	yellow
Ift52	NA	yellow
Ift88	NA	yellow
Impad1	NA	yellow
Ipcef1	NA	yellow
Ipo5	NA	yellow
Iqck	NA	yellow
Ireb2	NA	yellow
Itsn2	NA	yellow
Kat7	NA	yellow
Kbtbd3	NA	yellow
Kcna1	NA	yellow
Kcnab1	NA	yellow
Kdm4a	NA	yellow
Kdm6a	NA	yellow
Kif13b	NA	yellow
Kif2a	NA	yellow
Kif3a	NA	yellow
Kifap3	NA	yellow
Klhdc1	NA	yellow
Klhl11	NA	yellow
Klhl4	NA	yellow
Klhl9	NA	yellow
Kpna1	NA	yellow
Kpna3	NA	yellow
Lancl2	NA	yellow
Larp4b	NA	yellow
Leo1	NA	yellow
Lig3	NA	yellow
Lin52	NA	yellow
Lmf1	NA	yellow
Lnpep	NA	yellow
Lrch2	NA	yellow
Lrig2	NA	yellow
Lrp1b	NA	yellow
Lrp6	NA	yellow
Lrrc23	NA	yellow
Lrrc4c	NA	yellow
Lrrn3	NA	yellow
Lrrtm2	NA	yellow
