nodeName	altName	nodeAttr[nodesPresent, ]
Aacs	NA	yellowgreen
Abcc6	NA	yellowgreen
Acot10	NA	yellowgreen
AI593442	NA	yellowgreen
Alg13	NA	yellowgreen
Alpk1	NA	yellowgreen
Amd2	NA	yellowgreen
Ankrd45	NA	yellowgreen
Ano3	NA	yellowgreen
Atad2	NA	yellowgreen
Atp1a1	NA	yellowgreen
Atp5d	NA	yellowgreen
Atpaf1	NA	yellowgreen
Bach1	NA	yellowgreen
Brinp1	NA	yellowgreen
Cadm2	NA	yellowgreen
Cbr3	NA	yellowgreen
Cdh6	NA	yellowgreen
Ciz1	NA	yellowgreen
Cpsf4	NA	yellowgreen
Csgalnact1	NA	yellowgreen
Cyth3	NA	yellowgreen
Dym	NA	yellowgreen
Ehmt1	NA	yellowgreen
Exoc7	NA	yellowgreen
Fam98c	NA	yellowgreen
Golga3	NA	yellowgreen
Gon4l	NA	yellowgreen
Got2	NA	yellowgreen
Gpr61	NA	yellowgreen
Gramd1b	NA	yellowgreen
Herc3	NA	yellowgreen
Ica1	NA	yellowgreen
Impa2	NA	yellowgreen
Jkamp	NA	yellowgreen
Kansl1	NA	yellowgreen
Kcnip1	NA	yellowgreen
Kif9	NA	yellowgreen
Klhdc4	NA	yellowgreen
Krt2	NA	yellowgreen
Lgr5	NA	yellowgreen
Lnx1	NA	yellowgreen
Lrmp	NA	yellowgreen
Mb21d2	NA	yellowgreen
Med27	NA	yellowgreen
Mettl2	NA	yellowgreen
Mri1	NA	yellowgreen
Mrps15	NA	yellowgreen
Mtrf1	NA	yellowgreen
Ngf	NA	yellowgreen
Nkd2	NA	yellowgreen
Nmt2	NA	yellowgreen
Nova1	NA	yellowgreen
Ntng1	NA	yellowgreen
Oxnad1	NA	yellowgreen
Patj	NA	yellowgreen
Pten	NA	yellowgreen
Rad54l	NA	yellowgreen
Rassf3	NA	yellowgreen
Rfx7	NA	yellowgreen
Rgs7	NA	yellowgreen
Shd	NA	yellowgreen
Smc6	NA	yellowgreen
Spry4	NA	yellowgreen
Srl	NA	yellowgreen
Tapt1	NA	yellowgreen
Tbc1d5	NA	yellowgreen
Trpc3	NA	yellowgreen
Tstd2	NA	yellowgreen
Ubl7	NA	yellowgreen
Usp25	NA	yellowgreen
Vezt	NA	yellowgreen
Vps54	NA	yellowgreen
Zbtb37	NA	yellowgreen
Zfp395	NA	yellowgreen
Zfp526	NA	yellowgreen
Zfp672	NA	yellowgreen
