Gene	ModuleColor
C11orf58	black
C1orf122	black
ABCD3	black
ABCF1	black
ABHD17B	black
ACO2	black
ACTL6A	black
ACTR10	black
ADD1	black
ADSS2	black
AIFM1	black
AKIRIN2	black
ANP32E	black
APEX1	black
APPL2	black
ARAF	black
ARF4	black
ARL8B	black
ARPC1A	black
ARPC2	black
ATP5PB	black
BCAP31	black
BECN1	black
BIN1	black
BLOC1S2	black
BNIP3	black
BSDC1	black
BTF3	black
BTG1	black
CAMSAP3	black
CAPNS1	black
CAPZA2	black
CBX3	black
CBX5	black
CCT2	black
CD82	black
CDH2	black
CDK2	black
CDK2AP2	black
CDKN1C	black
CFAP20	black
CFAP36	black
CIRBP	black
CMPK1	black
CNGA1	black
CNN3	black
CNOT6	black
CNPY2	black
COBLL1	black
COG4	black
COPZ1	black
COX5A	black
COX6C	black
CSRP1	black
CST3	black
CYB5R2	black
CYFIP1	black
CYP3A4	black
CYP3A7-CYP3A51P	black
CYP3A7	black
CYP3A43	black
CYP3A5	black
DARS1	black
DBI	black
DCTN3	black
DENND2A	black
DESI2	black
DLK1	black
DNAJC19	black
DPM3	black
DPY30	black
DUSP22	black
DYNC1I2	black
EEF1D	black
EI24	black
EIF1	black
EIF1B	black
EIF2S2	black
EIF3J	black
EIF3L	black
EIF4H	black
EML2	black
EML3	black
ENKD1	black
EPB41L2	black
EPRS1	black
ERGIC3	black
ERI3	black
ETFA	black
EWSR1	black
FAHD2A	black
FAM50A	black
FAM83H	black
FBLN1	black
FIBIN	black
FOCAD	black
FUBP3	black
FXR2	black
FZD5	black
GAA	black
GABARAPL2	black
GANAB	black
GARS1	black
GATM	black
GCLM	black
GET4	black
GGA1	black
GLTP	black
MPLKIP	black
GNA12	black
GPRC5B	black
GTF2IRD1	black
GTPBP10	black
H3-3A	black
HADH	black
HAGH	black
HEPACAM	black
HERPUD2	black
HES6	black
HEXIM1	black
HMBS	black
HNRNPL	black
HSD17B10	black
HSDL2	black
HSPE1	black
ID3	black
IFFO1	black
IFT46	black
IMMT	black
ING4	black
INO80	black
INSIG2	black
IP6K2	black
ITGB1	black
ITGB1BP1	black
IVNS1ABP	black
JAG1	black
KAT8	black
KCMF1	black
KCTD11	black
KDELR1	black
KLF3	black
KLHL35	black
KRAS	black
KRCC1	black
LAMP1	black
LAMP2	black
LDB1	black
LMBRD1	black
LRP10	black
LRRCC1	black
LSM14A	black
LTBR	black
FMC1-LUC7L2	black
LUC7L2	black
MAP3K11	black
MAP4	black
MAP7	black
MAPRE1	black
MARCHF3	black
MARCKS	black
MARK3	black
MATR3	black
MAX	black
MEIKIN	black
MEX3B	black
MFF	black
MID1IP1	black
MLYCD	black
MMP23B	black
MPC1	black
MPV17	black
MRFAP1L1	black
MRFAP1	black
MRPL3	black
MSMO1	black
MYH14	black
NAA50	black
NEDD1	black
NR1H3	black
NRAS	black
NSMCE1	black
NUB1	black
NUCB1	black
NUDC	black
OARD1	black
OAZ2	black
OR2AT4	black
OTUB1	black
P4HB	black
PABPC3	black
PABPC1	black
PAIP1	black
PCGF1	black
PDCD5	black
PEX19	black
PFN1	black
PGD	black
PINK1	black
PIR	black
PPIL2	black
PPP1R10	black
PPP1R14C	black
PPP2R2D	black
PPP4C	black
PPT1	black
PRDX3	black
PRDX6	black
PRMT1	black
PSMB2	black
PSMC2	black
PSMD12	black
PSMD14	black
PTOV1	black
PUF60	black
PWWP3A	black
PYCR2	black
QKI	black
QPCT	black
RAB10	black
RAB21	black
RAB28	black
RAB5A	black
RAB7A	black
RASA4B	black
RASA4	black
RBM8A	black
RCBTB2	black
RELB	black
RHOA	black
RIN2	black
RNF103	black
RNF11	black
RPL18	black
RPL22	black
RPL22L1	black
RPL23	black
RPL23A	black
RPL37	black
RPL4	black
RPN2	black
RPP30	black
RPS19	black
RPS20	black
RPS24	black
RPS5	black
RRBP1	black
RYK	black
SARNP	black
SBDS	black
SDCBP	black
SEC11A	black
SEC11C	black
SETD3	black
SH3GL3	black
SIAH1	black
SLC25A1	black
SLC25A17	black
SLC25A3	black
SLC25A5	black
SMIM18	black
SNIP1	black
SNRNP35	black
SNX3	black
SNX5	black
SOD1	black
SOX4	black
SPTSSA	black
SRSF3	black
SRSF9	black
SS18	black
ST3GAL4	black
SUCLG1	black
TAX1BP1	black
TCF7L2	black
TIMM17B	black
TIMM8B	black
TLL1	black
TLN1	black
TM7SF2	black
TM9SF3	black
TMED4	black
TMEM176B	black
TMSB4Y	black
TOMM22	black
TPP1	black
TPST2	black
TRA2B	black
TRAPPC3	black
TRAPPC6B	black
TRIM28	black
TRIM35	black
TRMT112	black
TSPAN6	black
TSPAN7	black
TSR2	black
U2AF1L5	black
U2AF1	black
UBA3	black
UBE2G1	black
UBE2R2	black
UBE2S	black
UBQLN1	black
UCHL3	black
UNK	black
VDAC2	black
VDAC3	black
VMP1	black
VPS28	black
WIPI1	black
WTAP	black
YBX1	black
YBX3	black
YIPF5	black
ZBTB7B	black
ZNF664	black
ZNF706	black
C11orf49	blue
SMIM30	blue
C14orf93	blue
KIAA0930	blue
A2M	blue
AAMP	blue
ABCA2	blue
ABCB7	blue
ABHD18	blue
ACER3	blue
ACOT7	blue
ACSL1	blue
ACTB	blue
