Gene	ModuleColor	kWithin	ModuleName
1110004F10Rik	black	6.69920307398714	AUD1
1110065P20Rik	black	5.30012979754725	AUD1
Abcd3	black	8.15697552332103	AUD1
Abcf1	black	11.8778941959787	AUD1
Abhd17b	black	14.4024950218096	AUD1
Aco2	black	9.63735831683042	AUD1
Actl6a	black	4.42324478849987	AUD1
Actr10	black	6.18809317912478	AUD1
Add1	black	2.20332667596636	AUD1
Adss	black	6.16827740174249	AUD1
Aifm1	black	6.94674882569073	AUD1
Akirin2	black	10.8438442618821	AUD1
Anp32e	black	15.5385339582432	AUD1
Apex1	black	7.58629472499225	AUD1
Appl2	black	6.90032730674923	AUD1
Araf	black	15.9071404037842	AUD1
Arf4	black	14.8479265306029	AUD1
Arl8b	black	7.96235998064684	AUD1
Arpc1a	black	6.76388818232038	AUD1
Arpc2	black	6.36633245957216	AUD1
Atp5pb	black	6.33234440306777	AUD1
Bcap31	black	14.8653377887842	AUD1
Becn1	black	7.25789009387574	AUD1
Bin1	black	11.3382276731701	AUD1
Bloc1s2	black	8.98864303477504	AUD1
Bnip3	black	12.5792329709672	AUD1
Bsdc1	black	10.3993479241801	AUD1
Btf3	black	4.70884859247588	AUD1
Btg1	black	8.86247961538692	AUD1
Camsap3	black	6.75389224315603	AUD1
Capns1	black	9.45642519699251	AUD1
Capza2	black	14.9450355868317	AUD1
Cbx3	black	15.2767178676985	AUD1
Cbx5	black	6.61227122863429	AUD1
Cct2	black	7.58850099402684	AUD1
Cd82	black	10.5691832742892	AUD1
Cdh2	black	10.2286131655927	AUD1
Cdk2	black	13.8588160827832	AUD1
Cdk2ap2	black	2.30179842476743	AUD1
Cdkn1c	black	2.38874369112069	AUD1
Cfap20	black	5.816555856678	AUD1
Cfap36	black	3.86446286090358	AUD1
Cirbp	black	10.4249817797451	AUD1
Cmpk1	black	6.24532893763034	AUD1
Cnga1	black	6.4013847609225	AUD1
Cnn3	black	9.39169228824433	AUD1
Cnot6	black	10.0698974347687	AUD1
Cnpy2	black	15.2163650043039	AUD1
Cobll1	black	2.95185524672809	AUD1
Cog4	black	4.27673335662307	AUD1
Copz1	black	9.26845630671859	AUD1
Cox5a	black	11.7546292622166	AUD1
Cox6c	black	2.9629953030453	AUD1
Csnk2b	black	9.18660084103449	AUD1
Csrp1	black	13.8650888327551	AUD1
Cst3	black	5.82136062860034	AUD1
Cyb5r2	black	4.46283777702671	AUD1
Cyfip1	black	9.92395033894965	AUD1
Cyp3a13	black	4.37456011126083	AUD1
